"address","suburb","land_area","price"
"1 Bradstocks Grove, Southern River","Southern River",447,780000
"1 Bramley Way, Bibra Lake","Bibra Lake",358,520000
"1 Brassey Street, Swanbourne","Swanbourne",619,1100000
"1 Brentwood Way, The Vines","The Vines",834,590000
"1 Brilliant Rise, Stratton","Stratton",561,312000
"1 Briston Place, North Beach","North Beach",372,900000
"1 Bristow Street, Haynes","Haynes",412,177000
"1 Brittain Avenue, Madeley","Madeley",541,580000
"1 Brix Street, Wembley Downs","Wembley Downs",544,1310000
"1 Brixton Road, Bentley","Bentley",295,470000
"1 Bruning Road, Manning","Manning",578,717000
"1 Bull Place, Queens Park","Queens Park",380,387000
"1 Bynder Lane, Medina","Medina",233,330000
"1 Cadiz Way, Bullsbrook","Bullsbrook",350,380000
"1 Cam Court, Merriwa","Merriwa",603,345000
"1 Camden Boulevard, Aubin Grove","Aubin Grove",619,528000
"1 Cameron Street, Karrinyup","Karrinyup",802,1350000
"1 Camira Place, Gooseberry Hill","Gooseberry Hill",1940,735000
"1 Camrose Lane, Darch","Darch",529,442500
"1 Canarias Way, Hillarys","Hillarys",500,1015000
"1 Cannon Court, Alexander Heights","Alexander Heights",771,530000
"1 Canny Road, St James","St James",688,515000
"1 Carnegie Road, Bassendean","Bassendean",1012,1100000
"1 Carroll Street, Ardross","Ardross",590,1265000
"1 Caterpillar Road, Success","Success",446,472500
"1 Cessford Close, Leda","Leda",642,380000
"1 Challenger Avenue, Manning","Manning",449,590000
"1 Chamberlain Circle, Bateman","Bateman",727,835000
"1 Charleston Road, Eglinton","Eglinton",432,495000
"1 Chauvel Court, Kiara","Kiara",543,390000
"1 Chester Court, Orelia","Orelia",806,280000
"1 Chiddington Street, Beckenham","Beckenham",953,355000
"1 Chipala Court, Edgewater","Edgewater",697,465000
"1 Claret Ash Court, Helena Valley","Helena Valley",1012,685000
"1 Clarke Street, East Cannington","East Cannington",218,360000
"1 Clearwater Way, Singleton","Singleton",550,320000
"1 Clifford Loop, Darch","Darch",289,492000
"1 Cliverton Court, Marmion","Marmion",766,974000
"1 Clovertree Street, Maddington","Maddington",1062,435000
"1 Cobea Court, Mount Claremont","Mount Claremont",367,900000
"1 Cockman Road, Greenwood","Greenwood",698,405000
"1 Cohen Place, Beechboro","Beechboro",782,290000
"1 Collier Street, Wembley","Wembley",635,1160000
"1 Colmworth Way, Butler","Butler",555,415000
"1 Colonial Mews, Edgewater","Edgewater",758,525000
"1 Conical Way, Harrisdale","Harrisdale",578,629000
"1 Convallis Vista, The Vines","The Vines",510,600000
"1 Corbin Gate, Madeley","Madeley",618,427000
"1 Coronado Ridge, Iluka","Iluka",911,1015000
"1 Corvette Close, Waikiki","Waikiki",747,445000
"1 Craigie Place, Mundaring","Mundaring",1869,610000
"1 Crest Grove, Ballajura","Ballajura",803,465000
"1 Creswick Cross, Kiara","Kiara",545,454000
"1 Criollo Place, Stratton","Stratton",514,380000
"1 Crivelli Parkway, Ashby","Ashby",401,382000
"1 Crowley Vista, Salter Point","Salter Point",527,1150000
"1 Curruthers Road, Mount Pleasant","Mount Pleasant",1100,2200000
"1 Cypress Mews, Warnbro","Warnbro",580,375000
"1 Dagostino Road, Byford","Byford",694,495000
"1 Dalkey Way, Darch","Darch",327,445000
"1 Danzil Street, Willagee","Willagee",450,515000
"1 Datchet Turn, Bertram","Bertram",271,270000
"1 David Street, Mullaloo","Mullaloo",810,780000
"1 Davis Court, Woodlands","Woodlands",701,1280000
"1 Daybreak Loop, Wellard","Wellard",465,410000
"1 Dean Place, Lockridge","Lockridge",666,425000
"1 Dean Road, Bateman","Bateman",807,599900
"1 Delphi Court, Rossmoyne","Rossmoyne",1133,1330000
"1 Denton Street, Wembley","Wembley",328,732000
"1 Deverell Way, Bentley","Bentley",327,465000
"1 Dilkera Place, Quinns Rocks","Quinns Rocks",646,380000
"1 Discovery Circuit, Iluka","Iluka",770,1300000
"1 Disney Street, Brentwood","Brentwood",434,710250
"1 Dolomite Road, Carine","Carine",755,835000
"1 Dolphin Way, Beldon","Beldon",683,400000
"1 Doradeen Close, Hillman","Hillman",761,275000
"1 Doram Court, Swan View","Swan View",686,335000
"1 Driftwood Way, Bennett Springs","Bennett Springs",582,400000
"1 Driver Road, Darch","Darch",653,532000
"1 Durant Way, Brentwood","Brentwood",419,820000
"1 Dutton Way, Singleton","Singleton",913,385000
"1 Duxford Street, Butler","Butler",673,427000
"1 East Street, Mount Hawthorn","Mount Hawthorn",376,660000
"1 Eastfield Court, Ferndale","Ferndale",955,250000
"1 Easton Court, Boya","Boya",1010,508000
"1 Edelweiss Way, Beckenham","Beckenham",538,415000
"1 Edgecombe Pass, Aveley","Aveley",741,550000
"1 El Porto Way, Iluka","Iluka",623,935000
"1 Elfin Grove, Warnbro","Warnbro",759,380000
"1 Elvire Street, Midland","Midland",927,349000
"1 Empress Crescent, Atwell","Atwell",701,470000
"1 Epping Court, High Wycombe","High Wycombe",500,475000
"1 Estevan Way, Ferndale","Ferndale",700,490000
"1 Ethel Street, Guildford","Guildford",380,715000
"1 Etna Place, Rossmoyne","Rossmoyne",520,1100000
"1 Eudora Way, North Coogee","North Coogee",495,1130000
"1 Fairetha Court, Ascot","Ascot",528,720000
"1 Fairhaven Terrace, Hillarys","Hillarys",451,1075000
"1 Fallow Crescent, Spearwood","Spearwood",427,475000
"1 Fantail Drive, Bibra Lake","Bibra Lake",735,545000
"1 Farrington Street, Warnbro","Warnbro",872,317500
"1 Federal Street, Osborne Park","Osborne Park",337,465000
"1 Felpham Court, Success","Success",502,449000
"1 First Avenue, Woodbridge","Woodbridge",607,525000
"1 Fischer Road, Darlington","Darlington",2152,900000
"1 Flemington Way, Redcliffe","Redcliffe",428,375000
"1 Flint Close, Pearsall","Pearsall",641,522000
"1 Florey Place, Huntingdale","Huntingdale",700,464000
"1 Forrest Court, Kiara","Kiara",720,490000
"1 Fort Street, Morley","Morley",605,560000
"1 Fortuna View, Iluka","Iluka",696,1160000
"1 Fortune Street, Balcatta","Balcatta",322,460000
"1 Fourth Avenue, Rossmoyne","Rossmoyne",1029,872000
"1 Fran Court, Merriwa","Merriwa",653,335000
"1 Freedman Road, Menora","Menora",792,925000
"1 Gaffin Way, Kwinana Town Centre","Kwinana Town Centre",203,330000
"1 Gali Lane, City Beach","City Beach",440,1930000
"1 Galilee Way, Baldivis","Baldivis",749,547000
"1 Gamay Court, The Vines","The Vines",734,533000
"1 Gannett Street, Bateman","Bateman",807,460000
"1 Genesta Place, Two Rocks","Two Rocks",819,405000
"1 Georges Close, Kallaroo","Kallaroo",773,1075000
"1 Gerygone Pass, Tapping","Tapping",420,465000
"1 Ghost Gum Boulevard, Banksia Grove","Banksia Grove",373,335000
"1 Gianatti Ramble, East Cannington","East Cannington",462,745000
"1 Gidgee Cove, Kenwick","Kenwick",416,385000
"1 Gilchrist Avenue, Bibra Lake","Bibra Lake",700,480000
"1 Gillespie Court, Lockridge","Lockridge",351,330000
"1 Gillon Road, Noranda","Noranda",752,520000
"1 Giudice Way, Yangebup","Yangebup",641,885000
"1 Glasson Way, Darch","Darch",596,610000
"1 Glebe Close, Mindarie","Mindarie",726,830000
"1 Gloucester Road, Kalamunda","Kalamunda",997,485000
"1 Gold Lane, Iluka","Iluka",638,769000
"1 Gordon Place, Huntingdale","Huntingdale",675,410000
"1 Gorman Place, Calista","Calista",559,475000
"1 Graduate Place, Marangaroo","Marangaroo",613,385000
"1 Grahame Street, Mount Helena","Mount Helena",1635,385000
"1 Grant Street, Duncraig","Duncraig",576,730000
"1 Gray Road, Haynes","Haynes",2000,720000
"1 Green Street, Kewdale","Kewdale",688,505000
"1 Greygum Rise, Kenwick","Kenwick",515,362500
"1 Grid Court, Beldon","Beldon",685,487000
"1 Grimsay Road, Ardross","Ardross",380,600000
"1 Grove End Ridge, Mount Claremont","Mount Claremont",1055,1675000
"1 Grove Street, Shoalwater","Shoalwater",825,315000
"1 Hadlow Court, Leeming","Leeming",803,428000
"1 Halleendale Road, Walliston","Walliston",1386,620000
"1 Hamlyn Glen, Kiara","Kiara",975,405000
"1 Hanrahan Loop, Kardinya","Kardinya",701,643000
"1 Hansen Vista, Landsdale","Landsdale",556,538000
"1 Hardey Road, Serpentine","Serpentine",2000,375000
"1 Harrier Way, Beldon","Beldon",461,395000
"1 Hartle Lane, Brookdale","Brookdale",471,311850
"1 Hartley Street, Coolbellup","Coolbellup",613,499000
"1 Hartwell Parade, Jandakot","Jandakot",815,620000
"1 Harwood Street, Hilton","Hilton",537,560003
"1 Hazlett Close, South Lake","South Lake",703,481000
"1 Hennessy Drive, Ashby","Ashby",570,430000
"1 Henrietta Court, Coogee","Coogee",691,727000
"1 Henty Court, Mirrabooka","Mirrabooka",723,450000
"1 Heslop Road, Lesmurdie","Lesmurdie",1000,705000
"1 Hewlett Turn, Tapping","Tapping",594,470000
"1 Hilliger Turn, Jane Brook","Jane Brook",430,515000
"1 Hilltop Close, Mahogany Creek","Mahogany Creek",1799,272500
"1 Hilltop Place, Edgewater","Edgewater",736,492500
"1 Hitek Court, Merriwa","Merriwa",599,280000
"1 Holmesdale Road, Woodbridge","Woodbridge",510,575000
"1 Holywell Street, Middle Swan","Middle Swan",500,495000
"1 Honister Close, Balga","Balga",714,290000
"1 Hood Street, Forrestfield","Forrestfield",700,365000
"1 Hulbert Street, South Fremantle","South Fremantle",455,1200000
"1 Huntington Road, Coogee","Coogee",706,910000
"1 Hydra Close, Rockingham","Rockingham",725,340000
"1 Hynes Road, Dalkeith","Dalkeith",1072,1800000
"1 INGODA LINK, Baldivis","Baldivis",719,650000
"1 Ingot Lane, Harrisdale","Harrisdale",446,492000
"1 Iona Place, Cannington","Cannington",527,543800
"1 Irma Way, Butler","Butler",568,360000
"1 Ironcap Grove, Wandi","Wandi",439,305000
"1 Ivythorne Grove, Kiara","Kiara",534,210000
"1 Jacolite Street, Darch","Darch",597,530000
"1 Jade Grove, Edgewater","Edgewater",723,480000
"1 Jaffa Close, Seville Grove","Seville Grove",647,375000
"1 Jamaican Road, Safety Bay","Safety Bay",688,372500
"1 Jameson Street, Mosman Park","Mosman Park",1140,980000
"1 Jarrah Lane, Mount Claremont","Mount Claremont",309,1210000
"1 Jaywick Close, Safety Bay","Safety Bay",565,435000
"1 Jecks Street, Maida Vale","Maida Vale",561,508000
"1 Jeffrey Loop, Brookdale","Brookdale",330,315000
"1 Jib Court, Ocean Reef","Ocean Reef",848,740000
"1 Johnson Avenue, Guildford","Guildford",357,561000
"1 Jolimont Terrace, Jolimont","Jolimont",466,1100000
"1 Jura Court, Duncraig","Duncraig",739,575000
"1 Jurien Close, Warnbro","Warnbro",714,301000
"1 Kadi Court, Marangaroo","Marangaroo",486,380000
"1 Kalara Road, Koongamia","Koongamia",692,350000
"1 Kalara Way, Koongamia","Koongamia",729,172000
"1 Kalbarri Pass, Jane Brook","Jane Brook",641,725000
"1 Kangaroo Entrance, Stratton","Stratton",539,255000
"1 Kartner Road, Tapping","Tapping",652,500000
"1 Kensington Street, Bellevue","Bellevue",837,520000
"1 Kent Street, Viveash","Viveash",850,300000
"1 Kevin Street, Stoneville","Stoneville",2024,533000
"1 Kilmurray Elbow, Huntingdale","Huntingdale",600,415000
"1 Kinkuna Way, City Beach","City Beach",778,1645000
"1 Kirkcolm Way, Warwick","Warwick",702,655000
"1 Kirke Cove, Merriwa","Merriwa",462,307000
"1 Kirkstall Way, Sawyers Valley","Sawyers Valley",1833,405000
"1 Knaphill Heights, Mirrabooka","Mirrabooka",626,458000
"1 Kookaburra Terrace, Ballajura","Ballajura",704,335000
"1 Kutcharo Crescent, Joondalup","Joondalup",729,451000
"1 Kyby Place, Carramar","Carramar",611,719000
"1 Kyle Place, Swan View","Swan View",2002,726000
"1 Lambeth Mews, Mount Claremont","Mount Claremont",1047,2150000
"1 Lanark Street, Menora","Menora",660,875000
"1 Langham Street, Nedlands","Nedlands",540,1200000
"1 Lark Mews, Ballajura","Ballajura",812,550000
"1 Lauder Place, Kinross","Kinross",628,525000
"1 Laughton Way, Leeming","Leeming",329,577000
"1 Lee Street, Forrestfield","Forrestfield",363,305000
"1 Lena Street, Beckenham","Beckenham",771,385000
"1 Lennoxtown Road, Duncraig","Duncraig",701,650000
"1 Letchworth Centre Avenue, Salter Point","Salter Point",1012,1000000
"1 Librizzi Parade, Sinagra","Sinagra",654,530000
"1 Lilypond Court, Ascot","Ascot",279,555000
"1 Linnett Brace, Darch","Darch",545,550000
"1 Lintonmarc Drive, Redcliffe","Redcliffe",496,555000
"1 Litchfield Crescent, Carramar","Carramar",677,565000
"1 Little Lefroy Lane, South Fremantle","South Fremantle",270,950000
"1 Love Street, Myaree","Myaree",422,625000
"1 Luhrs Court, Mundaring","Mundaring",2000,675000
"1 Luke Place, Ascot","Ascot",462,580000
"1 Lundy Cove, Kiara","Kiara",455,365000
"1 Macdonald Road, Applecross","Applecross",401,990000
"1 Mackie Place, Midvale","Midvale",404,375000
"1 Maidos Street, Ashfield","Ashfield",450,358000
"1 MAJORELLE WAY, Eglinton","Eglinton",510,279500
"1 Mal Bay Court, Mindarie","Mindarie",712,660000
"1 Maley Court, Ashfield","Ashfield",600,435000
"1 Malibu Entrance, Iluka","Iluka",639,1500000
"1 Malone Mews, Clarkson","Clarkson",758,299000
"1 Manhattan Concourse, Hilbert","Hilbert",302,445000
"1 Mannaw Place, Hillman","Hillman",709,315000
"1 Mannix Pass, Queens Park","Queens Park",441,500000
"1 Marconi Street, Morley","Morley",801,650000
"1 Margaret Road, Secret Harbour","Secret Harbour",605,700000
"1 Marich Cove, Atwell","Atwell",652,442000
"1 Maritana Road, Kallaroo","Kallaroo",407,470000
"1 Marker Road, Ocean Reef","Ocean Reef",860,940250
"1 Markham Place, Bentley","Bentley",504,375000
"1 Maroma Loop, Burns Beach","Burns Beach",501,672500
"1 Martin Avenue, Rivervale","Rivervale",363,400000
"1 Mayhill Place, Craigie","Craigie",684,445000
"1 McBain Court, Langford","Langford",703,468000
"1 Mcdermott Road, Kwinana Town Centre","Kwinana Town Centre",206,145700
"1 McKenna Glen, Mount Claremont","Mount Claremont",476,1050000
"1 McKenzie Corner, Bertram","Bertram",646,470000
"1 Meadow Place, Hocking","Hocking",680,360000
"1 Meares Avenue, Parmelia","Parmelia",711,220000
"1 Mears Way, Hilbert","Hilbert",332,276000
"1 Melissa Street, Duncraig","Duncraig",716,950000
"1 Melita Drive, Helena Valley","Helena Valley",276,464000
"1 Melrose Crescent, Menora","Menora",1317,1365000
"1 Mercer Place, Thornlie","Thornlie",675,300000
"1 Merlot Court, The Vines","The Vines",706,455000
"1 Milina Street, Hillman","Hillman",780,278000
"1 Mingara Avenue, Harrisdale","Harrisdale",753,1200000
"1 Mission Place, Cooloongup","Cooloongup",802,430000
"1 Moira Mews, Stratton","Stratton",568,365000
"1 Monarch Way, Wattle Grove","Wattle Grove",454,486000
"1 Montana Crescent, Dayton","Dayton",254,430000
"1 Montrose Way, Nollamara","Nollamara",893,300000
"1 Moody Glen, Palmyra","Palmyra",534,740000
"1 Moseley Drive, The Vines","The Vines",1638,859000
"1 Mosman Loop, Success","Success",545,540000
"1 Mottee Road, Bateman","Bateman",757,778000
"1 Mudalla Way, Koongamia","Koongamia",675,385000
"1 Mulberry Lane, Mirrabooka","Mirrabooka",728,410000
"1 Mulgrave Loop, Mindarie","Mindarie",711,610000
"1 Myhill Mews, Leda","Leda",568,215000
"1 Namoi Street, Hammond Park","Hammond Park",642,595000
"1 Nardie Place, Hillman","Hillman",682,320000
"1 Narla Place, Koongamia","Koongamia",751,262000
"1 New Ross Lane, Waterford","Waterford",606,1050000
"1 Newman Place, Kenwick","Kenwick",670,370000
"1 Newmarket Retreat, Currambine","Currambine",734,540000
"1 newquay Street, Harrisdale","Harrisdale",451,462500
"1 Niagara Cove, Bentley","Bentley",439,438000
"1 Nicholas Crescent, Hilton","Hilton",900,467500
"1 Nobilis Street, Beeliar","Beeliar",477,500000
"1 Norfolk Rise, Mount Claremont","Mount Claremont",969,1900000
"1 Northerly Avenue, Ascot","Ascot",304,854000
"1 Nyjong Street, Kenwick","Kenwick",431,350000
"1 Oakwood Court, Beechboro","Beechboro",594,475000
"1 Oban Court, Duncraig","Duncraig",703,1115000
"1 Odell Court, Carine","Carine",712,800000
"1 Odell Street, Secret Harbour","Secret Harbour",572,385000
"1 Offord Street, Armadale","Armadale",694,176500
"1 Ollis Street, Safety Bay","Safety Bay",931,360000
"1 O'Mara Boulevard, Iluka","Iluka",355,625000
"1 Orange Valley Road, Kalamunda","Kalamunda",1070,582500
"1 Otway Street, Swanbourne","Swanbourne",405,2302500
"1 Palos Court, Sorrento","Sorrento",607,680000
"1 Parish Lane, Churchlands","Churchlands",550,1400000
"1 Park Lane, Kardinya","Kardinya",549,610000
"1 Parkwood Avenue, Woodvale","Woodvale",409,554500
"1 Peaceful Close, Marangaroo","Marangaroo",689,420000
"1 Pearson Crescent, Bull Creek","Bull Creek",691,950000
"1 Pedalstone Drive, Southern River","Southern River",769,705000
"1 Peet Crescent, Trigg","Trigg",527,780000
"1 Pelion Court, Middle Swan","Middle Swan",484,505000
"1 Penn Lane, Hammond Park","Hammond Park",604,515000
"1 Penson Street, Singleton","Singleton",783,345000
"1 Pera Mews, Beldon","Beldon",718,460000
"1 Peter Way, Rossmoyne","Rossmoyne",950,1778000
"1 Piermont Avenue, Burns Beach","Burns Beach",550,900000
"1 Pixie Place, Two Rocks","Two Rocks",536,395000
"1 Plover Way, Stirling","Stirling",641,625000
"1 Poinsettia Grove, South Lake","South Lake",700,499000
"1 Point Link, Alkimos","Alkimos",631,595000
"1 Polglase Fairway, Clarkson","Clarkson",662,379000
"1 Portland Way, Ridgewood","Ridgewood",653,520000
"1 Portsea Gardens, Jandakot","Jandakot",593,912000
"1 Presto Close, Quinns Rocks","Quinns Rocks",607,475000
"1 Printer Street, Dianella","Dianella",684,560000
"1 Pursuit Close, Middle Swan","Middle Swan",615,407000
"1 Purvis Street, Hamilton Hill","Hamilton Hill",839,470000
"1 Quail Place, Langford","Langford",800,440000
"1 Quenda Close, Beeliar","Beeliar",545,520000
"1 Ragtime Court, Ascot","Ascot",250,440000
"1 Ramose Close, Heathridge","Heathridge",712,415000
"1 Reflection Mews, Safety Bay","Safety Bay",741,419000
"1 Regatta Way, Alkimos","Alkimos",370,307000
"1 Regent Court, Cockburn Central","Cockburn Central",476,515000
"1 Reginald Street, Queens Park","Queens Park",634,670000
"1 Reilly Street, Singleton","Singleton",964,330000
"1 Reinagle Street, Ashby","Ashby",606,539000
"1 Repens Way, Banksia Grove","Banksia Grove",549,370000
"1 Reserve Street, Bicton","Bicton",565,1820000
"1 Retchford Way, Queens Park","Queens Park",463,560000
"1 Reuben Street, Beaconsfield","Beaconsfield",256,590000
"1 Riber Court, Carine","Carine",741,925000
"1 Richards Crescent, Craigie","Craigie",741,440000
"1 Rigoll Court, Mundijong","Mundijong",873,400000
"1 Ringarooma Way, Willetton","Willetton",764,670000
"1 Ringmer Way, Westminster","Westminster",773,380000
"1 River Bed Pass, Wilson","Wilson",722,765000
"1 Riverdale Road, Helena Valley","Helena Valley",626,415000
"1 Robert Street, Dalkeith","Dalkeith",809,1700000
"1 Robyn Street, Morley","Morley",742,520000
"1 Romani Court, Lockridge","Lockridge",418,400000
"1 Rosalind Court, Rossmoyne","Rossmoyne",877,1110000
"1 Rose Bay Court, Kallaroo","Kallaroo",868,1150000
"1 ROSTRATUS Link, Dayton","Dayton",395,480000
"1 Rothsay Crescent, Menora","Menora",745,915000
"1 Rowe Place, Noranda","Noranda",801,620000
"1 Royal Melbourne Avenue, Connolly","Connolly",774,705000
"1 Royce Grove, Booragoon","Booragoon",786,932000
"1 Ruby Avenue, Langford","Langford",749,482000
"1 Ruby Court, Mount Richon","Mount Richon",1606,589000
"1 Rudge Place, Lockridge","Lockridge",475,320000
"1 Salisbury Road, Beechboro","Beechboro",539,350000
"1 Salmond Way, Bull Creek","Bull Creek",775,802000
"1 Salvin Road, Gwelup","Gwelup",302,820000
"1 Samos Place, Mindarie","Mindarie",729,790000
"1 Sandalford Drive, Beldon","Beldon",690,504000
"1 Sandringham Street, Trigg","Trigg",817,1051000
"1 Scarcliffe Way, Carine","Carine",980,1125000
"1 Scott Street, Kewdale","Kewdale",331,472000
"1 Seaflight Court, Heathridge","Heathridge",904,560000
"1 Searle Road, Ardross","Ardross",527,1390000
"1 Sedge Link, Atwell","Atwell",558,520000
"1 Sellenger Avenue, Samson","Samson",710,462000
"1 Seton Lane, Kinross","Kinross",725,550000
"1 Shackleton Street, Bassendean","Bassendean",535,600000
"1 Sheppard Way, Marmion","Marmion",708,1480000
"1 Shiralee Bend, Carramar","Carramar",631,650000
"1 Shoal Court, Coogee","Coogee",885,710000
"1 Short Street, North Beach","North Beach",552,912000
"1 Silky Lane, Wandi","Wandi",437,303000
"1 Simon Place, City Beach","City Beach",993,1450000
"1 Sistina Road, Ashby","Ashby",598,450000
"1 Skye Lane, Ellenbrook","Ellenbrook",386,320000
"1 Smailes Elbow, Brookdale","Brookdale",385,228750
"1 Smitherson Street, Noranda","Noranda",685,585000
"1 Smullin Street, Hamilton Hill","Hamilton Hill",448,470000
"1 SNOWY RISE, Hammond Park","Hammond Park",581,445000
"1 Solly Court, Bull Creek","Bull Creek",847,1300000
"1 Spargo Street, Myaree","Myaree",437,765000
"1 Spring Hill, Tapping","Tapping",554,597000
"1 Spruce Place, Thornlie","Thornlie",612,490000
"1 Spruce Terrace, Aubin Grove","Aubin Grove",516,512888
"1 St Fillans Bend, Wanneroo","Wanneroo",632,465000
"1 St Ives Loop, Kallaroo","Kallaroo",1000,2195000
"1 Stephen Street, Queens Park","Queens Park",305,480000
"1 Stitfold Promenade, Salter Point","Salter Point",542,1300000
"1 Stokesay Street, Orelia","Orelia",594,418000
"1 Strathmore Parkway, Ellenbrook","Ellenbrook",360,350000
"1 Strathpine Chase, Landsdale","Landsdale",699,575000
"1 Strelley Lane, Carramar","Carramar",675,512600
"1 Stretton Way, Kenwick","Kenwick",659,275000
"1 Strickland Court, Coogee","Coogee",705,770000
"1 Styne Road, City Beach","City Beach",736,1800000
"1 Success Crescent, Salter Point","Salter Point",876,1555000
"1 Swallow Grove, Waikiki","Waikiki",693,360000
"1 Sweeney Way, Padbury","Padbury",697,579000
"1 Talisker Mews, Ballajura","Ballajura",585,420000
"1 Tall Karri Close, Camillo","Camillo",695,370000
"1 Tattler Place, Huntingdale","Huntingdale",754,323000
"1 Taylor Street, White Gum Valley","White Gum Valley",519,845000
"1 Teetree Court, Beechboro","Beechboro",706,500000
"1 Temple Mews, Iluka","Iluka",822,928250
"1 Tenella Mews, Warnbro","Warnbro",532,300000
"1 Tennyson Street, Bellevue","Bellevue",934,400000
"1 Tetbury Road, Butler","Butler",535,500000
"1 The Mead, Kiara","Kiara",535,450000
"1 The Mews, Kardinya","Kardinya",700,730000
"1 Thomas Hamilton Avenue, Mirrabooka","Mirrabooka",516,450000
"1 Thorman Place, Booragoon","Booragoon",829,905000
"1 Thornbill Loop, Beeliar","Beeliar",435,429000
"1 Thurlow Avenue, Yokine","Yokine",386,525000
"1 Till Street, Herne Hill","Herne Hill",808,370000
"1 Tintern Road, Ashby","Ashby",298,465000
"1 Tippett Court, Willetton","Willetton",686,680000
"1 Tiwi Court, Iluka","Iluka",688,826000
"1 Tolbury Retreat, Kiara","Kiara",653,420000
"1 Torre Link, Darch","Darch",518,560000
"1 Torridon Loop, Wanneroo","Wanneroo",740,725000
"1 Treaty Oak Cove, Bibra Lake","Bibra Lake",830,600000
"1 Treave Street, Cloverdale","Cloverdale",311,450000
"1 Triller Road, Bennett Springs","Bennett Springs",515,515000
"1 Trilogy Court, The Vines","The Vines",1545,1030000
"1 Trona Place, Forrestfield","Forrestfield",572,395000
"1 Tropicana Way, Safety Bay","Safety Bay",856,753000
"1 Troy Avenue, Marmion","Marmion",899,1600000
"1 Tucker Street, Medina","Medina",931,270000
"1 Tullow Road, Floreat","Floreat",971,1575000
"1 Turner Parkway, Carramar","Carramar",624,479100
"1 Turner Street, Warnbro","Warnbro",872,310000
"1 TWIN VIEW, Swan View","Swan View",869,595000
"1 Umina Street, High Wycombe","High Wycombe",764,296000
"1 Valencia Avenue, Churchlands","Churchlands",497,935000
"1 Vantage Way, Burswood","Burswood",301,1585000
"1 Veldt Mews, Mirrabooka","Mirrabooka",677,370000
"1 Venetian Way, Baldivis","Baldivis",526,435000
"1 Verve Court, Marmion","Marmion",459,1255000
"1 Vilamour Close, Currambine","Currambine",773,582000
"1 Viola Place, Beechboro","Beechboro",500,485000
"1 Violet Street, Middle Swan","Middle Swan",830,410000
"1 Virgilia Terrace, South Lake","South Lake",708,565000
"1 Voyager Link, Pearsall","Pearsall",318,449000
"1 Wake Court, Redcliffe","Redcliffe",416,390000
"1 Wallace Street, Mundijong","Mundijong",1999,640000
"1 Wambiri Close, South Lake","South Lake",517,510000
"1 Warlu Place, High Wycombe","High Wycombe",620,315000
"1 Warnt Court, South Guildford","South Guildford",742,430000
