ADDRESS,BEDROOMS
"1 Fantail Drive, Bibra Lake",4
"1 Farrington Street, Warnbro",4
"1 Federal Street, Osborne Park",3
"1 Felpham Court, Success",4
"1 Ficarra Way, Sinagra",4
"1 First Avenue, Woodbridge",3
"1 Fischer Road, Darlington",4
"1 Flemington Way, Redcliffe",3
"1 Flint Close, Pearsall",4
"1 Florey Place, Huntingdale",4
"1 Floribunda Gate, Dayton",4
"1 Forrest Court, Kiara",4
"1 Fort Street, Morley",2
"1 Fortuna View, Iluka",4
"1 Fortune Street, Balcatta",3
"1 Fourth Avenue, Rossmoyne",4
"1 Fran Court, Merriwa",3
"1 Freedman Road, Menora",4
"1 Gaffin Way, Kwinana Town Centre",3
"1 Gali Lane, City Beach",4
"1 Galilee Way, Baldivis",3
"1 Gamay Court, The Vines",4
"1 Gannett Street, Bateman",2
"1 Genesta Place, Two Rocks",4
"1 Georges Close, Kallaroo",4
"1 Gerygone Pass, Tapping",3
"1 Ghost Gum Boulevard, Banksia Grove",4
"1 Gianatti Ramble, East Cannington",4
"1 Gidgee Cove, Kenwick",3
"1 Gilchrist Avenue, Bibra Lake",3
"1 Gillespie Court, Lockridge",3
"1 Gillon Road, Noranda",4
"1 Giudice Way, Yangebup",4
"1 Glasson Way, Darch",4
"1 Glebe Close, Mindarie",4
"1 Glenelg Street, Mount Hawthorn",4
"1 Gloucester Road, Kalamunda",4
"1 Gloucester Street, Swanbourne",4
"1 Gold Lane, Iluka",5
"1 Gordon Place, Huntingdale",3
"1 Gorman Place, Calista",4
"1 Graduate Place, Marangaroo",4
"1 Grahame Street, Mount Helena",4
"1 Grant Street, Duncraig",5
"1 Gray Road, Haynes",4
"1 Green Street, Kewdale",3
"1 Greygum Rise, Kenwick",5
"1 Grid Court, Beldon",3
"1 Grimsay Road, Ardross",3
"1 Grove End Ridge, Mount Claremont",4
"1 Grove Street, Shoalwater",3
"1 Guy Place, Melville",3
"1 Hadlow Court, Leeming",4
"1 Halleendale Road, Walliston",4
"1 Hamlyn Glen, Kiara",3
"1 Hanrahan Loop, Kardinya",4
"1 Hansen Vista, Landsdale",5
"1 Hardey Road, Serpentine",4
"1 Harrier Way, Beldon",3
"1 Hartle Lane, Brookdale",4
"1 Hartley Street, Coolbellup",4
"1 Hartwell Parade, Jandakot",4
"1 Harwood Street, Hilton",3
"1 Hazlett Close, South Lake",4
"1 Henderson Road, Stoneville",3
"1 Hennessy Drive, Ashby",4
"1 Henrietta Court, Coogee",4
"1 Henty Court, Mirrabooka",4
"1 Herbert Road, Subiaco",2
"1 Heslop Road, Lesmurdie",5
"1 Hewlett Turn, Tapping",4
"1 Hilliger Turn, Jane Brook",4
"1 Hilltop Close, Mahogany Creek",3
"1 Hilltop Place, Edgewater",4
"1 Hillwater Promenade, Bennett Springs",4
"1 Hitek Court, Merriwa",4
"1 Holmesdale Road, Woodbridge",3
"1 Holywell Street, Middle Swan",4
"1 Honister Close, Balga",4
"1 Hood Street, Forrestfield",3
"1 Hulbert Street, South Fremantle",4
"1 Huntington Road, Coogee",3
"1 Hydra Close, Rockingham",3
"1 Hynes Road, Dalkeith",4
"1 INGODA LINK, Baldivis",5
"1 Ingot Lane, Harrisdale",4
"1 Iona Place, Cannington",4
"1 Irma Way, Butler",4
"1 Ironcap Grove, Wandi",4
"1 Ivythorne Grove, Kiara",3
"1 Jacolite Street, Darch",4
"1 Jade Grove, Edgewater",4
"1 Jaffa Close, Seville Grove",3
"1 Jamaican Road, Safety Bay",3
"1 Jameson Street, Mosman Park",3
"1 Jarrah Lane, Mount Claremont",3
"1 Jaywick Close, Safety Bay",4
"1 Jecks Street, Maida Vale",4
"1 Jeffrey Loop, Brookdale",4
"1 Jib Court, Ocean Reef",3
"1 Jindabyne Street, Hilbert",4
"1 Johnson Avenue, Guildford",2
"1 Jolimont Terrace, Jolimont",3
"1 Josbury Corner, Carramar",4
"1 Jura Court, Duncraig",3
"1 Jurien Close, Warnbro",4
"1 Kadi Court, Marangaroo",3
"1 Kalara Road, Koongamia",3
"1 Kalara Way, Koongamia",3
"1 Kalbarri Pass, Jane Brook",4
"1 Kangaroo Entrance, Stratton",3
"1 Kartner Road, Tapping",4
"1 Kennack Vista, Atwell",4
"1 Kensington Street, Bellevue",3
"1 Kent Street, Viveash",3
"1 Kevin Street, Stoneville",3
"1 Kilmurray Elbow, Huntingdale",4
"1 Kinkuna Way, City Beach",5
"1 Kirkcolm Way, Warwick",4
"1 Kirke Cove, Merriwa",4
"1 Kirkstall Way, Sawyers Valley",2
"1 Knaphill Heights, Mirrabooka",6
"1 Kookaburra Terrace, Ballajura",4
"1 Kooralbyn Way, Connolly",4
"1 Kutcharo Crescent, Joondalup",3
"1 Kyby Place, Carramar",4
"1 Kyle Place, Swan View",4
"1 Lambeth Mews, Mount Claremont",5
"1 Lanark Street, Menora",2
"1 Langham Street, Nedlands",4
"1 Lark Court, Yangebup",3
"1 Lark Mews, Ballajura",3
"1 Lauder Place, Kinross",4
"1 Laughton Way, Leeming",3
"1 Lee Street, Forrestfield",3
"1 Leigh Court, Marangaroo",3
"1 Lena Street, Beckenham",4
"1 Lennoxtown Road, Duncraig",5
"1 Letchworth Centre Avenue, Salter Point",4
"1 Librizzi Parade, Sinagra",4
"1 Lilypond Court, Ascot",5
"1 Lindeman Heights, Ridgewood",4
"1 Linnett Brace, Darch",4
"1 Lintonmarc Drive, Redcliffe",4
"1 Litchfield Crescent, Carramar",3
"1 Little Lefroy Lane, South Fremantle",3
"1 Love Street, Myaree",4
"1 Luhrs Court, Mundaring",4
"1 Luke Place, Ascot",4
"1 Lundy Cove, Kiara",4
"1 Macdonald Road, Applecross",3
"1 Mackie Place, Midvale",4
"1 Maidos Street, Ashfield",3
"1 MAJORELLE WAY, Eglinton",4
"1 Mal Bay Court, Mindarie",4
"1 Malcolm Street, North Beach",2
"1 Maley Court, Ashfield",4
"1 Malibu Entrance, Iluka",5
"1 Malone Mews, Clarkson",4
"1 Manhattan Concourse, Hilbert",3
"1 Mannaw Place, Hillman",4
"1 Mannix Pass, Queens Park",4
"1 Marconi Street, Morley",3
"1 Margaret Road, Secret Harbour",4
"1 Marich Cove, Atwell",3
"1 Maritana Road, Kallaroo",3
"1 Marker Road, Ocean Reef",5
"1 Markham Place, Bentley",3
"1 Maroma Loop, Burns Beach",4
"1 Martin Avenue, Rivervale",3
"1 Mayhill Place, Craigie",3
"1 McBain Court, Langford",4
"1 Mcdermott Road, Kwinana Town Centre",3
"1 McKenna Glen, Mount Claremont",4
"1 McKenzie Corner, Bertram",4
"1 McNairn Cross, Leda",4
"1 Meadow Place, Hocking",3
"1 Meares Avenue, Parmelia",4
"1 Mears Way, Hilbert",3
"1 Medawar Loop, Piara Waters",4
"1 Melissa Street, Duncraig",4
"1 Melita Drive, Helena Valley",3
"1 Melrose Crescent, Menora",4
"1 Mercer Place, Thornlie",3
"1 Merley Crescent, City Beach",4
"1 Merlot Court, The Vines",4
"1 Milina Street, Hillman",3
"1 Mingara Avenue, Harrisdale",4
"1 Mission Place, Cooloongup",4
"1 Moira Mews, Stratton",4
"1 Monarch Way, Wattle Grove",3
"1 Montana Crescent, Dayton",3
"1 Montrose Way, Nollamara",3
"1 Moody Glen, Palmyra",5
"1 Moseley Drive, The Vines",4
"1 Mosman Loop, Success",4
"1 Mottee Road, Bateman",4
"1 Mudalla Way, Koongamia",3
"1 Mulberry Lane, Mirrabooka",2
"1 Mulgrave Loop, Mindarie",5
"1 Myhill Mews, Leda",3
"1 Namoi Street, Hammond Park",4
"1 Nardie Place, Hillman",3
"1 Narla Place, Koongamia",2
"1 Nettia Place, Bennett Springs",4
"1 New Ross Lane, Waterford",4
"1 Newman Place, Kenwick",7
"1 Newmarket Retreat, Currambine",4
"1 newquay Street, Harrisdale",4
"1 Niagara Cove, Bentley",5
"1 Nicholas Crescent, Hilton",2
"1 Nobilis Street, Beeliar",4
"1 Norfolk Rise, Mount Claremont",5
"1 Northerly Avenue, Ascot",3
"1 Nundah Court, Glen Forrest",3
"1 Nyjong Street, Kenwick",4
"1 Oakwood Court, Beechboro",4
"1 Oban Court, Duncraig",4
"1 Odell Court, Carine",4
"1 Odell Street, Secret Harbour",4
"1 Odessa Place, Beldon",4
"1 Offord Street, Armadale",3
"1 Ollera Meander, Carramar",4
"1 Ollis Street, Safety Bay",4
"1 O'Mara Boulevard, Iluka",4
"1 Orange Valley Road, Kalamunda",3
"1 Orsulich Loop, Spearwood",3
"1 Otway Street, Swanbourne",5
"1 Palos Court, Sorrento",4
"1 Parish Lane, Churchlands",4
"1 Park Lane, Kardinya",4
"1 Parkwood Avenue, Woodvale",3
"1 Peaceful Close, Marangaroo",4
"1 Pearson Crescent, Bull Creek",6
"1 Pedalstone Drive, Southern River",4
"1 Peet Crescent, Trigg",3
"1 Pelion Court, Middle Swan",4
"1 Penn Lane, Hammond Park",4
"1 Penson Street, Singleton",3
"1 Pera Mews, Beldon",4
"1 Peter Way, Rossmoyne",5
"1 Piermont Avenue, Burns Beach",4
"1 Pimelea Rise, Beeliar",4
"1 Pixie Place, Two Rocks",5
"1 Platypus Parkway, Beeliar",4
"1 Plover Way, Stirling",3
"1 Poinsettia Grove, South Lake",4
"1 Point Link, Alkimos",4
"1 Polglase Fairway, Clarkson",4
"1 Portland Way, Ridgewood",4
"1 Portsea Gardens, Jandakot",4
"1 Presto Close, Quinns Rocks",4
"1 Printer Street, Dianella",2
"1 Pursuit Close, Middle Swan",4
"1 Purvis Street, Hamilton Hill",3
"1 Quail Place, Langford",4
"1 Quenda Close, Beeliar",4
"1 Ragtime Court, Ascot",3
"1 Ramose Close, Heathridge",3
"1 Reflection Mews, Safety Bay",3
"1 Regatta Way, Alkimos",4
"1 Regent Court, Cockburn Central",3
"1 Reginald Street, Queens Park",5
"1 Reilly Street, Singleton",3
"1 Reinagle Street, Ashby",4
"1 Repens Way, Banksia Grove",4
"1 Reserve Street, Bicton",5
"1 Retchford Way, Queens Park",4
"1 Reuben Street, Beaconsfield",3
"1 Riber Court, Carine",5
"1 Richards Crescent, Craigie",3
"1 Rigoll Court, Mundijong",3
"1 Ringarooma Way, Willetton",4
"1 Ringmer Way, Westminster",3
"1 River Bank Boulevard, South Guildford",4
"1 River Bed Pass, Wilson",4
"1 Riverdale Road, Helena Valley",4
"1 Robert Street, Dalkeith",3
"1 Robyn Street, Morley",3
"1 ROKER Way, Brabham",3
"1 Romani Court, Lockridge",4
"1 Rosalind Court, Rossmoyne",4
"1 Rose Bay Court, Kallaroo",4
"1 ROSTRATUS Link, Dayton",3
"1 Rothsay Crescent, Menora",3
"1 Rowe Place, Noranda",3
"1 Royal Melbourne Avenue, Connolly",4
"1 Royce Grove, Booragoon",2
"1 Ruby Avenue, Langford",4
"1 Ruby Court, Mount Richon",5
"1 Rudge Place, Lockridge",3
"1 Sabro Lane, Caversham",3
"1 Salamanca Parkway, Port Kennedy",3
"1 Salisbury Road, Beechboro",4
"1 Salmond Way, Bull Creek",4
"1 Salvin Road, Gwelup",4
"1 Samos Place, Mindarie",4
"1 Sandalford Drive, Beldon",3
"1 Sandridge Street, Banksia Grove",3
"1 Sandringham Street, Trigg",3
"1 Sapium Way, Woodvale",4
"1 Scarcliffe Way, Carine",5
"1 Scott Street, Kewdale",3
"1 Seabreeze Avenue, Burns Beach",4
"1 Seaflight Court, Heathridge",5
"1 Searle Road, Ardross",6
"1 Sedge Link, Atwell",4
"1 Sellenger Avenue, Samson",4
"1 Seton Lane, Kinross",4
"1 Shackleton Street, Bassendean",3
"1 Sheppard Way, Marmion",4
"1 Shiralee Bend, Carramar",4
"1 Shoal Court, Coogee",4
"1 Short Street, North Beach",3
"1 Silica Road, Wattle Grove",4
"1 Silky Lane, Wandi",4
"1 Simon Place, City Beach",3
"1 Sistina Road, Ashby",4
"1 Skottowe Parkway, Parmelia",3
"1 Skye Lane, Ellenbrook",3
"1 Smailes Elbow, Brookdale",3
"1 Smitherson Street, Noranda",5
"1 Smullin Street, Hamilton Hill",3
"1 SNOWY RISE, Hammond Park",4
"1 Solly Court, Bull Creek",6
"1 Spargo Street, Myaree",4
"1 Spring Hill, Tapping",4
"1 Spruce Place, Thornlie",4
"1 Spruce Terrace, Aubin Grove",4
"1 St Fillans Bend, Wanneroo",4
"1 St Ives Loop, Kallaroo",4
"1 Stephen Street, Queens Park",3
"1 Stitfold Promenade, Salter Point",4
"1 Stokesay Street, Orelia",5
"1 Strathmore Parkway, Ellenbrook",4
"1 Strathpine Chase, Landsdale",4
"1 Strelley Lane, Carramar",4
"1 Stretton Way, Kenwick",3
"1 Strickland Court, Coogee",6
"1 Styne Road, City Beach",4
"1 Success Crescent, Salter Point",4
"1 Sumich Gardens, Coogee",4
"1 Swallow Grove, Waikiki",3
"1 Sweeney Way, Padbury",4
"1 Talisker Mews, Ballajura",5
"1 Tall Karri Close, Camillo",4
"1 Tattler Place, Huntingdale",3
"1 Taylor Street, White Gum Valley",5
"1 Teetree Court, Beechboro",5
"1 Temple Mews, Iluka",4
"1 Tenella Mews, Warnbro",4
"1 Tennyson Street, Bellevue",3
"1 Tetbury Road, Butler",4
"1 The Mead, Kiara",4
"1 The Mews, Kardinya",4
"1 Thomas Hamilton Avenue, Mirrabooka",4
"1 Thorman Place, Booragoon",4
"1 Thornbill Loop, Beeliar",4
"1 Thurlow Avenue, Yokine",3
"1 Till Street, Herne Hill",3
"1 Tintern Road, Ashby",3
"1 Tippett Court, Willetton",4
"1 Tiwi Court, Iluka",4
"1 Tolbury Retreat, Kiara",4
"1 Torre Link, Darch",4
"1 Torridon Loop, Wanneroo",4
"1 Treaty Oak Cove, Bibra Lake",4
"1 Treave Street, Cloverdale",3
"1 Triller Road, Bennett Springs",4
"1 Trilogy Court, The Vines",4
"1 Trona Place, Forrestfield",4
"1 Tropicana Way, Safety Bay",5
"1 Troy Avenue, Marmion",4
"1 Tucker Street, Medina",4
"1 Tuckeroo Parade, Helena Valley",4
"1 Tullow Road, Floreat",5
"1 Turner Parkway, Carramar",4
"1 Turner Street, Warnbro",3
"1 TWIN VIEW, Swan View",4
"1 Umina Street, High Wycombe",2
"1 Valencia Avenue, Churchlands",3
"1 Vantage Way, Burswood",4
"1 Veldt Mews, Mirrabooka",3
"1 Venetian Way, Baldivis",4
"1 Verve Court, Marmion",5
"1 Vilamour Close, Currambine",4
"1 Viola Place, Beechboro",4
"1 Violet Street, Middle Swan",3
"1 Virgilia Terrace, South Lake",4
"1 Voyager Link, Pearsall",3
"1 Wake Court, Redcliffe",3
"1 Wallace Street, Mundijong",4
"1 Wambiri Close, South Lake",4
"1 Warlu Place, High Wycombe",4
"1 Warnt Court, South Guildford",4
"1 Waterway Crescent, Ascot",4
"1 Wattle Court, Mahogany Creek",4
"1 Waugh Court, North Lake",5
"1 Wayford Circle, Hocking",4
"1 Webb Street, Rossmoyne",3
"1 Weema Court, Swan View",6
"1 Weetman Cove, Cannington",3
"1 Wendo Court, Hillman",4
"1 Wenstead Place, Stratton",4
"1 Werri Place, Clarkson",3
"1 Wescap Rise, Merriwa",4
"1 Whelk Place, Mullaloo",3
"1 White Place, Subiaco",3
"1 White Street, North Fremantle",3
"1 Whitehouse Drive, Koondoola",3
"1 Wildwood Mews, Carramar",4
"1 Willard Circuit, Banksia Grove",3
"1 Williams Court, Melville",5
"1 Williamson Way, Trigg",4
"1 Willow Way, Gooseberry Hill",4
"1 Wilson Lane, Bateman",4
"1 Wimbledon Drive, Kingsley",4
"1 Windoo Place, Koongamia",3
"1 Windoo Road, Parkerville",4
"1 Wintergreene Drive, Bennett Springs",4
"1 Wissota Pass, Secret Harbour",4
"1 Woodbine Loop, Tapping",4
"1 Woodbine Terrace, Mirrabooka",4
"1 Woodfield Close, Mount Helena",3
"1 Woodlands Way, Jandakot",4
"1 Woolmore Cross, Atwell",4
"1 Yallambee Place, Karawara",2
"1 Yilgarn Street, White Gum Valley",3
"1 Yule Street, City Beach",4
"1 Zamia Road, Gooseberry Hill",3
"1 Zanzibar Loop, Aveley",3
"1/1 Coolgardie Street, West Perth",2
"1/1 French Street, Ashfield",3
"1/1 Lentona Road, Attadale",2
"1/1 Muriel Avenue, Woodlands",4
"1/1 Wingfield Avenue, Crawley",1
"1/10 Gibson Street, Mount Pleasant",3
"1/11 Adamson Road, Brentwood",3
"1/11 Elvire Street, Viveash",3
"1/11 Stott Close, Armadale",3
"1/11 Waterway Crescent, Ascot",3
"1/125 Swansea Street, East Victoria Park",3
"1/126 Telford Crescent, Stirling",3
"1/13 Helm Street, Mount Pleasant",3
"1/13 Sorrento Street, North Beach",3
"1/14 Godwit Street, Queens Park",3
"1/14 Greenshank Drive, Joondalup",3
"1/14 Mineral Place, Forrestfield",3
"1/14a Norman Street, St James",3
"1/15 Bredgar Way, Marangaroo",3
"1/15 Cook Street, Crawley",3
"1/15 Lisbon Court, Parkwood",3
"1/157 Kinross Drive, Kinross",2
"1/159 Mcdonald Street, Joondanna",2
"1/16 Coneflower Corner, Churchlands",3
"1/16 Leverburgh Street, Ardross",4
"1/16 Tavistock Crescent, Lynwood",3
"1/163 Tyler Street, Tuart Hill",2
"1/164 McDonald Street, Joondanna",4
"1/165 Canning Highway, South Perth",3
"1/17 Elizabeth Street, East Cannington",3
"1/17 Satellite Retreat, Kiara",3
"1/18 Coongan Avenue, Greenmount",3
"1/18 Devon Way, Lynwood",3
"1/18 Mary Street, Highgate",2
"1/182 Fulham Street, Kewdale",2
"1/19 Drabble Road, Scarborough",5
"1/19 Flora Terrace, Watermans Bay",3
"1/19 Roseheath Boulevard, Kiara",3
"1/19 Tamar Street, Palmyra",3
"1/20 Holton Way, Cannington",3
"1/202 Crawford Road, Inglewood",3
"1/205 French Street, Tuart Hill",4
"1/208 Albert Street, Osborne Park",3
"1/21 Fletcher Street, Applecross",3
"1/218 Westview Street, Scarborough",3
"1/22 Ada Street, Watermans Bay",4
"1/22 Harper Street, Woodbridge",3
"1/22 Manoff Road, Balcatta",2
"1/22 Prinsep Road, Melville",3
"1/22 Redgate Court, Kiara",3
"1/23 Avonmore Terrace, Cottesloe",2
"1/23 Golf Road, Parkwood",2
"1/24 Coventry Road, Shoalwater",2
"1/24 Melinga Court, Karawara",3
"1/242 French Street, Tuart Hill",3
"1/265 Kooyong Road, Kewdale",3
"1/268 Guildford Road, Maylands",3
"1/28 Alday Street, St James",4
"1/29 Money Road, Melville",3
"1/29 Seaforth Road, Shoalwater",4
"1/29 Spoonbill Place, Queens Park",4
"1/29 Stratford Street, East Fremantle",2
"1/3 Addlewell Glen, Kiara",3
"1/3 Clive Road, Cottesloe",3
"1/3 Hope Road, Palmyra",2
"1/3 Stockman Way, Cannington",4
"1/30 Milford Way, Nollamara",3
"1/301 Oxford Street, Leederville",1
"1/31 Harvest Road, North Fremantle",3
"1/31 Mosaic Street, Shelley",4
"1/31 Second Avenue, Kensington",3
"1/31 Troy Terrace, Daglish",3
"1/31 Villiers Street, Yokine",3
"1/32 Hubert Road, Maylands",3
"1/326 Preston Point Road, Attadale",3
"1/33 Holmesdale Road, Woodbridge",3
"1/33 Steward Way, Orelia",2
"1/335 Oxford Street, Leederville",4
"1/34 Banksia Street, Joondanna",3
"1/341 Wharf Street, Queens Park",3
"1/35 Collier Avenue, Balcatta",3
"1/36 Wood Street, Inglewood",3
"1/38 Brandon Street, Kensington",3
"1/38 Norman Street, St James",3
"1/39 Beatty Avenue, East Victoria Park",3
"1/39 Cape Street, Osborne Park",3
"1/39 Ferguson Street, Midvale",4
"1/4 Classic Rise, Pearsall",4
"1/4 Lentona Road, Attadale",3
"1/4 Leslie Street, Cannington",3
"1/4 Manley Street, Cannington",3
"1/4 Talbot Road, Woodlands",2
"1/40 Mica Mews, Wattle Grove",3
"1/41 Hooley Road, Midland",3
"1/41 Renwick Street, South Perth",3
"1/42 Byers Road, Woodbridge",3
"1/42 Cleopatra Street, Palmyra",3
"1/43 Ferguson Street, Middle Swan",4
"1/43 John Street, Inglewood",3
"1/46 Charles Street, Midland",3
"1/48 Collier Avenue, Balcatta",3
"1/48 Thelma Street, Como",3
"1/49 Discovery Circuit, Iluka",3
"1/49 Rule Street, North Fremantle",3
"1/49 South Street, Kardinya",2
"1/5 Arpent Link, Brabham",4
"1/50 King Street, Coogee",3
"1/50 Monmouth Street, Mount Lawley",3
"1/53 Carrington Street, Palmyra",3
"1/58 Second Avenue, Rossmoyne",3
"1/584 Canning Highway, Attadale",2
"1/6 Bellevue Terrace, West Perth",3
"1/6 Cato Street, Glendalough",3
"1/6 Pearse Street, North Fremantle",2
"1/63 SAW AVENUE, Rockingham",4
"1/63 Sayer Street, Midland",3
"1/67 Upton Street, St James",3
"1/69 Calais Road, Scarborough",3
"1/69 Welwyn Avenue, Salter Point",3
"1/7 Blandfield Way, Parkwood",3
"1/7 Chidlow Street, Mount Helena",2
"1/7 Hodgson Lane, Mundaring",2
"1/79 Hardy Road, Ashfield",3
"1/79 Sayer Street, Midland",3
"1/8 Benson Court, Mount Nasura",3
"1/8 Betula Street, Riverton",4
"1/8 Burdett Retreat, Murdoch",3
"1/8 Sonia Street, Scarborough",3
"1/86 Ivanhoe Street, Eden Hill",3
"1/9 Glencairn Way, Parkwood",3
"1/94 Kathleen Street, Bassendean",4
"1/95 Kent Street, Rockingham",3
"1/96 North Beach Road, North Beach",3
"1/99 Roberts Road, Subiaco",2
"10 Aberdare Way, Warwick",4
"10 Abingdon Place, Kelmscott",3
"10 Abrolhos Drive, Heathridge",4
"10 Ada Street, Watermans Bay",2
"10 Addingham Crescent, Bertram",4
"10 Adelong Circuit, Merriwa",3
"10 Adonis Street, Mundijong",3
"10 Aitken Place, Noranda",5
"10 Albert Street, Bellevue",3
"10 Aleaha Brace, Aveley",3
"10 Alford Way, Alkimos",3
"10 Altai Dale, Stratton",4
"10 Ameer Way, Beeliar",4
"10 Amery Road, Hocking",4
"10 Andrews Way, Herne Hill",4
"10 Anne Avenue, Walliston",3
"10 Anstey Street, Mundijong",3
"10 Antigua Place, Southern River",4
