ADDRESS,LAND_AREA
"1 Kyle Place, Swan View",2002
"1 Lambeth Mews, Mount Claremont",1047
"1 Lanark Street, Menora",660
"1 Langham Street, Nedlands",540
"1 Lark Court, Yangebup",350
"1 Lark Mews, Ballajura",812
"1 Lauder Place, Kinross",628
"1 Laughton Way, Leeming",329
"1 Lee Street, Forrestfield",363
"1 Leigh Court, Marangaroo",474
"1 Lena Street, Beckenham",771
"1 Lennoxtown Road, Duncraig",701
"1 Letchworth Centre Avenue, Salter Point",1012
"1 Librizzi Parade, Sinagra",654
"1 Lilypond Court, Ascot",279
"1 Lindeman Heights, Ridgewood",715
"1 Linnett Brace, Darch",545
"1 Lintonmarc Drive, Redcliffe",496
"1 Litchfield Crescent, Carramar",677
"1 Little Lefroy Lane, South Fremantle",270
"1 Love Street, Myaree",422
"1 Luhrs Court, Mundaring",2000
"1 Luke Place, Ascot",462
"1 Lundy Cove, Kiara",455
"1 Macdonald Road, Applecross",401
"1 Mackie Place, Midvale",404
"1 Maidos Street, Ashfield",450
"1 MAJORELLE WAY, Eglinton",510
"1 Mal Bay Court, Mindarie",712
"1 Malcolm Street, North Beach",637
"1 Maley Court, Ashfield",600
"1 Malibu Entrance, Iluka",639
"1 Malone Mews, Clarkson",758
"1 Manhattan Concourse, Hilbert",302
"1 Mannaw Place, Hillman",709
"1 Mannix Pass, Queens Park",441
"1 Marconi Street, Morley",801
"1 Margaret Road, Secret Harbour",605
"1 Marich Cove, Atwell",652
"1 Maritana Road, Kallaroo",407
"1 Marker Road, Ocean Reef",860
"1 Markham Place, Bentley",504
"1 Maroma Loop, Burns Beach",501
"1 Martin Avenue, Rivervale",363
"1 Mayhill Place, Craigie",684
"1 McBain Court, Langford",703
"1 Mcdermott Road, Kwinana Town Centre",206
"1 McKenna Glen, Mount Claremont",476
"1 McKenzie Corner, Bertram",646
"1 McNairn Cross, Leda",542
"1 Meadow Place, Hocking",680
"1 Meares Avenue, Parmelia",711
"1 Mears Way, Hilbert",332
"1 Medawar Loop, Piara Waters",524
"1 Melissa Street, Duncraig",716
"1 Melita Drive, Helena Valley",276
"1 Melrose Crescent, Menora",1317
"1 Mercer Place, Thornlie",675
"1 Merley Crescent, City Beach",840
"1 Merlot Court, The Vines",706
"1 Milina Street, Hillman",780
"1 Mingara Avenue, Harrisdale",753
"1 Mission Place, Cooloongup",802
"1 Moira Mews, Stratton",568
"1 Monarch Way, Wattle Grove",454
"1 Montana Crescent, Dayton",254
"1 Montrose Way, Nollamara",893
"1 Moody Glen, Palmyra",534
"1 Moseley Drive, The Vines",1638
"1 Mosman Loop, Success",545
"1 Mottee Road, Bateman",757
"1 Mudalla Way, Koongamia",675
"1 Mulberry Lane, Mirrabooka",728
"1 Mulgrave Loop, Mindarie",711
"1 Myhill Mews, Leda",568
"1 Namoi Street, Hammond Park",642
"1 Nardie Place, Hillman",682
"1 Narla Place, Koongamia",751
"1 Nettia Place, Bennett Springs",558
"1 New Ross Lane, Waterford",606
"1 Newman Place, Kenwick",670
"1 Newmarket Retreat, Currambine",734
"1 newquay Street, Harrisdale",451
"1 Niagara Cove, Bentley",439
"1 Nicholas Crescent, Hilton",900
"1 Nobilis Street, Beeliar",477
"1 Norfolk Rise, Mount Claremont",969
"1 Northerly Avenue, Ascot",304
"1 Nundah Court, Glen Forrest",1819
"1 Nyjong Street, Kenwick",431
"1 Oakwood Court, Beechboro",594
"1 Oban Court, Duncraig",703
"1 Odell Court, Carine",712
"1 Odell Street, Secret Harbour",572
"1 Odessa Place, Beldon",723
"1 Offord Street, Armadale",694
"1 Ollera Meander, Carramar",741
"1 Ollis Street, Safety Bay",931
"1 O'Mara Boulevard, Iluka",355
"1 Orange Valley Road, Kalamunda",1070
"1 Orsulich Loop, Spearwood",328
"1 Otway Street, Swanbourne",405
"1 Palos Court, Sorrento",607
"1 Parish Lane, Churchlands",550
"1 Park Lane, Kardinya",549
"1 Parkwood Avenue, Woodvale",409
"1 Peaceful Close, Marangaroo",689
"1 Pearson Crescent, Bull Creek",691
"1 Pedalstone Drive, Southern River",769
"1 Peet Crescent, Trigg",527
"1 Pelion Court, Middle Swan",484
"1 Penn Lane, Hammond Park",604
"1 Penson Street, Singleton",783
"1 Pera Mews, Beldon",718
"1 Peter Way, Rossmoyne",950
"1 Piermont Avenue, Burns Beach",550
"1 Pimelea Rise, Beeliar",472
"1 Pixie Place, Two Rocks",536
"1 Platypus Parkway, Beeliar",567
"1 Plover Way, Stirling",641
"1 Poinsettia Grove, South Lake",700
"1 Point Link, Alkimos",631
"1 Polglase Fairway, Clarkson",662
"1 Portland Way, Ridgewood",653
"1 Portsea Gardens, Jandakot",593
"1 Presto Close, Quinns Rocks",607
"1 Printer Street, Dianella",684
"1 Pursuit Close, Middle Swan",615
"1 Purvis Street, Hamilton Hill",839
"1 Quail Place, Langford",800
"1 Quenda Close, Beeliar",545
"1 Ragtime Court, Ascot",250
"1 Ramose Close, Heathridge",712
"1 Reflection Mews, Safety Bay",741
"1 Regatta Way, Alkimos",370
"1 Regent Court, Cockburn Central",476
"1 Reginald Street, Queens Park",634
"1 Reilly Street, Singleton",964
"1 Reinagle Street, Ashby",606
"1 Repens Way, Banksia Grove",549
"1 Reserve Street, Bicton",565
"1 Retchford Way, Queens Park",463
"1 Reuben Street, Beaconsfield",256
"1 Riber Court, Carine",741
"1 Richards Crescent, Craigie",741
"1 Rigoll Court, Mundijong",873
"1 Ringarooma Way, Willetton",764
"1 Ringmer Way, Westminster",773
"1 River Bank Boulevard, South Guildford",632
"1 River Bed Pass, Wilson",722
"1 Riverdale Road, Helena Valley",626
"1 Robert Street, Dalkeith",809
"1 Robyn Street, Morley",742
"1 ROKER Way, Brabham",323
"1 Romani Court, Lockridge",418
"1 Rosalind Court, Rossmoyne",877
"1 Rose Bay Court, Kallaroo",868
"1 ROSTRATUS Link, Dayton",395
"1 Rothsay Crescent, Menora",745
"1 Rowe Place, Noranda",801
"1 Royal Melbourne Avenue, Connolly",774
"1 Royce Grove, Booragoon",786
"1 Ruby Avenue, Langford",749
"1 Ruby Court, Mount Richon",1606
"1 Rudge Place, Lockridge",475
"1 Sabro Lane, Caversham",429
"1 Salamanca Parkway, Port Kennedy",604
"1 Salisbury Road, Beechboro",539
"1 Salmond Way, Bull Creek",775
"1 Salvin Road, Gwelup",302
"1 Samos Place, Mindarie",729
"1 Sandalford Drive, Beldon",690
"1 Sandridge Street, Banksia Grove",268
"1 Sandringham Street, Trigg",817
"1 Sapium Way, Woodvale",546
"1 Scarcliffe Way, Carine",980
"1 Scott Street, Kewdale",331
"1 Seabreeze Avenue, Burns Beach",653
"1 Seaflight Court, Heathridge",904
"1 Searle Road, Ardross",527
"1 Sedge Link, Atwell",558
"1 Sellenger Avenue, Samson",710
"1 Seton Lane, Kinross",725
"1 Shackleton Street, Bassendean",535
"1 Sheppard Way, Marmion",708
"1 Shiralee Bend, Carramar",631
"1 Shoal Court, Coogee",885
"1 Short Street, North Beach",552
"1 Silica Road, Wattle Grove",531
"1 Silky Lane, Wandi",437
"1 Simon Place, City Beach",993
"1 Sistina Road, Ashby",598
"1 Skottowe Parkway, Parmelia",680
"1 Skye Lane, Ellenbrook",386
"1 Smailes Elbow, Brookdale",385
"1 Smitherson Street, Noranda",685
"1 Smullin Street, Hamilton Hill",448
"1 SNOWY RISE, Hammond Park",581
"1 Solly Court, Bull Creek",847
"1 Spargo Street, Myaree",437
"1 Spring Hill, Tapping",554
"1 Spruce Place, Thornlie",612
"1 Spruce Terrace, Aubin Grove",516
"1 St Fillans Bend, Wanneroo",632
"1 St Ives Loop, Kallaroo",1000
"1 Stephen Street, Queens Park",305
"1 Stitfold Promenade, Salter Point",542
"1 Stokesay Street, Orelia",594
"1 Strathmore Parkway, Ellenbrook",360
"1 Strathpine Chase, Landsdale",699
"1 Strelley Lane, Carramar",675
"1 Stretton Way, Kenwick",659
"1 Strickland Court, Coogee",705
"1 Styne Road, City Beach",736
"1 Success Crescent, Salter Point",876
"1 Sumich Gardens, Coogee",620
"1 Swallow Grove, Waikiki",693
"1 Sweeney Way, Padbury",697
"1 Talisker Mews, Ballajura",585
"1 Tall Karri Close, Camillo",695
"1 Tattler Place, Huntingdale",754
"1 Taylor Street, White Gum Valley",519
"1 Teetree Court, Beechboro",706
"1 Temple Mews, Iluka",822
"1 Tenella Mews, Warnbro",532
"1 Tennyson Street, Bellevue",934
"1 Tetbury Road, Butler",535
"1 The Mead, Kiara",535
"1 The Mews, Kardinya",700
"1 Thomas Hamilton Avenue, Mirrabooka",516
"1 Thorman Place, Booragoon",829
"1 Thornbill Loop, Beeliar",435
"1 Thurlow Avenue, Yokine",386
"1 Till Street, Herne Hill",808
"1 Tintern Road, Ashby",298
"1 Tippett Court, Willetton",686
"1 Tiwi Court, Iluka",688
"1 Tolbury Retreat, Kiara",653
"1 Torre Link, Darch",518
"1 Torridon Loop, Wanneroo",740
"1 Treaty Oak Cove, Bibra Lake",830
"1 Treave Street, Cloverdale",311
"1 Triller Road, Bennett Springs",515
"1 Trilogy Court, The Vines",1545
"1 Trona Place, Forrestfield",572
"1 Tropicana Way, Safety Bay",856
"1 Troy Avenue, Marmion",899
"1 Tucker Street, Medina",931
"1 Tuckeroo Parade, Helena Valley",983
"1 Tullow Road, Floreat",971
"1 Turner Parkway, Carramar",624
"1 Turner Street, Warnbro",872
"1 TWIN VIEW, Swan View",869
"1 Umina Street, High Wycombe",764
"1 Valencia Avenue, Churchlands",497
"1 Vantage Way, Burswood",301
"1 Veldt Mews, Mirrabooka",677
"1 Venetian Way, Baldivis",526
"1 Verve Court, Marmion",459
"1 Vilamour Close, Currambine",773
"1 Viola Place, Beechboro",500
"1 Violet Street, Middle Swan",830
"1 Virgilia Terrace, South Lake",708
"1 Voyager Link, Pearsall",318
"1 Wake Court, Redcliffe",416
"1 Wallace Street, Mundijong",1999
"1 Wambiri Close, South Lake",517
"1 Warlu Place, High Wycombe",620
"1 Warnt Court, South Guildford",742
"1 Waterway Crescent, Ascot",556
"1 Wattle Court, Mahogany Creek",2001
"1 Waugh Court, North Lake",855
"1 Wayford Circle, Hocking",622
"1 Webb Street, Rossmoyne",531
"1 Weema Court, Swan View",1068
"1 Weetman Cove, Cannington",281
"1 Wendo Court, Hillman",693
"1 Wenstead Place, Stratton",686
"1 Werri Place, Clarkson",344
"1 Wescap Rise, Merriwa",684
"1 Whelk Place, Mullaloo",706
"1 White Place, Subiaco",261
"1 White Street, North Fremantle",329
"1 Whitehouse Drive, Koondoola",998
"1 Wildwood Mews, Carramar",586
"1 Willard Circuit, Banksia Grove",313
"1 Williams Court, Melville",513
"1 Williamson Way, Trigg",442
"1 Willow Way, Gooseberry Hill",957
"1 Wilson Lane, Bateman",617
"1 Wimbledon Drive, Kingsley",700
"1 Windoo Place, Koongamia",751
"1 Windoo Road, Parkerville",2404
"1 Wintergreene Drive, Bennett Springs",666
"1 Wissota Pass, Secret Harbour",613
"1 Woodbine Loop, Tapping",700
"1 Woodbine Terrace, Mirrabooka",765
"1 Woodfield Close, Mount Helena",2000
"1 Woodlands Way, Jandakot",441
"1 Woolmore Cross, Atwell",671
"1 Yallambee Place, Karawara",976
"1 Yilgarn Street, White Gum Valley",411
"1 Yule Street, City Beach",975
"1 Zamia Road, Gooseberry Hill",2113
"1 Zanzibar Loop, Aveley",687
"1/1 Coolgardie Street, West Perth",813
"1/1 French Street, Ashfield",345
"1/1 Lentona Road, Attadale",1982
"1/1 Muriel Avenue, Woodlands",270
"1/1 Wingfield Avenue, Crawley",221
"1/10 Gibson Street, Mount Pleasant",373
"1/11 Adamson Road, Brentwood",774
"1/11 Elvire Street, Viveash",396
"1/11 Stott Close, Armadale",2354
"1/11 Waterway Crescent, Ascot",462
"1/125 Swansea Street, East Victoria Park",442
"1/126 Telford Crescent, Stirling",265
"1/13 Helm Street, Mount Pleasant",364
"1/13 Sorrento Street, North Beach",183
"1/14 Godwit Street, Queens Park",1768
"1/14 Greenshank Drive, Joondalup",500
"1/14 Mineral Place, Forrestfield",440
"1/14a Norman Street, St James",266
"1/15 Bredgar Way, Marangaroo",500
"1/15 Cook Street, Crawley",1366
"1/15 Lisbon Court, Parkwood",1012
"1/157 Kinross Drive, Kinross",183
"1/159 Mcdonald Street, Joondanna",809
"1/16 Coneflower Corner, Churchlands",1862
"1/16 Leverburgh Street, Ardross",200
"1/16 Tavistock Crescent, Lynwood",1037
"1/163 Tyler Street, Tuart Hill",2024
"1/164 McDonald Street, Joondanna",1062
"1/165 Canning Highway, South Perth",717
"1/17 Elizabeth Street, East Cannington",339
"1/17 Satellite Retreat, Kiara",373
"1/18 Coongan Avenue, Greenmount",675
"1/18 Devon Way, Lynwood",378
"1/18 Mary Street, Highgate",183
"1/182 Fulham Street, Kewdale",146
"1/19 Drabble Road, Scarborough",1886
"1/19 Flora Terrace, Watermans Bay",216
"1/19 Roseheath Boulevard, Kiara",351
"1/19 Tamar Street, Palmyra",1048
"1/20 Holton Way, Cannington",261
"1/202 Crawford Road, Inglewood",357
"1/205 French Street, Tuart Hill",1215
"1/208 Albert Street, Osborne Park",1012
"1/21 Fletcher Street, Applecross",219
"1/218 Westview Street, Scarborough",1277
"1/22 Ada Street, Watermans Bay",397
"1/22 Harper Street, Woodbridge",151
"1/22 Manoff Road, Balcatta",776
"1/22 Prinsep Road, Melville",377
"1/22 Redgate Court, Kiara",363
"1/23 Avonmore Terrace, Cottesloe",910
"1/23 Golf Road, Parkwood",286
"1/24 Coventry Road, Shoalwater",1535
"1/24 Melinga Court, Karawara",251
"1/242 French Street, Tuart Hill",239
"1/265 Kooyong Road, Kewdale",1620
"1/268 Guildford Road, Maylands",891
"1/28 Alday Street, St James",312
"1/29 Money Road, Melville",218
"1/29 Seaforth Road, Shoalwater",340
"1/29 Spoonbill Place, Queens Park",281
"1/29 Stratford Street, East Fremantle",912
"1/3 Addlewell Glen, Kiara",454
"1/3 Clive Road, Cottesloe",235
"1/3 Hope Road, Palmyra",303
"1/3 Stockman Way, Cannington",368
"1/30 Milford Way, Nollamara",701
"1/301 Oxford Street, Leederville",181
"1/31 Harvest Road, North Fremantle",359
"1/31 Mosaic Street, Shelley",1390
"1/31 Second Avenue, Kensington",237
"1/31 Troy Terrace, Daglish",810
"1/31 Villiers Street, Yokine",243
"1/32 Hubert Road, Maylands",2024
"1/326 Preston Point Road, Attadale",400
"1/33 Holmesdale Road, Woodbridge",1012
"1/33 Steward Way, Orelia",205
"1/335 Oxford Street, Leederville",243
"1/34 Banksia Street, Joondanna",257
"1/341 Wharf Street, Queens Park",1474
"1/35 Collier Avenue, Balcatta",246
"1/36 Wood Street, Inglewood",174
"1/38 Brandon Street, Kensington",631
"1/38 Norman Street, St James",265
"1/39 Beatty Avenue, East Victoria Park",242
"1/39 Cape Street, Osborne Park",245
"1/39 Ferguson Street, Midvale",1058
"1/4 Classic Rise, Pearsall",300
"1/4 Lentona Road, Attadale",327
"1/4 Leslie Street, Cannington",399
"1/4 Manley Street, Cannington",102
"1/4 Talbot Road, Woodlands",201
"1/40 Mica Mews, Wattle Grove",2497
"1/41 Hooley Road, Midland",535
"1/41 Renwick Street, South Perth",836
"1/42 Byers Road, Woodbridge",1310
"1/42 Cleopatra Street, Palmyra",257
"1/43 Ferguson Street, Middle Swan",440
"1/43 John Street, Inglewood",1012
"1/46 Charles Street, Midland",1012
"1/48 Collier Avenue, Balcatta",1012
"1/48 Thelma Street, Como",1062
"1/49 Discovery Circuit, Iluka",372
"1/49 Rule Street, North Fremantle",2198
"1/49 South Street, Kardinya",810
"1/5 Arpent Link, Brabham",365
"1/50 King Street, Coogee",299
"1/50 Monmouth Street, Mount Lawley",1000
"1/53 Carrington Street, Palmyra",1048
"1/58 Second Avenue, Rossmoyne",474
"1/584 Canning Highway, Attadale",1849
"1/6 Bellevue Terrace, West Perth",2133
"1/6 Cato Street, Glendalough",248
"1/6 Pearse Street, North Fremantle",250
"1/63 SAW AVENUE, Rockingham",1754
"1/63 Sayer Street, Midland",246
"1/67 Upton Street, St James",224
"1/69 Calais Road, Scarborough",1012
"1/69 Welwyn Avenue, Salter Point",408
"1/7 Blandfield Way, Parkwood",479
"1/7 Chidlow Street, Mount Helena",598
"1/7 Hodgson Lane, Mundaring",249
"1/79 Hardy Road, Ashfield",401
"1/79 Sayer Street, Midland",172
"1/8 Benson Court, Mount Nasura",406
"1/8 Betula Street, Riverton",807
"1/8 Burdett Retreat, Murdoch",804
"1/8 Sonia Street, Scarborough",277
"1/86 Ivanhoe Street, Eden Hill",349
"1/9 Glencairn Way, Parkwood",1598
"1/94 Kathleen Street, Bassendean",1803
"1/95 Kent Street, Rockingham",227
"1/96 North Beach Road, North Beach",468
"1/99 Roberts Road, Subiaco",804
"10 Aberdare Way, Warwick",714
"10 Abingdon Place, Kelmscott",789
"10 Abrolhos Drive, Heathridge",486
"10 Ada Street, Watermans Bay",1024
"10 Addingham Crescent, Bertram",593
"10 Adelong Circuit, Merriwa",507
"10 Adonis Street, Mundijong",2126
"10 Aitken Place, Noranda",700
"10 Albert Street, Bellevue",629
"10 Aleaha Brace, Aveley",475
"10 Alford Way, Alkimos",300
"10 Altai Dale, Stratton",609
"10 Ameer Way, Beeliar",501
