ADDRESS,NEAREST_SCH
"1 Bradstocks Grove, Southern River",PROVIDENCE CHRISTIAN COLLEGE
"1 Bramley Way, Bibra Lake",PERTH WALDORF SCHOOL
"1 Brassey Street, Swanbourne",SCOTCH COLLEGE
"1 Brentwood Way, The Vines",HOLY CROSS COLLEGE
"1 Brilliant Rise, Stratton",SWAN VIEW SENIOR HIGH SCHOOL
"1 Briston Place, North Beach",CARINE SENIOR HIGH SCHOOL
"1 Bristow Street, Haynes",DALE CHRISTIAN SCHOOL
"1 Brittain Avenue, Madeley",KINGSWAY CHRISTIAN COLLEGE
"1 Brix Street, Wembley Downs",HALE SCHOOL
"1 Brixton Road, Bentley",CANNING COLLEGE
"1 Bruning Road, Manning",COMO SECONDARY COLLEGE
"1 Buckie Court, Warwick",GREENWOOD COLLEGE
"1 Bull Place, Queens Park",ST NORBERT COLLEGE
"1 Bynder Lane, Medina",GILMORE COLLEGE
"1 Cadiz Way, Bullsbrook",HOLY CROSS COLLEGE
"1 Cam Court, Merriwa",ALKIMOS BAPTIST COLLEGE
"1 Camden Boulevard, Aubin Grove",ATWELL COLLEGE
"1 Cameron Street, Karrinyup",ST MARY'S ANGLICAN GIRLS' SCHOOL
"1 Camira Place, Gooseberry Hill",KALAMUNDA SENIOR HIGH SCHOOL
"1 Camrose Lane, Darch",ASHDALE SECONDARY COLLEGE
"1 Canarias Way, Hillarys",SACRED HEART COLLEGE
"1 Cannon Court, Alexander Heights",MERCY COLLEGE
"1 Canny Road, St James",CANNING COLLEGE
"1 Carnegie Road, Bassendean",CYRIL JACKSON SENIOR CAMPUS
"1 Carroll Street, Ardross",APPLECROSS SENIOR HIGH SCHOOL
"1 Caterpillar Road, Success",ATWELL COLLEGE
"1 Caxton Lane, Ballajura",BALLAJURA COMMUNITY COLLEGE
"1 Centaur Circle, Woodbridge",YOUTH FUTURES COMMUNITY SCHOOL
"1 Cessford Close, Leda",PETER CARNLEY ANGLICAN COMMUNITY SCHOOL
"1 Challenger Avenue, Manning",COMO SECONDARY COLLEGE
"1 Chamberlain Circle, Bateman",CORPUS CHRISTI COLLEGE
"1 Charleston Road, Eglinton",YANCHEP SECONDARY COLLEGE
"1 Chauvel Court, Kiara",KIARA COLLEGE
"1 Chester Court, Orelia",GILMORE COLLEGE
"1 Chiddington Street, Beckenham",COMMUNICARE ACADEMY
"1 Chipala Court, Edgewater",MATER DEI COLLEGE
"1 Citrus Loop, South Lake",LAKELAND SENIOR HIGH SCHOOL
"1 Claret Ash Court, Helena Valley",YOUTH FUTURES COMMUNITY SCHOOL
"1 Clarke Street, East Cannington",SEVENOAKS SENIOR COLLEGE
"1 Clearwater Way, Singleton",COMET BAY COLLEGE
"1 Clifford Loop, Darch",ASHDALE SECONDARY COLLEGE
"1 Cliverton Court, Marmion",CARINE SENIOR HIGH SCHOOL
"1 Clovertree Street, Maddington",LUMEN CHRISTI COLLEGE
"1 Cobea Court, Mount Claremont",JOHN XXIII COLLEGE
"1 Cockman Road, Greenwood",WARWICK SENIOR HIGH SCHOOL
"1 Cohen Place, Beechboro",KIARA COLLEGE
"1 Collier Street, Wembley",BOLD PARK COMMUNITY SCHOOL
"1 Colmworth Way, Butler",BUTLER COLLEGE
"1 Colonial Mews, Edgewater",MATER DEI COLLEGE
"1 Conical Way, Harrisdale",CAREY BAPTIST COLLEGE
"1 Convallis Vista, The Vines",HOLY CROSS COLLEGE
"1 Corbin Gate, Madeley",KINGSWAY CHRISTIAN COLLEGE
"1 Coronado Ridge, Iluka",PRENDIVILLE CATHOLIC COLLEGE
"1 Corvette Close, Waikiki",SOUTH COAST BAPTIST COLLEGE
"1 Craigie Place, Mundaring",MUNDARING CHRISTIAN COLLEGE
"1 Crest Grove, Ballajura",BALLAJURA COMMUNITY COLLEGE
"1 Creswick Cross, Kiara",KIARA COLLEGE
"1 Criollo Place, Stratton",SWAN VIEW SENIOR HIGH SCHOOL
"1 Crivelli Parkway, Ashby",WANNEROO SECONDARY COLLEGE
"1 Crowley Vista, Salter Point",AQUINAS COLLEGE
"1 Curruthers Road, Mount Pleasant",AQUINAS COLLEGE
"1 Cypress Mews, Warnbro",SOUTH COAST BAPTIST COLLEGE
"1 Dagostino Road, Byford",BYFORD SECONDARY COLLEGE
"1 Dalkey Way, Darch",ASHDALE SECONDARY COLLEGE
"1 Danzil Street, Willagee",MELVILLE SENIOR HIGH SCHOOL
"1 Datchet Turn, Bertram",THE KING'S COLLEGE
"1 David Street, Mullaloo",ST MARK'S ANGLICAN COMMUNITY SCHOOL
"1 Davis Court, Woodlands",CHURCHLANDS SENIOR HIGH SCHOOL
"1 Daybreak Loop, Wellard",THE KING'S COLLEGE
"1 Dean Place, Lockridge",KIARA COLLEGE
"1 Dean Road, Bateman",CORPUS CHRISTI COLLEGE
"1 Delphi Court, Rossmoyne",AQUINAS COLLEGE
"1 Denton Street, Wembley",PERTH MODERN SCHOOL
"1 Dermer Road, Beaconsfield",FREMANTLE COLLEGE
"1 Deverell Way, Bentley",CANNING COLLEGE
"1 Dilkera Place, Quinns Rocks",ALKIMOS BAPTIST COLLEGE
"1 Dirk Hartog Road, Bull Creek",CORPUS CHRISTI COLLEGE
"1 Discovery Circuit, Iluka",PRENDIVILLE CATHOLIC COLLEGE
"1 Disney Street, Brentwood",CORPUS CHRISTI COLLEGE
"1 Dolomite Road, Carine",CARINE SENIOR HIGH SCHOOL
"1 Dolphin Way, Beldon",BELRIDGE SECONDARY COLLEGE
"1 Doradeen Close, Hillman",KOLBE CATHOLIC COLLEGE
"1 Doram Court, Swan View",SWAN VIEW SENIOR HIGH SCHOOL
"1 Driftwood Way, Bennett Springs",KIARA COLLEGE
"1 Driver Road, Darch",ASHDALE SECONDARY COLLEGE
"1 Dunbar Road, Claremont",CHRIST CHURCH GRAMMAR SCHOOL
"1 Durant Way, Brentwood",CORPUS CHRISTI COLLEGE
"1 Dutton Way, Singleton",MANDURAH BAPTIST COLLEGE
"1 Duxford Street, Butler",BUTLER COLLEGE
"1 East Street, Mount Hawthorn",BOLD PARK COMMUNITY SCHOOL
"1 Eastfield Court, Ferndale",FOUNTAIN COLLEGE
"1 Easton Court, Boya",TREETOPS MONTESSORI SCHOOL
"1 Edelweiss Way, Beckenham",REHOBOTH CHRISTIAN COLLEGE
"1 Edgecombe Pass, Aveley",SWAN VALLEY ANGLICAN COMMUNITY SCHOOL
"1 El Porto Way, Iluka",PRENDIVILLE CATHOLIC COLLEGE
"1 Elfin Grove, Warnbro",WARNBRO COMMUNITY HIGH SCHOOL
"1 Elvire Street, Midland",LA SALLE COLLEGE
"1 Empress Crescent, Atwell",ATWELL COLLEGE
"1 Epping Court, High Wycombe",YOUTH FUTURES COMMUNITY SCHOOL
"1 Ericht Pass, Kinross",LAKE JOONDALUP BAPTIST COLLEGE
"1 Estevan Way, Ferndale",FOUNTAIN COLLEGE
"1 Ethel Street, Guildford",GUILDFORD GRAMMAR SCHOOL
"1 Etna Place, Rossmoyne",AQUINAS COLLEGE
"1 Eudora Way, North Coogee",PORT SCHOOL
"1 Fairetha Court, Ascot",CYRIL JACKSON SENIOR CAMPUS
"1 Fairhaven Terrace, Hillarys",ST MARK'S ANGLICAN COMMUNITY SCHOOL
"1 Fallow Crescent, Spearwood",PORT SCHOOL
"1 Fantail Drive, Bibra Lake",PERTH WALDORF SCHOOL
"1 Farrington Street, Warnbro",LIVING WATERS LUTHERAN COLLEGE
"1 Federal Street, Osborne Park",SERVITE COLLEGE
"1 Felpham Court, Success",EMMANUEL CATHOLIC COLLEGE
"1 Ficarra Way, Sinagra",WANNEROO SECONDARY COLLEGE
"1 First Avenue, Woodbridge",GOVERNOR STIRLING SENIOR HIGH SCHOOL
"1 Fischer Road, Darlington",HELENA COLLEGE
"1 Flemington Way, Redcliffe",BELMONT CITY COLLEGE
"1 Flint Close, Pearsall",ALTA-1
"1 Florey Place, Huntingdale",SOUTHERN RIVER COLLEGE
"1 Floribunda Gate, Dayton",SWAN CHRISTIAN COLLEGE
"1 Forrest Court, Kiara",KIARA COLLEGE
"1 Fort Street, Morley",JOHN FORREST SECONDARY COLLEGE
"1 Fortuna View, Iluka",PRENDIVILLE CATHOLIC COLLEGE
"1 Fortune Street, Balcatta",BALCATTA SENIOR HIGH SCHOOL
"1 Fourth Avenue, Rossmoyne",ROSSMOYNE SENIOR HIGH SCHOOL
"1 Fran Court, Merriwa",QUINNS BAPTIST COLLEGE
"1 Freedman Road, Menora",MOUNT LAWLEY SENIOR HIGH SCHOOL
"1 Gaffin Way, Kwinana Town Centre",GILMORE COLLEGE
"1 Gali Lane, City Beach",NEWMAN COLLEGE
"1 Galilee Way, Baldivis",BALDIVIS SECONDARY COLLEGE
"1 Gamay Court, The Vines",HOLY CROSS COLLEGE
"1 Gannett Street, Bateman",CORPUS CHRISTI COLLEGE
"1 Genesta Place, Two Rocks",YANCHEP SECONDARY COLLEGE
"1 Georges Close, Kallaroo",ST MARK'S ANGLICAN COMMUNITY SCHOOL
"1 Gerygone Pass, Tapping",JOSEPH BANKS SECONDARY COLLEGE
"1 Ghost Gum Boulevard, Banksia Grove",JOSEPH BANKS SECONDARY COLLEGE
"1 Gianatti Ramble, East Cannington",SEVENOAKS SENIOR COLLEGE
"1 Gidgee Cove, Kenwick",REHOBOTH CHRISTIAN COLLEGE
"1 Gilchrist Avenue, Bibra Lake",LEEMING SENIOR HIGH SCHOOL
"1 Gillespie Court, Lockridge",KIARA COLLEGE
"1 Gillon Road, Noranda",HAMPTON SENIOR HIGH SCHOOL
"1 Giudice Way, Yangebup",DIVINE MERCY COLLEGE
"1 Glasson Way, Darch",ASHDALE SECONDARY COLLEGE
"1 Glebe Close, Mindarie",QUINNS BAPTIST COLLEGE
"1 Glenelg Street, Mount Hawthorn",BOLD PARK COMMUNITY SCHOOL
"1 Gloucester Road, Kalamunda",KALAMUNDA SENIOR HIGH SCHOOL
"1 Gloucester Street, Swanbourne",SCOTCH COLLEGE
"1 Gold Lane, Iluka",PRENDIVILLE CATHOLIC COLLEGE
"1 Gordon Place, Huntingdale",SOUTHERN RIVER COLLEGE
"1 Gorman Place, Calista",GILMORE COLLEGE
"1 Graduate Place, Marangaroo",GIRRAWHEEN SENIOR HIGH SCHOOL
"1 Grahame Street, Mount Helena",EASTERN HILLS SENIOR HIGH SCHOOL
"1 Grant Street, Duncraig",DUNCRAIG SENIOR HIGH SCHOOL
"1 Gray Road, Haynes",CECIL ANDREWS COLLEGE
"1 Green Street, Kewdale",AUSTRALIAN ISLAMIC COLLEGE - KEWDALE
"1 Greygum Rise, Kenwick",REHOBOTH CHRISTIAN COLLEGE
"1 Grid Court, Beldon",BELRIDGE SECONDARY COLLEGE
"1 Grimsay Road, Ardross",APPLECROSS SENIOR HIGH SCHOOL
"1 Grove End Ridge, Mount Claremont",JOHN XXIII COLLEGE
"1 Grove Street, Shoalwater",ROCKINGHAM SENIOR HIGH SCHOOL
"1 Guy Place, Melville",MELVILLE SENIOR HIGH SCHOOL
"1 Hadlow Court, Leeming",LEEMING SENIOR HIGH SCHOOL
"1 Halleendale Road, Walliston",ST BRIGID'S COLLEGE
"1 Hamlyn Glen, Kiara",KIARA COLLEGE
"1 Hanrahan Loop, Kardinya",NORTH LAKE SENIOR CAMPUS
"1 Hansen Vista, Landsdale",LANDSDALE CHRISTIAN SCHOOL
"1 Hardey Road, Serpentine",COURT GRAMMAR SCHOOL
"1 Harrier Way, Beldon",BELRIDGE SECONDARY COLLEGE
"1 Hartle Lane, Brookdale",ARMADALE SENIOR HIGH SCHOOL
"1 Hartley Street, Coolbellup",SETON CATHOLIC COLLEGE
"1 Hartwell Parade, Jandakot",LAKELAND SENIOR HIGH SCHOOL
"1 Harwood Street, Hilton",SETON CATHOLIC COLLEGE
"1 Hazlett Close, South Lake",LAKELAND SENIOR HIGH SCHOOL
"1 Henderson Road, Stoneville",MUNDARING CHRISTIAN COLLEGE
"1 Hennessy Drive, Ashby",WANNEROO SECONDARY COLLEGE
"1 Henrietta Court, Coogee",PORT SCHOOL
"1 Henty Court, Mirrabooka",JOHN SEPTIMUS ROE ANGLICAN COMMUNITY SCHOOL
"1 Herbert Road, Subiaco",SHENTON COLLEGE
"1 Heslop Road, Lesmurdie",ST BRIGID'S COLLEGE
"1 Hewlett Turn, Tapping",JOSEPH BANKS SECONDARY COLLEGE
"1 Hilliger Turn, Jane Brook",SWAN VIEW SENIOR HIGH SCHOOL
"1 Hilltop Close, Mahogany Creek",MUNDARING CHRISTIAN COLLEGE
"1 Hilltop Place, Edgewater",MATER DEI COLLEGE
"1 Hillwater Promenade, Bennett Springs",KIARA COLLEGE
"1 Hitek Court, Merriwa",QUINNS BAPTIST COLLEGE
"1 Holmesdale Road, Woodbridge",GOVERNOR STIRLING SENIOR HIGH SCHOOL
"1 Holywell Street, Middle Swan",LA SALLE COLLEGE
"1 Honister Close, Balga",BALGA SENIOR HIGH SCHOOL
"1 Hood Street, Forrestfield",HERITAGE COLLEGE PERTH
"1 Hulbert Street, South Fremantle",FREMANTLE COLLEGE
"1 Huntington Road, Coogee",PORT SCHOOL
"1 Hydra Close, Rockingham",ROCKINGHAM SENIOR HIGH SCHOOL
"1 Hynes Road, Dalkeith",METHODIST LADIES' COLLEGE
"1 INGODA LINK, Baldivis",TRANBY COLLEGE
"1 Ingot Lane, Harrisdale",CAREY BAPTIST COLLEGE
"1 Iona Place, Cannington",SEVENOAKS SENIOR COLLEGE
"1 Irma Way, Butler",BUTLER COLLEGE
"1 Ironcap Grove, Wandi",GILMORE COLLEGE
"1 Ivythorne Grove, Kiara",KIARA COLLEGE
"1 Jacolite Street, Darch",ASHDALE SECONDARY COLLEGE
"1 Jade Grove, Edgewater",MATER DEI COLLEGE
"1 Jaffa Close, Seville Grove",CECIL ANDREWS COLLEGE
"1 Jamaican Road, Safety Bay",SAFETY BAY SENIOR HIGH SCHOOL
"1 Jameson Street, Mosman Park",IONA PRESENTATION COLLEGE
"1 Jarrah Lane, Mount Claremont",JOHN XXIII COLLEGE
"1 Jaywick Close, Safety Bay",SAFETY BAY SENIOR HIGH SCHOOL
"1 Jecks Street, Maida Vale",DARLING RANGE SPORTS COLLEGE
"1 Jeffrey Loop, Brookdale",ARMADALE SENIOR HIGH SCHOOL
"1 Jib Court, Ocean Reef",OCEAN REEF SENIOR HIGH SCHOOL
"1 Jindabyne Street, Hilbert",DALE CHRISTIAN SCHOOL
"1 Johnson Avenue, Guildford",GUILDFORD GRAMMAR SCHOOL
"1 Jolimont Terrace, Jolimont",SHENTON COLLEGE
"1 Josbury Corner, Carramar",JOSEPH BANKS SECONDARY COLLEGE
"1 Jura Court, Duncraig",GREENWOOD COLLEGE
"1 Jurien Close, Warnbro",WARNBRO COMMUNITY HIGH SCHOOL
"1 Kadi Court, Marangaroo",GIRRAWHEEN SENIOR HIGH SCHOOL
"1 Kalara Road, Koongamia",SWAN VIEW SENIOR HIGH SCHOOL
"1 Kalara Way, Koongamia",SWAN VIEW SENIOR HIGH SCHOOL
"1 Kalbarri Pass, Jane Brook",SWAN VIEW SENIOR HIGH SCHOOL
"1 Kangaroo Entrance, Stratton",SWAN CHRISTIAN COLLEGE
"1 Kartner Road, Tapping",JOSEPH BANKS SECONDARY COLLEGE
"1 Kennack Vista, Atwell",ATWELL COLLEGE
"1 Kensington Street, Bellevue",SWAN VIEW SENIOR HIGH SCHOOL
"1 Kent Street, Viveash",LA SALLE COLLEGE
"1 Kevin Street, Stoneville",MUNDARING CHRISTIAN COLLEGE
"1 Kilmurray Elbow, Huntingdale",SOUTHERN RIVER COLLEGE
"1 Kinkuna Way, City Beach",HALE SCHOOL
"1 Kirkcolm Way, Warwick",WARWICK SENIOR HIGH SCHOOL
"1 Kirke Cove, Merriwa",ALKIMOS BAPTIST COLLEGE
"1 Kirkstall Way, Sawyers Valley",MUNDARING CHRISTIAN COLLEGE
"1 Knaphill Heights, Mirrabooka",JOHN SEPTIMUS ROE ANGLICAN COMMUNITY SCHOOL
"1 Kookaburra Terrace, Ballajura",BALLAJURA COMMUNITY COLLEGE
"1 Kooralbyn Way, Connolly",LAKE JOONDALUP BAPTIST COLLEGE
"1 Kutcharo Crescent, Joondalup",LAKE JOONDALUP BAPTIST COLLEGE
"1 Kyby Place, Carramar",JOSEPH BANKS SECONDARY COLLEGE
"1 Kyle Place, Swan View",SWAN VIEW SENIOR HIGH SCHOOL
"1 Lambeth Mews, Mount Claremont",JOHN XXIII COLLEGE
"1 Lanark Street, Menora",MOUNT LAWLEY SENIOR HIGH SCHOOL
"1 Langham Street, Nedlands",SHENTON COLLEGE
"1 Lark Court, Yangebup",DIVINE MERCY COLLEGE
"1 Lark Mews, Ballajura",BALLAJURA COMMUNITY COLLEGE
"1 Lauder Place, Kinross",LAKE JOONDALUP BAPTIST COLLEGE
"1 Laughton Way, Leeming",WILLETTON SENIOR HIGH SCHOOL
"1 Lee Street, Forrestfield",HERITAGE COLLEGE PERTH
"1 Leigh Court, Marangaroo",GIRRAWHEEN SENIOR HIGH SCHOOL
"1 Lena Street, Beckenham",SEVENOAKS SENIOR COLLEGE
"1 Lennoxtown Road, Duncraig",GREENWOOD COLLEGE
"1 Letchworth Centre Avenue, Salter Point",AQUINAS COLLEGE
"1 Librizzi Parade, Sinagra",WANNEROO SECONDARY COLLEGE
"1 Lilypond Court, Ascot",CYRIL JACKSON SENIOR CAMPUS
"1 Lindeman Heights, Ridgewood",CLARKSON COMMUNITY HIGH SCHOOL
"1 Linnett Brace, Darch",KINGSWAY CHRISTIAN COLLEGE
"1 Lintonmarc Drive, Redcliffe",BELMONT CITY COLLEGE
"1 Litchfield Crescent, Carramar",JOSEPH BANKS SECONDARY COLLEGE
"1 Little Lefroy Lane, South Fremantle",FREMANTLE COLLEGE
"1 Love Street, Myaree",MELVILLE SENIOR HIGH SCHOOL
"1 Luhrs Court, Mundaring",MUNDARING CHRISTIAN COLLEGE
"1 Luke Place, Ascot",CYRIL JACKSON SENIOR CAMPUS
"1 Lundy Cove, Kiara",KIARA COLLEGE
"1 Macdonald Road, Applecross",APPLECROSS SENIOR HIGH SCHOOL
"1 Mackie Place, Midvale",YOUTH FUTURES COMMUNITY SCHOOL
"1 Maidos Street, Ashfield",CYRIL JACKSON SENIOR CAMPUS
"1 MAJORELLE WAY, Eglinton",YANCHEP SECONDARY COLLEGE
"1 Mal Bay Court, Mindarie",YOUTH FUTURES COMMUNITY SCHOOL
"1 Malcolm Street, North Beach",CARINE SENIOR HIGH SCHOOL
"1 Maley Court, Ashfield",CYRIL JACKSON SENIOR CAMPUS
"1 Malibu Entrance, Iluka",PRENDIVILLE CATHOLIC COLLEGE
"1 Malone Mews, Clarkson",QUINNS BAPTIST COLLEGE
"1 Manhattan Concourse, Hilbert",DALE CHRISTIAN SCHOOL
"1 Mannaw Place, Hillman",KOLBE CATHOLIC COLLEGE
"1 Mannix Pass, Queens Park",ST NORBERT COLLEGE
"1 Marconi Street, Morley",HAMPTON SENIOR HIGH SCHOOL
"1 Margaret Road, Secret Harbour",COMET BAY COLLEGE
"1 Marich Cove, Atwell",ATWELL COLLEGE
"1 Maritana Road, Kallaroo",ST MARK'S ANGLICAN COMMUNITY SCHOOL
"1 Marker Road, Ocean Reef",OCEAN REEF SENIOR HIGH SCHOOL
"1 Markham Place, Bentley",ST NORBERT COLLEGE
"1 Maroma Loop, Burns Beach",LAKE JOONDALUP BAPTIST COLLEGE
"1 Martin Avenue, Rivervale",BELMONT CITY COLLEGE
"1 Mayhill Place, Craigie",ST MARK'S ANGLICAN COMMUNITY SCHOOL
"1 McBain Court, Langford",LANGFORD ISLAMIC COLLEGE
"1 Mcdermott Road, Kwinana Town Centre",GILMORE COLLEGE
"1 McKenna Glen, Mount Claremont",JOHN XXIII COLLEGE
"1 McKenzie Corner, Bertram",THE KING'S COLLEGE
"1 McNairn Cross, Leda",PETER CARNLEY ANGLICAN COMMUNITY SCHOOL
"1 Meadow Place, Hocking",WANNEROO SECONDARY COLLEGE
"1 Meares Avenue, Parmelia",GILMORE COLLEGE
"1 Mears Way, Hilbert",DALE CHRISTIAN SCHOOL
"1 Medawar Loop, Piara Waters",CAREY BAPTIST COLLEGE
"1 Melissa Street, Duncraig",DUNCRAIG SENIOR HIGH SCHOOL
"1 Melita Drive, Helena Valley",YOUTH FUTURES COMMUNITY SCHOOL
"1 Melrose Crescent, Menora",MOUNT LAWLEY SENIOR HIGH SCHOOL
"1 Mercer Place, Thornlie",THORNLIE SENIOR HIGH SCHOOL
"1 Merley Crescent, City Beach",NEWMAN COLLEGE
"1 Merlot Court, The Vines",HOLY CROSS COLLEGE
"1 Milina Street, Hillman",KOLBE CATHOLIC COLLEGE
"1 Mingara Avenue, Harrisdale",CAREY BAPTIST COLLEGE
"1 Mission Place, Cooloongup",KOLBE CATHOLIC COLLEGE
"1 Moira Mews, Stratton",SWAN VIEW SENIOR HIGH SCHOOL
"1 Monarch Way, Wattle Grove",REHOBOTH CHRISTIAN COLLEGE
"1 Montana Crescent, Dayton",KIARA COLLEGE
"1 Montrose Way, Nollamara",DIANELLA SECONDARY COLLEGE
"1 Moody Glen, Palmyra",MELVILLE SENIOR HIGH SCHOOL
"1 Moseley Drive, The Vines",HOLY CROSS COLLEGE
"1 Mosman Loop, Success",ATWELL COLLEGE
"1 Mottee Road, Bateman",CORPUS CHRISTI COLLEGE
"1 Mudalla Way, Koongamia",SWAN VIEW SENIOR HIGH SCHOOL
"1 Mulberry Lane, Mirrabooka",JOHN SEPTIMUS ROE ANGLICAN COMMUNITY SCHOOL
"1 Mulgrave Loop, Mindarie",QUINNS BAPTIST COLLEGE
"1 Myhill Mews, Leda",PETER CARNLEY ANGLICAN COMMUNITY SCHOOL
"1 Namoi Street, Hammond Park",ATWELL COLLEGE
"1 Nardie Place, Hillman",KOLBE CATHOLIC COLLEGE
"1 Narla Place, Koongamia",SWAN VIEW SENIOR HIGH SCHOOL
"1 Nettia Place, Bennett Springs",KIARA COLLEGE
"1 New Ross Lane, Waterford",CLONTARF ABORIGINAL COLLEGE
"1 Newman Place, Kenwick",REHOBOTH CHRISTIAN COLLEGE
"1 Newmarket Retreat, Currambine",LAKE JOONDALUP BAPTIST COLLEGE
"1 newquay Street, Harrisdale",CAREY BAPTIST COLLEGE
"1 Niagara Cove, Bentley",CANNING COLLEGE
"1 Nicholas Crescent, Hilton",SETON CATHOLIC COLLEGE
"1 Nobilis Street, Beeliar",DIVINE MERCY COLLEGE
"1 Norfolk Rise, Mount Claremont",JOHN XXIII COLLEGE
"1 Northerly Avenue, Ascot",BELMONT CITY COLLEGE
"1 Nundah Court, Glen Forrest",HELENA COLLEGE
"1 Nyjong Street, Kenwick",ST FRANCIS' SCHOOL
"1 Oakwood Court, Beechboro",KIARA COLLEGE
"1 Oban Court, Duncraig",GREENWOOD COLLEGE
"1 Odell Court, Carine",CARINE SENIOR HIGH SCHOOL
"1 Odell Street, Secret Harbour",COMET BAY COLLEGE
"1 Odessa Place, Beldon",BELRIDGE SECONDARY COLLEGE
"1 Offord Street, Armadale",DALE CHRISTIAN SCHOOL
"1 Ollera Meander, Carramar",JOSEPH BANKS SECONDARY COLLEGE
"1 Ollis Street, Safety Bay",SAFETY BAY SENIOR HIGH SCHOOL
"1 O'Mara Boulevard, Iluka",PRENDIVILLE CATHOLIC COLLEGE
"1 Orange Valley Road, Kalamunda",KALAMUNDA SENIOR HIGH SCHOOL
"1 Orsulich Loop, Spearwood",PORT SCHOOL
"1 Otway Street, Swanbourne",SCOTCH COLLEGE
"1 Palos Court, Sorrento",DUNCRAIG SENIOR HIGH SCHOOL
"1 Parish Lane, Churchlands",CHURCHLANDS SENIOR HIGH SCHOOL
"1 Park Lane, Kardinya",KENNEDY BAPTIST COLLEGE
"1 Parkwood Avenue, Woodvale",WOODVALE SECONDARY COLLEGE
"1 Peaceful Close, Marangaroo",ASHDALE SECONDARY COLLEGE
"1 Pearson Crescent, Bull Creek",WILLETTON SENIOR HIGH SCHOOL
"1 Pedalstone Drive, Southern River",PROVIDENCE CHRISTIAN COLLEGE
"1 Peet Crescent, Trigg",ST MARY'S ANGLICAN GIRLS' SCHOOL
