ADDRESS,YEAR_SOLD
"1 Daybreak Loop, Wellard",2018
"1 Dean Place, Lockridge",2014
"1 Dean Road, Bateman",2017
"1 Delphi Court, Rossmoyne",2014
"1 Denton Street, Wembley",2019
"1 Dermer Road, Beaconsfield",2017
"1 Deverell Way, Bentley",2019
"1 Dilkera Place, Quinns Rocks",2020
"1 Dirk Hartog Road, Bull Creek",2017
"1 Discovery Circuit, Iluka",2018
"1 Disney Street, Brentwood",2016
"1 Dolomite Road, Carine",2018
"1 Dolphin Way, Beldon",2016
"1 Doradeen Close, Hillman",2015
"1 Doram Court, Swan View",2017
"1 Driftwood Way, Bennett Springs",2017
"1 Driver Road, Darch",2016
"1 Dunbar Road, Claremont",2020
"1 Durant Way, Brentwood",2015
"1 Dutton Way, Singleton",2016
"1 Duxford Street, Butler",2018
"1 East Street, Mount Hawthorn",2019
"1 Eastfield Court, Ferndale",2016
"1 Easton Court, Boya",2015
"1 Edelweiss Way, Beckenham",2018
"1 Edgecombe Pass, Aveley",2019
"1 El Porto Way, Iluka",2020
"1 Elfin Grove, Warnbro",2018
"1 Elvire Street, Midland",2018
"1 Empress Crescent, Atwell",2019
"1 Epping Court, High Wycombe",2020
"1 Ericht Pass, Kinross",2019
"1 Estevan Way, Ferndale",2018
"1 Ethel Street, Guildford",2015
"1 Etna Place, Rossmoyne",2014
"1 Eudora Way, North Coogee",2017
"1 Fairetha Court, Ascot",2014
"1 Fairhaven Terrace, Hillarys",2019
"1 Fallow Crescent, Spearwood",2019
"1 Fantail Drive, Bibra Lake",2017
"1 Farrington Street, Warnbro",2018
"1 Federal Street, Osborne Park",2020
"1 Felpham Court, Success",2020
"1 Ficarra Way, Sinagra",2018
"1 First Avenue, Woodbridge",2007
"1 Fischer Road, Darlington",2017
"1 Flemington Way, Redcliffe",2020
"1 Flint Close, Pearsall",2019
"1 Florey Place, Huntingdale",2016
"1 Floribunda Gate, Dayton",2016
"1 Forrest Court, Kiara",2008
"1 Fort Street, Morley",2020
"1 Fortuna View, Iluka",2019
"1 Fortune Street, Balcatta",2018
"1 Fourth Avenue, Rossmoyne",2014
"1 Fran Court, Merriwa",2017
"1 Freedman Road, Menora",2018
"1 Gaffin Way, Kwinana Town Centre",2015
"1 Gali Lane, City Beach",2016
"1 Galilee Way, Baldivis",2020
"1 Gamay Court, The Vines",2017
"1 Gannett Street, Bateman",2019
"1 Genesta Place, Two Rocks",2016
"1 Georges Close, Kallaroo",2016
"1 Gerygone Pass, Tapping",2017
"1 Ghost Gum Boulevard, Banksia Grove",2017
"1 Gianatti Ramble, East Cannington",2016
"1 Gidgee Cove, Kenwick",2018
"1 Gilchrist Avenue, Bibra Lake",2016
"1 Gillespie Court, Lockridge",2015
"1 Gillon Road, Noranda",2016
"1 Giudice Way, Yangebup",2020
"1 Glasson Way, Darch",2016
"1 Glebe Close, Mindarie",2018
"1 Glenelg Street, Mount Hawthorn",2018
"1 Gloucester Road, Kalamunda",2018
"1 Gloucester Street, Swanbourne",2017
"1 Gold Lane, Iluka",2017
"1 Gordon Place, Huntingdale",2016
"1 Gorman Place, Calista",2015
"1 Graduate Place, Marangaroo",2019
"1 Grahame Street, Mount Helena",2019
"1 Grant Street, Duncraig",2020
"1 Gray Road, Haynes",2013
"1 Green Street, Kewdale",2017
"1 Greygum Rise, Kenwick",2019
"1 Grid Court, Beldon",2017
"1 Grimsay Road, Ardross",2016
"1 Grove End Ridge, Mount Claremont",2017
"1 Grove Street, Shoalwater",2017
"1 Guy Place, Melville",2019
"1 Hadlow Court, Leeming",2018
"1 Halleendale Road, Walliston",2007
"1 Hamlyn Glen, Kiara",2012
"1 Hanrahan Loop, Kardinya",2018
"1 Hansen Vista, Landsdale",2019
"1 Hardey Road, Serpentine",2014
"1 Harrier Way, Beldon",2017
"1 Hartle Lane, Brookdale",2013
"1 Hartley Street, Coolbellup",2017
"1 Hartwell Parade, Jandakot",2019
"1 Harwood Street, Hilton",2016
"1 Hazlett Close, South Lake",2016
"1 Henderson Road, Stoneville",2013
"1 Hennessy Drive, Ashby",2020
"1 Henrietta Court, Coogee",2015
"1 Henty Court, Mirrabooka",2015
"1 Herbert Road, Subiaco",2018
"1 Heslop Road, Lesmurdie",2018
"1 Hewlett Turn, Tapping",2018
"1 Hilliger Turn, Jane Brook",2016
"1 Hilltop Close, Mahogany Creek",2005
"1 Hilltop Place, Edgewater",2017
"1 Hillwater Promenade, Bennett Springs",2015
"1 Hitek Court, Merriwa",2020
"1 Holmesdale Road, Woodbridge",2016
"1 Holywell Street, Middle Swan",2013
"1 Honister Close, Balga",2019
"1 Hood Street, Forrestfield",2020
"1 Hulbert Street, South Fremantle",2018
"1 Huntington Road, Coogee",2019
"1 Hydra Close, Rockingham",2019
"1 Hynes Road, Dalkeith",2015
"1 INGODA LINK, Baldivis",2020
"1 Ingot Lane, Harrisdale",2020
"1 Iona Place, Cannington",2017
"1 Irma Way, Butler",2020
"1 Ironcap Grove, Wandi",2015
"1 Ivythorne Grove, Kiara",2013
"1 Jacolite Street, Darch",2019
"1 Jade Grove, Edgewater",2017
"1 Jaffa Close, Seville Grove",2016
"1 Jamaican Road, Safety Bay",2017
"1 Jameson Street, Mosman Park",2017
"1 Jarrah Lane, Mount Claremont",2020
"1 Jaywick Close, Safety Bay",2017
"1 Jecks Street, Maida Vale",2020
"1 Jeffrey Loop, Brookdale",2017
"1 Jib Court, Ocean Reef",2020
"1 Jindabyne Street, Hilbert",2014
"1 Johnson Avenue, Guildford",2019
"1 Jolimont Terrace, Jolimont",2014
"1 Josbury Corner, Carramar",2017
"1 Jura Court, Duncraig",2018
"1 Jurien Close, Warnbro",2018
"1 Kadi Court, Marangaroo",2017
"1 Kalara Road, Koongamia",2014
"1 Kalara Way, Koongamia",2005
"1 Kalbarri Pass, Jane Brook",2016
"1 Kangaroo Entrance, Stratton",2019
"1 Kartner Road, Tapping",2019
"1 Kennack Vista, Atwell",2018
"1 Kensington Street, Bellevue",2014
"1 Kent Street, Viveash",2010
"1 Kevin Street, Stoneville",2014
"1 Kilmurray Elbow, Huntingdale",2020
"1 Kinkuna Way, City Beach",2016
"1 Kirkcolm Way, Warwick",2018
"1 Kirke Cove, Merriwa",2018
"1 Kirkstall Way, Sawyers Valley",2008
"1 Knaphill Heights, Mirrabooka",2016
"1 Kookaburra Terrace, Ballajura",2018
"1 Kooralbyn Way, Connolly",2014
"1 Kutcharo Crescent, Joondalup",2019
"1 Kyby Place, Carramar",2020
"1 Kyle Place, Swan View",2016
"1 Lambeth Mews, Mount Claremont",2016
"1 Lanark Street, Menora",2007
"1 Langham Street, Nedlands",2019
"1 Lark Court, Yangebup",2019
"1 Lark Mews, Ballajura",2020
"1 Lauder Place, Kinross",2017
"1 Laughton Way, Leeming",2019
"1 Lee Street, Forrestfield",2020
"1 Leigh Court, Marangaroo",2016
"1 Lena Street, Beckenham",2017
"1 Lennoxtown Road, Duncraig",2020
"1 Letchworth Centre Avenue, Salter Point",2020
"1 Librizzi Parade, Sinagra",2016
"1 Lilypond Court, Ascot",2014
"1 Lindeman Heights, Ridgewood",2018
"1 Linnett Brace, Darch",2019
"1 Lintonmarc Drive, Redcliffe",2017
"1 Litchfield Crescent, Carramar",2018
"1 Little Lefroy Lane, South Fremantle",2020
"1 Love Street, Myaree",2020
"1 Luhrs Court, Mundaring",2020
"1 Luke Place, Ascot",2016
"1 Lundy Cove, Kiara",2009
"1 Macdonald Road, Applecross",2017
"1 Mackie Place, Midvale",2012
"1 Maidos Street, Ashfield",2006
"1 MAJORELLE WAY, Eglinton",2015
"1 Mal Bay Court, Mindarie",2020
"1 Malcolm Street, North Beach",2018
"1 Maley Court, Ashfield",2006
"1 Malibu Entrance, Iluka",2016
"1 Malone Mews, Clarkson",2019
"1 Manhattan Concourse, Hilbert",2016
"1 Mannaw Place, Hillman",2009
"1 Mannix Pass, Queens Park",2016
"1 Marconi Street, Morley",2020
"1 Margaret Road, Secret Harbour",2020
"1 Marich Cove, Atwell",2019
"1 Maritana Road, Kallaroo",2016
"1 Marker Road, Ocean Reef",2017
"1 Markham Place, Bentley",2018
"1 Maroma Loop, Burns Beach",2019
"1 Martin Avenue, Rivervale",2020
"1 Mayhill Place, Craigie",2017
"1 McBain Court, Langford",2018
"1 Mcdermott Road, Kwinana Town Centre",2013
"1 McKenna Glen, Mount Claremont",2017
"1 McKenzie Corner, Bertram",2016
"1 McNairn Cross, Leda",2015
"1 Meadow Place, Hocking",2020
"1 Meares Avenue, Parmelia",2019
"1 Mears Way, Hilbert",2015
"1 Medawar Loop, Piara Waters",2020
"1 Melissa Street, Duncraig",2020
"1 Melita Drive, Helena Valley",2017
"1 Melrose Crescent, Menora",2018
"1 Mercer Place, Thornlie",2019
"1 Merley Crescent, City Beach",2019
"1 Merlot Court, The Vines",2017
"1 Milina Street, Hillman",2014
"1 Mingara Avenue, Harrisdale",2018
"1 Mission Place, Cooloongup",2017
"1 Moira Mews, Stratton",2015
"1 Monarch Way, Wattle Grove",2016
"1 Montana Crescent, Dayton",2015
"1 Montrose Way, Nollamara",2020
"1 Moody Glen, Palmyra",2019
"1 Moseley Drive, The Vines",2018
"1 Mosman Loop, Success",2019
"1 Mottee Road, Bateman",2016
"1 Mudalla Way, Koongamia",2015
"1 Mulberry Lane, Mirrabooka",2015
"1 Mulgrave Loop, Mindarie",2020
"1 Myhill Mews, Leda",2017
"1 Namoi Street, Hammond Park",2019
"1 Nardie Place, Hillman",2014
"1 Narla Place, Koongamia",2010
"1 Nettia Place, Bennett Springs",2014
"1 New Ross Lane, Waterford",2011
"1 Newman Place, Kenwick",2019
"1 Newmarket Retreat, Currambine",2019
"1 newquay Street, Harrisdale",2018
"1 Niagara Cove, Bentley",2018
"1 Nicholas Crescent, Hilton",2015
"1 Nobilis Street, Beeliar",2019
"1 Norfolk Rise, Mount Claremont",2019
"1 Northerly Avenue, Ascot",2015
"1 Nundah Court, Glen Forrest",2016
"1 Nyjong Street, Kenwick",2018
"1 Oakwood Court, Beechboro",2017
"1 Oban Court, Duncraig",2018
"1 Odell Court, Carine",2016
"1 Odell Street, Secret Harbour",2019
"1 Odessa Place, Beldon",2015
"1 Offord Street, Armadale",2019
"1 Ollera Meander, Carramar",2017
"1 Ollis Street, Safety Bay",2018
"1 O'Mara Boulevard, Iluka",2020
"1 Orange Valley Road, Kalamunda",2020
"1 Orsulich Loop, Spearwood",2020
"1 Otway Street, Swanbourne",2016
"1 Palos Court, Sorrento",2020
"1 Parish Lane, Churchlands",2016
"1 Park Lane, Kardinya",2019
"1 Parkwood Avenue, Woodvale",2018
"1 Peaceful Close, Marangaroo",2017
"1 Pearson Crescent, Bull Creek",2017
"1 Pedalstone Drive, Southern River",2020
"1 Peet Crescent, Trigg",2016
"1 Pelion Court, Middle Swan",2014
"1 Penn Lane, Hammond Park",2020
"1 Penson Street, Singleton",2018
"1 Pera Mews, Beldon",2014
"1 Peter Way, Rossmoyne",2018
"1 Piermont Avenue, Burns Beach",2017
"1 Pimelea Rise, Beeliar",2018
"1 Pixie Place, Two Rocks",2020
"1 Platypus Parkway, Beeliar",2018
"1 Plover Way, Stirling",2020
"1 Poinsettia Grove, South Lake",2016
"1 Point Link, Alkimos",2019
"1 Polglase Fairway, Clarkson",2020
"1 Portland Way, Ridgewood",2015
"1 Portsea Gardens, Jandakot",2014
"1 Presto Close, Quinns Rocks",2020
"1 Printer Street, Dianella",2020
"1 Pursuit Close, Middle Swan",2015
"1 Purvis Street, Hamilton Hill",2020
"1 Quail Place, Langford",2015
"1 Quenda Close, Beeliar",2019
"1 Ragtime Court, Ascot",2016
"1 Ramose Close, Heathridge",2020
"1 Reflection Mews, Safety Bay",2019
"1 Regatta Way, Alkimos",2019
"1 Regent Court, Cockburn Central",2014
"1 Reginald Street, Queens Park",2016
"1 Reilly Street, Singleton",2017
"1 Reinagle Street, Ashby",2017
"1 Repens Way, Banksia Grove",2019
"1 Reserve Street, Bicton",2019
"1 Retchford Way, Queens Park",2018
"1 Reuben Street, Beaconsfield",2017
"1 Riber Court, Carine",2016
"1 Richards Crescent, Craigie",2017
"1 Rigoll Court, Mundijong",2014
"1 Ringarooma Way, Willetton",2019
"1 Ringmer Way, Westminster",2016
"1 River Bank Boulevard, South Guildford",2015
"1 River Bed Pass, Wilson",2019
"1 Riverdale Road, Helena Valley",2018
"1 Robert Street, Dalkeith",2016
"1 Robyn Street, Morley",2019
"1 ROKER Way, Brabham",2018
"1 Romani Court, Lockridge",2015
"1 Rosalind Court, Rossmoyne",2018
"1 Rose Bay Court, Kallaroo",2016
"1 ROSTRATUS Link, Dayton",2016
"1 Rothsay Crescent, Menora",2016
"1 Rowe Place, Noranda",2017
"1 Royal Melbourne Avenue, Connolly",2020
"1 Royce Grove, Booragoon",2020
"1 Ruby Avenue, Langford",2015
"1 Ruby Court, Mount Richon",2015
"1 Rudge Place, Lockridge",2014
"1 Sabro Lane, Caversham",2016
"1 Salamanca Parkway, Port Kennedy",2019
"1 Salisbury Road, Beechboro",2017
"1 Salmond Way, Bull Creek",2017
"1 Salvin Road, Gwelup",2015
"1 Samos Place, Mindarie",2018
"1 Sandalford Drive, Beldon",2015
"1 Sandridge Street, Banksia Grove",2017
"1 Sandringham Street, Trigg",2017
"1 Sapium Way, Woodvale",2019
"1 Scarcliffe Way, Carine",2017
"1 Scott Street, Kewdale",2017
"1 Seabreeze Avenue, Burns Beach",2020
"1 Seaflight Court, Heathridge",2019
"1 Searle Road, Ardross",2017
"1 Sedge Link, Atwell",2018
"1 Sellenger Avenue, Samson",2011
"1 Seton Lane, Kinross",2017
"1 Shackleton Street, Bassendean",2020
"1 Sheppard Way, Marmion",2017
"1 Shiralee Bend, Carramar",2017
"1 Shoal Court, Coogee",2020
"1 Short Street, North Beach",2018
"1 Silica Road, Wattle Grove",2016
"1 Silky Lane, Wandi",2015
"1 Simon Place, City Beach",2019
"1 Sistina Road, Ashby",2015
"1 Skottowe Parkway, Parmelia",2016
"1 Skye Lane, Ellenbrook",2020
"1 Smailes Elbow, Brookdale",2013
"1 Smitherson Street, Noranda",2018
"1 Smullin Street, Hamilton Hill",2020
"1 SNOWY RISE, Hammond Park",2020
"1 Solly Court, Bull Creek",2018
"1 Spargo Street, Myaree",2017
"1 Spring Hill, Tapping",2020
"1 Spruce Place, Thornlie",2019
"1 Spruce Terrace, Aubin Grove",2018
"1 St Fillans Bend, Wanneroo",2019
"1 St Ives Loop, Kallaroo",2016
"1 Stephen Street, Queens Park",2016
"1 Stitfold Promenade, Salter Point",2018
"1 Stokesay Street, Orelia",2016
"1 Strathmore Parkway, Ellenbrook",2020
"1 Strathpine Chase, Landsdale",2019
"1 Strelley Lane, Carramar",2020
"1 Stretton Way, Kenwick",2017
"1 Strickland Court, Coogee",2018
"1 Styne Road, City Beach",2018
"1 Success Crescent, Salter Point",2016
"1 Sumich Gardens, Coogee",2015
"1 Swallow Grove, Waikiki",2020
"1 Sweeney Way, Padbury",2017
"1 Talisker Mews, Ballajura",2018
"1 Tall Karri Close, Camillo",2016
"1 Tattler Place, Huntingdale",2019
"1 Taylor Street, White Gum Valley",2016
"1 Teetree Court, Beechboro",2017
"1 Temple Mews, Iluka",2016
"1 Tenella Mews, Warnbro",2019
"1 Tennyson Street, Bellevue",2016
"1 Tetbury Road, Butler",2020
"1 The Mead, Kiara",2009
"1 The Mews, Kardinya",2017
"1 Thomas Hamilton Avenue, Mirrabooka",2020
"1 Thorman Place, Booragoon",2019
"1 Thornbill Loop, Beeliar",2017
"1 Thurlow Avenue, Yokine",2020
"1 Till Street, Herne Hill",2014
"1 Tintern Road, Ashby",2015
"1 Tippett Court, Willetton",2019
"1 Tiwi Court, Iluka",2018
"1 Tolbury Retreat, Kiara",2018
"1 Torre Link, Darch",2017
"1 Torridon Loop, Wanneroo",2018
"1 Treaty Oak Cove, Bibra Lake",2019
"1 Treave Street, Cloverdale",2017
"1 Triller Road, Bennett Springs",2015
"1 Trilogy Court, The Vines",2019
"1 Trona Place, Forrestfield",2018
"1 Tropicana Way, Safety Bay",2019
"1 Troy Avenue, Marmion",2011
"1 Tucker Street, Medina",2015
"1 Tuckeroo Parade, Helena Valley",2015
"1 Tullow Road, Floreat",2020
"1 Turner Parkway, Carramar",2019
"1 Turner Street, Warnbro",2019
"1 TWIN VIEW, Swan View",2018
"1 Umina Street, High Wycombe",2018
"1 Valencia Avenue, Churchlands",2015
"1 Vantage Way, Burswood",2015
"1 Veldt Mews, Mirrabooka",2016
"1 Venetian Way, Baldivis",2020
"1 Verve Court, Marmion",2017
"1 Vilamour Close, Currambine",2017
"1 Viola Place, Beechboro",2019
"1 Violet Street, Middle Swan",2014
"1 Virgilia Terrace, South Lake",2017
"1 Voyager Link, Pearsall",2016
"1 Wake Court, Redcliffe",2016
"1 Wallace Street, Mundijong",2017
"1 Wambiri Close, South Lake",2016
"1 Warlu Place, High Wycombe",2018
"1 Warnt Court, South Guildford",2017
"1 Waterway Crescent, Ascot",2016
"1 Wattle Court, Mahogany Creek",2014
"1 Waugh Court, North Lake",2013
"1 Wayford Circle, Hocking",2016
"1 Webb Street, Rossmoyne",2015
"1 Weema Court, Swan View",2020
"1 Weetman Cove, Cannington",2016
"1 Wendo Court, Hillman",2013
"1 Wenstead Place, Stratton",2015
"1 Werri Place, Clarkson",2020
"1 Wescap Rise, Merriwa",2018
"1 Whelk Place, Mullaloo",2020
"1 White Place, Subiaco",2020
"1 White Street, North Fremantle",2020
"1 Whitehouse Drive, Koondoola",2013
"1 Wildwood Mews, Carramar",2020
"1 Willard Circuit, Banksia Grove",2017
"1 Williams Court, Melville",2019
"1 Williamson Way, Trigg",2015
"1 Willow Way, Gooseberry Hill",2015
"1 Wilson Lane, Bateman",2017
"1 Wimbledon Drive, Kingsley",2020
"1 Windoo Place, Koongamia",2006
"1 Windoo Road, Parkerville",2013
"1 Wintergreene Drive, Bennett Springs",2020
"1 Wissota Pass, Secret Harbour",2020
"1 Woodbine Loop, Tapping",2020
"1 Woodbine Terrace, Mirrabooka",2016
"1 Woodfield Close, Mount Helena",2020
"1 Woodlands Way, Jandakot",2018
"1 Woolmore Cross, Atwell",2018
"1 Yallambee Place, Karawara",2020
"1 Yilgarn Street, White Gum Valley",2014
"1 Yule Street, City Beach",2018
"1 Zamia Road, Gooseberry Hill",2015
"1 Zanzibar Loop, Aveley",2020
"1/1 Coolgardie Street, West Perth",2020
"1/1 French Street, Ashfield",2017
"1/1 Lentona Road, Attadale",2019
"1/1 Muriel Avenue, Woodlands",2016
"1/1 Wingfield Avenue, Crawley",2015
"1/10 Gibson Street, Mount Pleasant",2019
"1/11 Adamson Road, Brentwood",2014
"1/11 Elvire Street, Viveash",2014
"1/11 Stott Close, Armadale",2020
"1/11 Waterway Crescent, Ascot",2015
"1/125 Swansea Street, East Victoria Park",2018
"1/126 Telford Crescent, Stirling",2020
"1/13 Helm Street, Mount Pleasant",2019
"1/13 Sorrento Street, North Beach",2017
"1/14 Godwit Street, Queens Park",2016
"1/14 Greenshank Drive, Joondalup",2020
"1/14 Mineral Place, Forrestfield",2018
"1/14a Norman Street, St James",2016
"1/15 Bredgar Way, Marangaroo",2019
"1/15 Cook Street, Crawley",2016
"1/15 Lisbon Court, Parkwood",2018
"1/157 Kinross Drive, Kinross",2018
"1/159 Mcdonald Street, Joondanna",2017
"1/16 Coneflower Corner, Churchlands",2017
"1/16 Leverburgh Street, Ardross",2019
"1/16 Tavistock Crescent, Lynwood",2015
"1/163 Tyler Street, Tuart Hill",2018
"1/164 McDonald Street, Joondanna",2020
"1/165 Canning Highway, South Perth",2020
"1/17 Elizabeth Street, East Cannington",2019
"1/17 Satellite Retreat, Kiara",2017
"1/18 Coongan Avenue, Greenmount",2014
"1/18 Devon Way, Lynwood",2015
"1/18 Mary Street, Highgate",2014
"1/182 Fulham Street, Kewdale",2018
"1/19 Drabble Road, Scarborough",2019
"1/19 Flora Terrace, Watermans Bay",2014
"1/19 Roseheath Boulevard, Kiara",2017
"1/19 Tamar Street, Palmyra",2019
"1/20 Holton Way, Cannington",2019
"1/202 Crawford Road, Inglewood",2018
"1/205 French Street, Tuart Hill",2019
"1/208 Albert Street, Osborne Park",2020
"1/21 Fletcher Street, Applecross",2018
"1/218 Westview Street, Scarborough",2020
"1/22 Ada Street, Watermans Bay",2016
"1/22 Harper Street, Woodbridge",2015
"1/22 Manoff Road, Balcatta",2018
"1/22 Prinsep Road, Melville",2017
"1/22 Redgate Court, Kiara",2014
"1/23 Avonmore Terrace, Cottesloe",2020
"1/23 Golf Road, Parkwood",2015
"1/24 Coventry Road, Shoalwater",2019
"1/24 Melinga Court, Karawara",2010
"1/242 French Street, Tuart Hill",2017
"1/265 Kooyong Road, Kewdale",2017
"1/268 Guildford Road, Maylands",2019
"1/28 Alday Street, St James",2017
"1/29 Money Road, Melville",2019
"1/29 Seaforth Road, Shoalwater",2020
"1/29 Spoonbill Place, Queens Park",2016
"1/29 Stratford Street, East Fremantle",2019
"1/3 Addlewell Glen, Kiara",2010
"1/3 Clive Road, Cottesloe",2020
"1/3 Hope Road, Palmyra",2019
"1/3 Stockman Way, Cannington",2016
"1/30 Milford Way, Nollamara",2019
"1/301 Oxford Street, Leederville",2018
"1/31 Harvest Road, North Fremantle",2016
"1/31 Mosaic Street, Shelley",2015
"1/31 Second Avenue, Kensington",2015
"1/31 Troy Terrace, Daglish",2014
"1/31 Villiers Street, Yokine",2020
"1/32 Hubert Road, Maylands",2020
"1/326 Preston Point Road, Attadale",2018
"1/33 Holmesdale Road, Woodbridge",2014
"1/33 Steward Way, Orelia",2017
"1/335 Oxford Street, Leederville",2020
"1/34 Banksia Street, Joondanna",2016
"1/341 Wharf Street, Queens Park",2017
"1/35 Collier Avenue, Balcatta",2018
"1/36 Wood Street, Inglewood",2017
"1/38 Brandon Street, Kensington",2019
"1/38 Norman Street, St James",2020
"1/39 Beatty Avenue, East Victoria Park",2018
"1/39 Cape Street, Osborne Park",2016
"1/39 Ferguson Street, Midvale",2014
"1/4 Classic Rise, Pearsall",2017
"1/4 Lentona Road, Attadale",2018
"1/4 Leslie Street, Cannington",2016
"1/4 Manley Street, Cannington",2015
"1/4 Talbot Road, Woodlands",2020
"1/40 Mica Mews, Wattle Grove",2019
"1/41 Hooley Road, Midland",2015
"1/41 Renwick Street, South Perth",2018
"1/42 Byers Road, Woodbridge",2008
"1/42 Cleopatra Street, Palmyra",2019
"1/43 Ferguson Street, Middle Swan",2013
"1/43 John Street, Inglewood",2019
"1/46 Charles Street, Midland",2016
"1/48 Collier Avenue, Balcatta",2020
"1/48 Thelma Street, Como",2019
"1/49 Discovery Circuit, Iluka",2020
"1/49 Rule Street, North Fremantle",2016
"1/49 South Street, Kardinya",2018
"1/5 Arpent Link, Brabham",2017
"1/50 King Street, Coogee",2016
"1/50 Monmouth Street, Mount Lawley",2019
"1/53 Carrington Street, Palmyra",2019
"1/58 Second Avenue, Rossmoyne",2014
"1/584 Canning Highway, Attadale",2018
"1/6 Bellevue Terrace, West Perth",2017
"1/6 Cato Street, Glendalough",2017
"1/6 Pearse Street, North Fremantle",2018
"1/63 SAW AVENUE, Rockingham",2020
