"address","year_sold","bedrooms","land_area","price"
"1 Bourke Street, Kensington",2017,3,774,705000
"1 Bowood Cove, Kiara",2016,4,818,615000
"1 Bradbury Road, Hamilton Hill",2020,3,775,565000
"1 Bradford Street, Menora",2013,3,917,850000
"1 Bradstocks Grove, Southern River",2018,4,447,780000
"1 Bramley Way, Bibra Lake",2018,3,358,520000
"1 Brassey Street, Swanbourne",2016,3,619,1100000
"1 Brentwood Way, The Vines",2020,5,834,590000
"1 Brilliant Rise, Stratton",2018,4,561,312000
"1 Briston Place, North Beach",2016,3,372,900000
"1 Bristow Street, Haynes",2013,3,412,177000
"1 Brittain Avenue, Madeley",2017,4,541,580000
"1 Brix Street, Wembley Downs",2019,4,544,1310000
"1 Brixton Road, Bentley",2018,3,295,470000
"1 Bruning Road, Manning",2018,3,578,717000
"1 Bull Place, Queens Park",2018,4,380,387000
"1 Bynder Lane, Medina",2015,3,233,330000
"1 Cadiz Way, Bullsbrook",2016,3,350,380000
"1 Cam Court, Merriwa",2017,3,603,345000
"1 Camden Boulevard, Aubin Grove",2018,4,619,528000
"1 Cameron Street, Karrinyup",2018,4,802,1350000
"1 Camira Place, Gooseberry Hill",2015,4,1940,735000
"1 Camrose Lane, Darch",2019,4,529,442500
"1 Canarias Way, Hillarys",2018,3,500,1015000
"1 Cannon Court, Alexander Heights",2016,3,771,530000
"1 Canny Road, St James",2019,3,688,515000
"1 Carnegie Road, Bassendean",2018,4,1012,1100000
"1 Carroll Street, Ardross",2018,4,590,1265000
"1 Caterpillar Road, Success",2018,4,446,472500
"1 Cessford Close, Leda",2015,5,642,380000
"1 Challenger Avenue, Manning",2019,3,449,590000
"1 Chamberlain Circle, Bateman",2018,4,727,835000
"1 Charleston Road, Eglinton",2016,4,432,495000
"1 Chauvel Court, Kiara",2012,4,543,390000
"1 Chester Court, Orelia",2017,3,806,280000
"1 Chiddington Street, Beckenham",2017,3,953,355000
"1 Chipala Court, Edgewater",2016,4,697,465000
"1 Claret Ash Court, Helena Valley",2015,4,1012,685000
"1 Clarke Street, East Cannington",2016,3,218,360000
"1 Clearwater Way, Singleton",2020,4,550,320000
"1 Clifford Loop, Darch",2016,3,289,492000
"1 Cliverton Court, Marmion",2013,5,766,974000
"1 Clovertree Street, Maddington",2017,4,1062,435000
"1 Cobea Court, Mount Claremont",2017,3,367,900000
"1 Cockman Road, Greenwood",2018,3,698,405000
"1 Cohen Place, Beechboro",2018,3,782,290000
"1 Collier Street, Wembley",2019,2,635,1160000
"1 Colmworth Way, Butler",2019,3,555,415000
"1 Colonial Mews, Edgewater",2017,4,758,525000
"1 Conical Way, Harrisdale",2017,4,578,629000
"1 Convallis Vista, The Vines",2020,4,510,600000
"1 Corbin Gate, Madeley",2020,3,618,427000
"1 Coronado Ridge, Iluka",2017,5,911,1015000
"1 Corvette Close, Waikiki",2019,4,747,445000
"1 Craigie Place, Mundaring",2018,4,1869,610000
"1 Crest Grove, Ballajura",2019,4,803,465000
"1 Creswick Cross, Kiara",2009,4,545,454000
"1 Criollo Place, Stratton",2014,3,514,380000
"1 Crivelli Parkway, Ashby",2020,4,401,382000
"1 Crowley Vista, Salter Point",2014,4,527,1150000
"1 Curruthers Road, Mount Pleasant",2018,2,1100,2200000
"1 Cypress Mews, Warnbro",2018,4,580,375000
"1 Dagostino Road, Byford",2020,4,694,495000
"1 Dalkey Way, Darch",2016,3,327,445000
"1 Danzil Street, Willagee",2019,4,450,515000
"1 Datchet Turn, Bertram",2020,3,271,270000
"1 David Street, Mullaloo",2018,5,810,780000
"1 Davis Court, Woodlands",2017,4,701,1280000
"1 Daybreak Loop, Wellard",2018,4,465,410000
"1 Dean Place, Lockridge",2014,4,666,425000
"1 Dean Road, Bateman",2017,3,807,599900
"1 Delphi Court, Rossmoyne",2014,3,1133,1330000
"1 Denton Street, Wembley",2019,3,328,732000
"1 Deverell Way, Bentley",2019,3,327,465000
"1 Dilkera Place, Quinns Rocks",2020,3,646,380000
"1 Discovery Circuit, Iluka",2018,5,770,1300000
"1 Disney Street, Brentwood",2016,4,434,710250
"1 Dolomite Road, Carine",2018,5,755,835000
"1 Dolphin Way, Beldon",2016,3,683,400000
"1 Doradeen Close, Hillman",2015,3,761,275000
"1 Doram Court, Swan View",2017,3,686,335000
"1 Driftwood Way, Bennett Springs",2017,4,582,400000
"1 Driver Road, Darch",2016,4,653,532000
"1 Durant Way, Brentwood",2015,3,419,820000
"1 Dutton Way, Singleton",2016,3,913,385000
"1 Duxford Street, Butler",2018,4,673,427000
"1 East Street, Mount Hawthorn",2019,2,376,660000
"1 Eastfield Court, Ferndale",2016,3,955,250000
"1 Easton Court, Boya",2015,4,1010,508000
"1 Edelweiss Way, Beckenham",2018,4,538,415000
"1 Edgecombe Pass, Aveley",2019,4,741,550000
"1 El Porto Way, Iluka",2020,4,623,935000
"1 Elfin Grove, Warnbro",2018,3,759,380000
"1 Elvire Street, Midland",2018,2,927,349000
"1 Empress Crescent, Atwell",2019,4,701,470000
"1 Epping Court, High Wycombe",2020,4,500,475000
"1 Estevan Way, Ferndale",2018,4,700,490000
"1 Ethel Street, Guildford",2015,4,380,715000
"1 Etna Place, Rossmoyne",2014,4,520,1100000
"1 Eudora Way, North Coogee",2017,4,495,1130000
"1 Fairetha Court, Ascot",2014,4,528,720000
"1 Fairhaven Terrace, Hillarys",2019,4,451,1075000
"1 Fallow Crescent, Spearwood",2019,4,427,475000
"1 Fantail Drive, Bibra Lake",2017,4,735,545000
"1 Farrington Street, Warnbro",2018,4,872,317500
"1 Federal Street, Osborne Park",2020,3,337,465000
"1 Felpham Court, Success",2020,4,502,449000
"1 First Avenue, Woodbridge",2007,3,607,525000
"1 Fischer Road, Darlington",2017,4,2152,900000
"1 Flemington Way, Redcliffe",2020,3,428,375000
"1 Flint Close, Pearsall",2019,4,641,522000
"1 Florey Place, Huntingdale",2016,4,700,464000
"1 Forrest Court, Kiara",2008,4,720,490000
"1 Fort Street, Morley",2020,2,605,560000
"1 Fortuna View, Iluka",2019,4,696,1160000
"1 Fortune Street, Balcatta",2018,3,322,460000
"1 Fourth Avenue, Rossmoyne",2014,4,1029,872000
"1 Fran Court, Merriwa",2017,3,653,335000
"1 Freedman Road, Menora",2018,4,792,925000
"1 Gaffin Way, Kwinana Town Centre",2015,3,203,330000
"1 Gali Lane, City Beach",2016,4,440,1930000
"1 Galilee Way, Baldivis",2020,3,749,547000
"1 Gamay Court, The Vines",2017,4,734,533000
"1 Gannett Street, Bateman",2019,2,807,460000
"1 Genesta Place, Two Rocks",2016,4,819,405000
"1 Georges Close, Kallaroo",2016,4,773,1075000
"1 Gerygone Pass, Tapping",2017,3,420,465000
"1 Ghost Gum Boulevard, Banksia Grove",2017,4,373,335000
"1 Gianatti Ramble, East Cannington",2016,4,462,745000
"1 Gidgee Cove, Kenwick",2018,3,416,385000
"1 Gilchrist Avenue, Bibra Lake",2016,3,700,480000
"1 Gillespie Court, Lockridge",2015,3,351,330000
"1 Gillon Road, Noranda",2016,4,752,520000
"1 Giudice Way, Yangebup",2020,4,641,885000
"1 Glasson Way, Darch",2016,4,596,610000
"1 Glebe Close, Mindarie",2018,4,726,830000
"1 Gloucester Road, Kalamunda",2018,4,997,485000
"1 Gold Lane, Iluka",2017,5,638,769000
"1 Gordon Place, Huntingdale",2016,3,675,410000
"1 Gorman Place, Calista",2015,4,559,475000
"1 Graduate Place, Marangaroo",2019,4,613,385000
"1 Grahame Street, Mount Helena",2019,4,1635,385000
"1 Grant Street, Duncraig",2020,5,576,730000
"1 Gray Road, Haynes",2013,4,2000,720000
"1 Green Street, Kewdale",2017,3,688,505000
"1 Greygum Rise, Kenwick",2019,5,515,362500
"1 Grid Court, Beldon",2017,3,685,487000
"1 Grimsay Road, Ardross",2016,3,380,600000
"1 Grove End Ridge, Mount Claremont",2017,4,1055,1675000
"1 Grove Street, Shoalwater",2017,3,825,315000
"1 Hadlow Court, Leeming",2018,4,803,428000
"1 Halleendale Road, Walliston",2007,4,1386,620000
"1 Hamlyn Glen, Kiara",2012,3,975,405000
"1 Hanrahan Loop, Kardinya",2018,4,701,643000
"1 Hansen Vista, Landsdale",2019,5,556,538000
"1 Hardey Road, Serpentine",2014,4,2000,375000
"1 Harrier Way, Beldon",2017,3,461,395000
"1 Hartle Lane, Brookdale",2013,4,471,311850
"1 Hartley Street, Coolbellup",2017,4,613,499000
"1 Hartwell Parade, Jandakot",2019,4,815,620000
"1 Harwood Street, Hilton",2016,3,537,560003
"1 Hazlett Close, South Lake",2016,4,703,481000
"1 Hennessy Drive, Ashby",2020,4,570,430000
"1 Henrietta Court, Coogee",2015,4,691,727000
"1 Henty Court, Mirrabooka",2015,4,723,450000
"1 Heslop Road, Lesmurdie",2018,5,1000,705000
"1 Hewlett Turn, Tapping",2018,4,594,470000
"1 Hilliger Turn, Jane Brook",2016,4,430,515000
"1 Hilltop Close, Mahogany Creek",2005,3,1799,272500
"1 Hilltop Place, Edgewater",2017,4,736,492500
"1 Hitek Court, Merriwa",2020,4,599,280000
"1 Holmesdale Road, Woodbridge",2016,3,510,575000
"1 Holywell Street, Middle Swan",2013,4,500,495000
"1 Honister Close, Balga",2019,4,714,290000
"1 Hood Street, Forrestfield",2020,3,700,365000
"1 Hulbert Street, South Fremantle",2018,4,455,1200000
"1 Huntington Road, Coogee",2019,3,706,910000
"1 Hydra Close, Rockingham",2019,3,725,340000
"1 Hynes Road, Dalkeith",2015,4,1072,1800000
"1 INGODA LINK, Baldivis",2020,5,719,650000
"1 Ingot Lane, Harrisdale",2020,4,446,492000
"1 Iona Place, Cannington",2017,4,527,543800
"1 Irma Way, Butler",2020,4,568,360000
"1 Ironcap Grove, Wandi",2015,4,439,305000
"1 Ivythorne Grove, Kiara",2013,3,534,210000
"1 Jacolite Street, Darch",2019,4,597,530000
"1 Jade Grove, Edgewater",2017,4,723,480000
"1 Jaffa Close, Seville Grove",2016,3,647,375000
"1 Jamaican Road, Safety Bay",2017,3,688,372500
"1 Jameson Street, Mosman Park",2017,3,1140,980000
"1 Jarrah Lane, Mount Claremont",2020,3,309,1210000
"1 Jaywick Close, Safety Bay",2017,4,565,435000
"1 Jecks Street, Maida Vale",2020,4,561,508000
"1 Jeffrey Loop, Brookdale",2017,4,330,315000
"1 Jib Court, Ocean Reef",2020,3,848,740000
"1 Johnson Avenue, Guildford",2019,2,357,561000
"1 Jolimont Terrace, Jolimont",2014,3,466,1100000
"1 Jura Court, Duncraig",2018,3,739,575000
"1 Jurien Close, Warnbro",2018,4,714,301000
"1 Kadi Court, Marangaroo",2017,3,486,380000
"1 Kalara Road, Koongamia",2014,3,692,350000
"1 Kalara Way, Koongamia",2005,3,729,172000
"1 Kalbarri Pass, Jane Brook",2016,4,641,725000
"1 Kangaroo Entrance, Stratton",2019,3,539,255000
"1 Kartner Road, Tapping",2019,4,652,500000
"1 Kensington Street, Bellevue",2014,3,837,520000
"1 Kent Street, Viveash",2010,3,850,300000
"1 Kevin Street, Stoneville",2014,3,2024,533000
"1 Kilmurray Elbow, Huntingdale",2020,4,600,415000
"1 Kinkuna Way, City Beach",2016,5,778,1645000
"1 Kirkcolm Way, Warwick",2018,4,702,655000
"1 Kirke Cove, Merriwa",2018,4,462,307000
"1 Kirkstall Way, Sawyers Valley",2008,2,1833,405000
"1 Knaphill Heights, Mirrabooka",2016,6,626,458000
"1 Kookaburra Terrace, Ballajura",2018,4,704,335000
"1 Kutcharo Crescent, Joondalup",2019,3,729,451000
"1 Kyby Place, Carramar",2020,4,611,719000
"1 Kyle Place, Swan View",2016,4,2002,726000
"1 Lambeth Mews, Mount Claremont",2016,5,1047,2150000
"1 Lanark Street, Menora",2007,2,660,875000
"1 Langham Street, Nedlands",2019,4,540,1200000
"1 Lark Mews, Ballajura",2020,3,812,550000
"1 Lauder Place, Kinross",2017,4,628,525000
"1 Laughton Way, Leeming",2019,3,329,577000
"1 Lee Street, Forrestfield",2020,3,363,305000
"1 Lena Street, Beckenham",2017,4,771,385000
"1 Lennoxtown Road, Duncraig",2020,5,701,650000
"1 Letchworth Centre Avenue, Salter Point",2020,4,1012,1000000
"1 Librizzi Parade, Sinagra",2016,4,654,530000
"1 Lilypond Court, Ascot",2014,5,279,555000
"1 Linnett Brace, Darch",2019,4,545,550000
"1 Lintonmarc Drive, Redcliffe",2017,4,496,555000
"1 Litchfield Crescent, Carramar",2018,3,677,565000
"1 Little Lefroy Lane, South Fremantle",2020,3,270,950000
"1 Love Street, Myaree",2020,4,422,625000
"1 Luhrs Court, Mundaring",2020,4,2000,675000
"1 Luke Place, Ascot",2016,4,462,580000
"1 Lundy Cove, Kiara",2009,4,455,365000
"1 Macdonald Road, Applecross",2017,3,401,990000
"1 Mackie Place, Midvale",2012,4,404,375000
"1 Maidos Street, Ashfield",2006,3,450,358000
"1 MAJORELLE WAY, Eglinton",2015,4,510,279500
"1 Mal Bay Court, Mindarie",2020,4,712,660000
"1 Maley Court, Ashfield",2006,4,600,435000
"1 Malibu Entrance, Iluka",2016,5,639,1500000
"1 Malone Mews, Clarkson",2019,4,758,299000
"1 Manhattan Concourse, Hilbert",2016,3,302,445000
"1 Mannaw Place, Hillman",2009,4,709,315000
"1 Mannix Pass, Queens Park",2016,4,441,500000
"1 Marconi Street, Morley",2020,3,801,650000
"1 Margaret Road, Secret Harbour",2020,4,605,700000
"1 Marich Cove, Atwell",2019,3,652,442000
"1 Maritana Road, Kallaroo",2016,3,407,470000
"1 Marker Road, Ocean Reef",2017,5,860,940250
"1 Markham Place, Bentley",2018,3,504,375000
"1 Maroma Loop, Burns Beach",2019,4,501,672500
"1 Martin Avenue, Rivervale",2020,3,363,400000
"1 Mayhill Place, Craigie",2017,3,684,445000
"1 McBain Court, Langford",2018,4,703,468000
"1 Mcdermott Road, Kwinana Town Centre",2013,3,206,145700
"1 McKenna Glen, Mount Claremont",2017,4,476,1050000
"1 McKenzie Corner, Bertram",2016,4,646,470000
"1 Meadow Place, Hocking",2020,3,680,360000
"1 Meares Avenue, Parmelia",2019,4,711,220000
"1 Mears Way, Hilbert",2015,3,332,276000
"1 Melissa Street, Duncraig",2020,4,716,950000
"1 Melita Drive, Helena Valley",2017,3,276,464000
"1 Melrose Crescent, Menora",2018,4,1317,1365000
"1 Mercer Place, Thornlie",2019,3,675,300000
"1 Merlot Court, The Vines",2017,4,706,455000
"1 Milina Street, Hillman",2014,3,780,278000
"1 Mingara Avenue, Harrisdale",2018,4,753,1200000
"1 Mission Place, Cooloongup",2017,4,802,430000
"1 Moira Mews, Stratton",2015,4,568,365000
"1 Monarch Way, Wattle Grove",2016,3,454,486000
"1 Montana Crescent, Dayton",2015,3,254,430000
"1 Montrose Way, Nollamara",2020,3,893,300000
"1 Moody Glen, Palmyra",2019,5,534,740000
"1 Moseley Drive, The Vines",2018,4,1638,859000
"1 Mosman Loop, Success",2019,4,545,540000
"1 Mottee Road, Bateman",2016,4,757,778000
"1 Mudalla Way, Koongamia",2015,3,675,385000
"1 Mulberry Lane, Mirrabooka",2015,2,728,410000
"1 Mulgrave Loop, Mindarie",2020,5,711,610000
"1 Myhill Mews, Leda",2017,3,568,215000
"1 Namoi Street, Hammond Park",2019,4,642,595000
"1 Nardie Place, Hillman",2014,3,682,320000
"1 Narla Place, Koongamia",2010,2,751,262000
"1 New Ross Lane, Waterford",2011,4,606,1050000
"1 Newman Place, Kenwick",2019,7,670,370000
"1 Newmarket Retreat, Currambine",2019,4,734,540000
"1 newquay Street, Harrisdale",2018,4,451,462500
"1 Niagara Cove, Bentley",2018,5,439,438000
"1 Nicholas Crescent, Hilton",2015,2,900,467500
"1 Nobilis Street, Beeliar",2019,4,477,500000
"1 Norfolk Rise, Mount Claremont",2019,5,969,1900000
"1 Northerly Avenue, Ascot",2015,3,304,854000
"1 Nyjong Street, Kenwick",2018,4,431,350000
"1 Oakwood Court, Beechboro",2017,4,594,475000
"1 Oban Court, Duncraig",2018,4,703,1115000
"1 Odell Court, Carine",2016,4,712,800000
"1 Odell Street, Secret Harbour",2019,4,572,385000
"1 Offord Street, Armadale",2019,3,694,176500
"1 Ollis Street, Safety Bay",2018,4,931,360000
"1 O'Mara Boulevard, Iluka",2020,4,355,625000
"1 Orange Valley Road, Kalamunda",2020,3,1070,582500
"1 Otway Street, Swanbourne",2016,5,405,2302500
"1 Palos Court, Sorrento",2020,4,607,680000
"1 Parish Lane, Churchlands",2016,4,550,1400000
"1 Park Lane, Kardinya",2019,4,549,610000
"1 Parkwood Avenue, Woodvale",2018,3,409,554500
"1 Peaceful Close, Marangaroo",2017,4,689,420000
"1 Pearson Crescent, Bull Creek",2017,6,691,950000
"1 Pedalstone Drive, Southern River",2020,4,769,705000
"1 Peet Crescent, Trigg",2016,3,527,780000
"1 Pelion Court, Middle Swan",2014,4,484,505000
"1 Penn Lane, Hammond Park",2020,4,604,515000
"1 Penson Street, Singleton",2018,3,783,345000
"1 Pera Mews, Beldon",2014,4,718,460000
"1 Peter Way, Rossmoyne",2018,5,950,1778000
"1 Piermont Avenue, Burns Beach",2017,4,550,900000
"1 Pixie Place, Two Rocks",2020,5,536,395000
"1 Plover Way, Stirling",2020,3,641,625000
"1 Poinsettia Grove, South Lake",2016,4,700,499000
"1 Point Link, Alkimos",2019,4,631,595000
"1 Polglase Fairway, Clarkson",2020,4,662,379000
"1 Portland Way, Ridgewood",2015,4,653,520000
"1 Portsea Gardens, Jandakot",2014,4,593,912000
"1 Presto Close, Quinns Rocks",2020,4,607,475000
"1 Printer Street, Dianella",2020,2,684,560000
"1 Pursuit Close, Middle Swan",2015,4,615,407000
"1 Purvis Street, Hamilton Hill",2020,3,839,470000
"1 Quail Place, Langford",2015,4,800,440000
"1 Quenda Close, Beeliar",2019,4,545,520000
"1 Ragtime Court, Ascot",2016,3,250,440000
"1 Ramose Close, Heathridge",2020,3,712,415000
"1 Reflection Mews, Safety Bay",2019,3,741,419000
"1 Regatta Way, Alkimos",2019,4,370,307000
"1 Regent Court, Cockburn Central",2014,3,476,515000
"1 Reginald Street, Queens Park",2016,5,634,670000
"1 Reilly Street, Singleton",2017,3,964,330000
"1 Reinagle Street, Ashby",2017,4,606,539000
"1 Repens Way, Banksia Grove",2019,4,549,370000
"1 Reserve Street, Bicton",2019,5,565,1820000
"1 Retchford Way, Queens Park",2018,4,463,560000
"1 Reuben Street, Beaconsfield",2017,3,256,590000
"1 Riber Court, Carine",2016,5,741,925000
"1 Richards Crescent, Craigie",2017,3,741,440000
"1 Rigoll Court, Mundijong",2014,3,873,400000
"1 Ringarooma Way, Willetton",2019,4,764,670000
"1 Ringmer Way, Westminster",2016,3,773,380000
"1 River Bed Pass, Wilson",2019,4,722,765000
"1 Riverdale Road, Helena Valley",2018,4,626,415000
"1 Robert Street, Dalkeith",2016,3,809,1700000
"1 Robyn Street, Morley",2019,3,742,520000
"1 Romani Court, Lockridge",2015,4,418,400000
"1 Rosalind Court, Rossmoyne",2018,4,877,1110000
"1 Rose Bay Court, Kallaroo",2016,4,868,1150000
"1 ROSTRATUS Link, Dayton",2016,3,395,480000
"1 Rothsay Crescent, Menora",2016,3,745,915000
"1 Rowe Place, Noranda",2017,3,801,620000
"1 Royal Melbourne Avenue, Connolly",2020,4,774,705000
"1 Royce Grove, Booragoon",2020,2,786,932000
"1 Ruby Avenue, Langford",2015,4,749,482000
"1 Ruby Court, Mount Richon",2015,5,1606,589000
"1 Rudge Place, Lockridge",2014,3,475,320000
"1 Salisbury Road, Beechboro",2017,4,539,350000
"1 Salmond Way, Bull Creek",2017,4,775,802000
"1 Salvin Road, Gwelup",2015,4,302,820000
"1 Samos Place, Mindarie",2018,4,729,790000
"1 Sandalford Drive, Beldon",2015,3,690,504000
"1 Sandringham Street, Trigg",2017,3,817,1051000
"1 Scarcliffe Way, Carine",2017,5,980,1125000
"1 Scott Street, Kewdale",2017,3,331,472000
"1 Seaflight Court, Heathridge",2019,5,904,560000
"1 Searle Road, Ardross",2017,6,527,1390000
"1 Sedge Link, Atwell",2018,4,558,520000
"1 Sellenger Avenue, Samson",2011,4,710,462000
"1 Seton Lane, Kinross",2017,4,725,550000
"1 Shackleton Street, Bassendean",2020,3,535,600000
"1 Sheppard Way, Marmion",2017,4,708,1480000
"1 Shiralee Bend, Carramar",2017,4,631,650000
"1 Shoal Court, Coogee",2020,4,885,710000
"1 Short Street, North Beach",2018,3,552,912000
"1 Silky Lane, Wandi",2015,4,437,303000
"1 Simon Place, City Beach",2019,3,993,1450000
"1 Sistina Road, Ashby",2015,4,598,450000
"1 Skye Lane, Ellenbrook",2020,3,386,320000
"1 Smailes Elbow, Brookdale",2013,3,385,228750
"1 Smitherson Street, Noranda",2018,5,685,585000
"1 Smullin Street, Hamilton Hill",2020,3,448,470000
"1 SNOWY RISE, Hammond Park",2020,4,581,445000
"1 Solly Court, Bull Creek",2018,6,847,1300000
"1 Spargo Street, Myaree",2017,4,437,765000
"1 Spring Hill, Tapping",2020,4,554,597000
"1 Spruce Place, Thornlie",2019,4,612,490000
"1 Spruce Terrace, Aubin Grove",2018,4,516,512888
"1 St Fillans Bend, Wanneroo",2019,4,632,465000
"1 St Ives Loop, Kallaroo",2016,4,1000,2195000
"1 Stephen Street, Queens Park",2016,3,305,480000
"1 Stitfold Promenade, Salter Point",2018,4,542,1300000
"1 Stokesay Street, Orelia",2016,5,594,418000
"1 Strathmore Parkway, Ellenbrook",2020,4,360,350000
"1 Strathpine Chase, Landsdale",2019,4,699,575000
"1 Strelley Lane, Carramar",2020,4,675,512600
"1 Stretton Way, Kenwick",2017,3,659,275000
"1 Strickland Court, Coogee",2018,6,705,770000
"1 Styne Road, City Beach",2018,4,736,1800000
"1 Success Crescent, Salter Point",2016,4,876,1555000
"1 Swallow Grove, Waikiki",2020,3,693,360000
"1 Sweeney Way, Padbury",2017,4,697,579000
"1 Talisker Mews, Ballajura",2018,5,585,420000
"1 Tall Karri Close, Camillo",2016,4,695,370000
"1 Tattler Place, Huntingdale",2019,3,754,323000
"1 Taylor Street, White Gum Valley",2016,5,519,845000
"1 Teetree Court, Beechboro",2017,5,706,500000
"1 Temple Mews, Iluka",2016,4,822,928250
"1 Tenella Mews, Warnbro",2019,4,532,300000
"1 Tennyson Street, Bellevue",2016,3,934,400000
"1 Tetbury Road, Butler",2020,4,535,500000
"1 The Mead, Kiara",2009,4,535,450000
"1 The Mews, Kardinya",2017,4,700,730000
"1 Thomas Hamilton Avenue, Mirrabooka",2020,4,516,450000
"1 Thorman Place, Booragoon",2019,4,829,905000
"1 Thornbill Loop, Beeliar",2017,4,435,429000
"1 Thurlow Avenue, Yokine",2020,3,386,525000
"1 Till Street, Herne Hill",2014,3,808,370000
"1 Tintern Road, Ashby",2015,3,298,465000
"1 Tippett Court, Willetton",2019,4,686,680000
"1 Tiwi Court, Iluka",2018,4,688,826000
"1 Tolbury Retreat, Kiara",2018,4,653,420000
"1 Torre Link, Darch",2017,4,518,560000
"1 Torridon Loop, Wanneroo",2018,4,740,725000
"1 Treaty Oak Cove, Bibra Lake",2019,4,830,600000
"1 Treave Street, Cloverdale",2017,3,311,450000
"1 Triller Road, Bennett Springs",2015,4,515,515000
"1 Trilogy Court, The Vines",2019,4,1545,1030000
"1 Trona Place, Forrestfield",2018,4,572,395000
"1 Tropicana Way, Safety Bay",2019,5,856,753000
"1 Troy Avenue, Marmion",2011,4,899,1600000
"1 Tucker Street, Medina",2015,4,931,270000
"1 Tullow Road, Floreat",2020,5,971,1575000
"1 Turner Parkway, Carramar",2019,4,624,479100
"1 Turner Street, Warnbro",2019,3,872,310000
"1 TWIN VIEW, Swan View",2018,4,869,595000
"1 Umina Street, High Wycombe",2018,2,764,296000
"1 Valencia Avenue, Churchlands",2015,3,497,935000
"1 Vantage Way, Burswood",2015,4,301,1585000
"1 Veldt Mews, Mirrabooka",2016,3,677,370000
"1 Venetian Way, Baldivis",2020,4,526,435000
"1 Verve Court, Marmion",2017,5,459,1255000
"1 Vilamour Close, Currambine",2017,4,773,582000
"1 Viola Place, Beechboro",2019,4,500,485000
"1 Violet Street, Middle Swan",2014,3,830,410000
"1 Virgilia Terrace, South Lake",2017,4,708,565000
"1 Voyager Link, Pearsall",2016,3,318,449000
"1 Wake Court, Redcliffe",2016,3,416,390000
"1 Wallace Street, Mundijong",2017,4,1999,640000
"1 Wambiri Close, South Lake",2016,4,517,510000
"1 Warlu Place, High Wycombe",2018,4,620,315000
"1 Warnt Court, South Guildford",2017,4,742,430000
"1 Waterway Crescent, Ascot",2016,4,556,1250000
"1 Wattle Court, Mahogany Creek",2014,4,2001,740000
"1 Wayford Circle, Hocking",2016,4,622,595000
"1 Webb Street, Rossmoyne",2015,3,531,670000
"1 Weema Court, Swan View",2020,6,1068,560000
"1 Weetman Cove, Cannington",2016,3,281,402600
"1 Wendo Court, Hillman",2013,4,693,345000
"1 Wenstead Place, Stratton",2015,4,686,357000
"1 Werri Place, Clarkson",2020,3,344,378000
"1 Wescap Rise, Merriwa",2018,4,684,300000
"1 Whelk Place, Mullaloo",2020,3,706,775000
"1 White Place, Subiaco",2020,3,261,753000
"1 White Street, North Fremantle",2020,3,329,785000
"1 Wildwood Mews, Carramar",2020,4,586,539000
"1 Willard Circuit, Banksia Grove",2017,3,313,385000
"1 Williams Court, Melville",2019,5,513,1200000
"1 Williamson Way, Trigg",2015,4,442,840000
