ADDRESS,LATITUDE
"1 Bourke Street, Kensington",-31.987920000000003
"1 Bowood Cove, Kiara",-31.881240000000002
"1 Bradbury Road, Hamilton Hill",-32.07693
"1 Bradford Street, Menora",-31.92056
"1 Bradstocks Grove, Southern River",-32.099348600000006
"1 Bramley Way, Bibra Lake",-32.103790000000004
"1 Brassey Street, Swanbourne",-31.97685
"1 Brentwood Way, The Vines",-31.75123
"1 Brilliant Rise, Stratton",-31.868290000000002
"1 Briston Place, North Beach",-31.86096794
"1 Bristow Street, Haynes",-32.15937438
"1 Brittain Avenue, Madeley",-31.81185
"1 Brix Street, Wembley Downs",-31.91782603
"1 Brixton Road, Bentley",-32.00510024
"1 Bruning Road, Manning",-32.00891
"1 Buckie Court, Warwick",-31.83908
"1 Bull Place, Queens Park",-32.00205721
"1 Bynder Lane, Medina",-32.23409592
"1 Cadiz Way, Bullsbrook",-31.65843642
"1 Cam Court, Merriwa",-31.66719
"1 Camden Boulevard, Aubin Grove",-32.16854691
"1 Cameron Street, Karrinyup",-31.87098262
"1 Camira Place, Gooseberry Hill",-31.951240000000002
"1 Camrose Lane, Darch",-31.81372
"1 Canarias Way, Hillarys",-31.81745
"1 Cannon Court, Alexander Heights",-31.83138
"1 Canny Road, St James",-31.998829999999998
"1 Carnegie Road, Bassendean",-31.907629999999997
"1 Carroll Street, Ardross",-32.02499618
"1 Caterpillar Road, Success",-32.15555254
"1 Caxton Lane, Ballajura",-31.84873764
"1 Centaur Circle, Woodbridge",-31.8934
"1 Cessford Close, Leda",-32.26303
"1 Challenger Avenue, Manning",-32.01232
"1 Chamberlain Circle, Bateman",-32.05318
"1 Charleston Road, Eglinton",-31.59475775
"1 Chauvel Court, Kiara",-31.884959999999996
"1 Chester Court, Orelia",-32.23786
"1 Chiddington Street, Beckenham",-32.02907099
"1 Chipala Court, Edgewater",-31.77422523
"1 Citrus Loop, South Lake",-32.104929999999996
"1 Claret Ash Court, Helena Valley",-31.91358
"1 Clarke Street, East Cannington",-32.01255367
"1 Clearwater Way, Singleton",-32.43563932
"1 Clifford Loop, Darch",-31.81702
"1 Cliverton Court, Marmion",-31.845840000000003
"1 Clovertree Street, Maddington",-32.0541
"1 Cobea Court, Mount Claremont",-31.9669
"1 Cockman Road, Greenwood",-31.8335
"1 Cohen Place, Beechboro",-31.87535346
"1 Collier Street, Wembley",-31.929940000000002
"1 Colmworth Way, Butler",-31.64758777
"1 Colonial Mews, Edgewater",-31.766070000000003
"1 Conical Way, Harrisdale",-32.11590661
"1 Convallis Vista, The Vines",-31.76277307
"1 Corbin Gate, Madeley",-31.808107
"1 Coronado Ridge, Iluka",-31.743409999999997
"1 Corvette Close, Waikiki",-32.32226
"1 Craigie Place, Mundaring",-31.90413
"1 Crest Grove, Ballajura",-31.83561
"1 Creswick Cross, Kiara",-31.88155
"1 Criollo Place, Stratton",-31.866618199999998
"1 Crivelli Parkway, Ashby",-31.73266376
"1 Crowley Vista, Salter Point",-32.018879999999996
"1 Curruthers Road, Mount Pleasant",-32.035946
"1 Cypress Mews, Warnbro",-32.3275827
"1 Dagostino Road, Byford",-32.22239608
"1 Dalkey Way, Darch",-31.81004895
"1 Danzil Street, Willagee",-32.05243282
"1 Datchet Turn, Bertram",-32.23789039
"1 David Street, Mullaloo",-31.7818
"1 Davis Court, Woodlands",-31.90617
"1 Daybreak Loop, Wellard",-32.26332378
"1 Dean Place, Lockridge",-31.87775
"1 Dean Road, Bateman",-32.0464
"1 Delphi Court, Rossmoyne",-32.03477
"1 Denton Street, Wembley",-31.94173236
"1 Dermer Road, Beaconsfield",-32.07189
"1 Deverell Way, Bentley",-32.01167461
"1 Dilkera Place, Quinns Rocks",-31.666090000000004
"1 Dirk Hartog Road, Bull Creek",-32.05966708
"1 Discovery Circuit, Iluka",-31.741509999999998
"1 Disney Street, Brentwood",-32.0424445
"1 Dolomite Road, Carine",-31.85258
"1 Dolphin Way, Beldon",-31.77175
"1 Doradeen Close, Hillman",-32.286429999999996
"1 Doram Court, Swan View",-31.87503
"1 Driftwood Way, Bennett Springs",-31.85716057
"1 Driver Road, Darch",-31.81305
"1 Dunbar Road, Claremont",-31.983909999999998
"1 Durant Way, Brentwood",-32.04516488
"1 Dutton Way, Singleton",-32.45159
"1 Duxford Street, Butler",-31.649409999999996
"1 East Street, Mount Hawthorn",-31.924770000000002
"1 Eastfield Court, Ferndale",-32.03099
"1 Easton Court, Boya",-31.91901559
"1 Edelweiss Way, Beckenham",-32.02013901
"1 Edgecombe Pass, Aveley",-31.79128655
"1 El Porto Way, Iluka",-31.73064
"1 Elfin Grove, Warnbro",-32.33945
"1 Elvire Street, Midland",-31.88588
"1 Empress Crescent, Atwell",-32.12896
"1 Epping Court, High Wycombe",-31.933213000000002
"1 Ericht Pass, Kinross",-31.712670000000003
"1 Estevan Way, Ferndale",-32.03262
"1 Ethel Street, Guildford",-31.90087308
"1 Etna Place, Rossmoyne",-32.03299881
"1 Eudora Way, North Coogee",-32.10580379
"1 Fairetha Court, Ascot",-31.927229999999998
"1 Fairhaven Terrace, Hillarys",-31.802628499999997
"1 Fallow Crescent, Spearwood",-32.11469111
"1 Fantail Drive, Bibra Lake",-32.104440000000004
"1 Farrington Street, Warnbro",-32.33509
"1 Federal Street, Osborne Park",-31.89819732
"1 Felpham Court, Success",-32.13581424
"1 Ficarra Way, Sinagra",-31.73905
"1 First Avenue, Woodbridge",-31.89071
"1 Fischer Road, Darlington",-31.90745
"1 Flemington Way, Redcliffe",-31.94468218
"1 Flint Close, Pearsall",-31.7776903
"1 Florey Place, Huntingdale",-32.0806105
"1 Floribunda Gate, Dayton",-31.85877749
"1 Forrest Court, Kiara",-31.886190000000003
"1 Fort Street, Morley",-31.907429999999998
"1 Fortuna View, Iluka",-31.73934726
"1 Fortune Street, Balcatta",-31.88513
"1 Fourth Avenue, Rossmoyne",-32.0356484
"1 Fran Court, Merriwa",-31.67332
"1 Freedman Road, Menora",-31.917494899999998
"1 Gaffin Way, Kwinana Town Centre",-32.24220021
"1 Gali Lane, City Beach",-31.92904792
"1 Galilee Way, Baldivis",-32.34096334
"1 Gamay Court, The Vines",-31.75328
"1 Gannett Street, Bateman",-32.04687661
"1 Genesta Place, Two Rocks",-31.49278
"1 Georges Close, Kallaroo",-31.793909999999997
"1 Gerygone Pass, Tapping",-31.72047938
"1 Ghost Gum Boulevard, Banksia Grove",-31.69797849
"1 Gianatti Ramble, East Cannington",-32.0131973
"1 Gidgee Cove, Kenwick",-32.03440647
"1 Gilchrist Avenue, Bibra Lake",-32.08615
"1 Gillespie Court, Lockridge",-31.886840000000003
"1 Gillon Road, Noranda",-31.87758
"1 Giudice Way, Yangebup",-32.12598858
"1 Glasson Way, Darch",-31.80600361
"1 Glebe Close, Mindarie",-31.68433
"1 Glenelg Street, Mount Hawthorn",-31.926309999999997
"1 Gloucester Road, Kalamunda",-31.9862
"1 Gloucester Street, Swanbourne",-31.97448929
"1 Gold Lane, Iluka",-31.73051
"1 Gordon Place, Huntingdale",-32.076494
"1 Gorman Place, Calista",-32.247079
"1 Graduate Place, Marangaroo",-31.82507
"1 Grahame Street, Mount Helena",-31.868440000000003
"1 Grant Street, Duncraig",-31.82993213
"1 Gray Road, Haynes",-32.14771648
"1 Green Street, Kewdale",-31.98095493
"1 Greygum Rise, Kenwick",-32.03717
"1 Grid Court, Beldon",-31.7725
"1 Grimsay Road, Ardross",-32.02469
"1 Grove End Ridge, Mount Claremont",-31.96425
"1 Grove Street, Shoalwater",-32.29130126
"1 Guy Place, Melville",-32.03713
"1 Hadlow Court, Leeming",-32.07296442
"1 Halleendale Road, Walliston",-32.00122
"1 Hamlyn Glen, Kiara",-31.88204218
"1 Hanrahan Loop, Kardinya",-32.06888
"1 Hansen Vista, Landsdale",-31.812279999999998
"1 Hardey Road, Serpentine",-32.368759999999995
"1 Harrier Way, Beldon",-31.77517826
"1 Hartle Lane, Brookdale",-32.17006445
"1 Hartley Street, Coolbellup",-32.07800737
"1 Hartwell Parade, Jandakot",-32.10808521
"1 Harwood Street, Hilton",-32.06521332
"1 Hazlett Close, South Lake",-32.10647
"1 Henderson Road, Stoneville",-31.882070000000002
"1 Hennessy Drive, Ashby",-31.73327888
"1 Henrietta Court, Coogee",-32.12453
"1 Henty Court, Mirrabooka",-31.85539218
"1 Herbert Road, Subiaco",-31.95496368
"1 Heslop Road, Lesmurdie",-31.99545
"1 Hewlett Turn, Tapping",-31.71751458
"1 Hilliger Turn, Jane Brook",-31.85965981
"1 Hilltop Close, Mahogany Creek",-31.90108
"1 Hilltop Place, Edgewater",-31.76698
"1 Hillwater Promenade, Bennett Springs",-31.8612434
"1 Hitek Court, Merriwa",-31.67284
"1 Holmesdale Road, Woodbridge",-31.89292
"1 Holywell Street, Middle Swan",-31.87473097
"1 Honister Close, Balga",-31.853413800000002
"1 Hood Street, Forrestfield",-31.99944892
"1 Hulbert Street, South Fremantle",-32.07436
"1 Huntington Road, Coogee",-32.11466
"1 Hydra Close, Rockingham",-32.29327
"1 Hynes Road, Dalkeith",-31.9961478
"1 INGODA LINK, Baldivis",-32.34367531
"1 Ingot Lane, Harrisdale",-32.11452587
"1 Iona Place, Cannington",-32.01165
"1 Irma Way, Butler",-31.64276
"1 Ironcap Grove, Wandi",-32.20048161
"1 Ivythorne Grove, Kiara",-31.88213
"1 Jacolite Street, Darch",-31.81164307
"1 Jade Grove, Edgewater",-31.768179999999997
"1 Jaffa Close, Seville Grove",-32.145346
"1 Jamaican Road, Safety Bay",-32.307190000000006
"1 Jameson Street, Mosman Park",-32.01677624
"1 Jarrah Lane, Mount Claremont",-31.968529999999998
"1 Jaywick Close, Safety Bay",-32.30164
"1 Jecks Street, Maida Vale",-31.95706
"1 Jeffrey Loop, Brookdale",-32.16939481
"1 Jib Court, Ocean Reef",-31.76898
"1 Jindabyne Street, Hilbert",-32.163197
"1 Johnson Avenue, Guildford",-31.90124079
"1 Jolimont Terrace, Jolimont",-31.94424
"1 Josbury Corner, Carramar",-31.70727
"1 Jura Court, Duncraig",-31.83222514
"1 Jurien Close, Warnbro",-32.334790000000005
"1 Kadi Court, Marangaroo",-31.834529999999997
"1 Kalara Road, Koongamia",-31.9068
"1 Kalara Way, Koongamia",-31.906209999999998
"1 Kalbarri Pass, Jane Brook",-31.86176396
"1 Kangaroo Entrance, Stratton",-31.86161
"1 Kartner Road, Tapping",-31.725920000000002
"1 Kennack Vista, Atwell",-32.1418
"1 Kensington Street, Bellevue",-31.89893997
"1 Kent Street, Viveash",-31.877240000000004
"1 Kevin Street, Stoneville",-31.8751
"1 Kilmurray Elbow, Huntingdale",-32.08833
"1 Kinkuna Way, City Beach",-31.91382
"1 Kirkcolm Way, Warwick",-31.84202
"1 Kirke Cove, Merriwa",-31.663017
"1 Kirkstall Way, Sawyers Valley",-31.90062
"1 Knaphill Heights, Mirrabooka",-31.85597209
"1 Kookaburra Terrace, Ballajura",-31.83531353
"1 Kooralbyn Way, Connolly",-31.743129999999997
"1 Kutcharo Crescent, Joondalup",-31.72359
"1 Kyby Place, Carramar",-31.70664144
"1 Kyle Place, Swan View",-31.89313
"1 Lambeth Mews, Mount Claremont",-31.96237
"1 Lanark Street, Menora",-31.91975
"1 Langham Street, Nedlands",-31.9730632
"1 Lark Court, Yangebup",-32.1212
"1 Lark Mews, Ballajura",-31.83355
"1 Lauder Place, Kinross",-31.71787
"1 Laughton Way, Leeming",-32.06656535
"1 Lee Street, Forrestfield",-31.995754499999997
"1 Leigh Court, Marangaroo",-31.83019
"1 Lena Street, Beckenham",-32.01824223
"1 Lennoxtown Road, Duncraig",-31.832359999999998
"1 Letchworth Centre Avenue, Salter Point",-32.02242817
"1 Librizzi Parade, Sinagra",-31.73905101
"1 Lilypond Court, Ascot",-31.926440000000003
"1 Lindeman Heights, Ridgewood",-31.669109999999996
"1 Linnett Brace, Darch",-31.816359999999996
"1 Lintonmarc Drive, Redcliffe",-31.944309999999998
"1 Litchfield Crescent, Carramar",-31.71023649
"1 Little Lefroy Lane, South Fremantle",-32.0676128
"1 Love Street, Myaree",-32.04018283
"1 Luhrs Court, Mundaring",-31.892390000000002
"1 Luke Place, Ascot",-31.92521012
"1 Lundy Cove, Kiara",-31.879559999999998
"1 Macdonald Road, Applecross",-32.01132011
"1 Mackie Place, Midvale",-31.89125
"1 Maidos Street, Ashfield",-31.91705
"1 MAJORELLE WAY, Eglinton",-31.5962686
"1 Mal Bay Court, Mindarie",-31.69765942
"1 Malcolm Street, North Beach",-31.85717835
"1 Maley Court, Ashfield",-31.91783
"1 Malibu Entrance, Iluka",-31.73776993
"1 Malone Mews, Clarkson",-31.67738
"1 Manhattan Concourse, Hilbert",-32.18057352
"1 Mannaw Place, Hillman",-32.2868
"1 Mannix Pass, Queens Park",-32.0070209
"1 Marconi Street, Morley",-31.888625
"1 Margaret Road, Secret Harbour",-32.4137457
"1 Marich Cove, Atwell",-32.13147
"1 Maritana Road, Kallaroo",-31.79102
"1 Marker Road, Ocean Reef",-31.76473
"1 Markham Place, Bentley",-32.00646397
"1 Maroma Loop, Burns Beach",-31.7222495
"1 Martin Avenue, Rivervale",-31.95561853
"1 Mayhill Place, Craigie",-31.791079999999997
"1 McBain Court, Langford",-32.040820000000004
"1 Mcdermott Road, Kwinana Town Centre",-32.24286002
"1 McKenna Glen, Mount Claremont",-31.967340000000004
"1 McKenzie Corner, Bertram",-32.254559
"1 McNairn Cross, Leda",-32.26589
"1 Meadow Place, Hocking",-31.76526876
"1 Meares Avenue, Parmelia",-32.240190000000005
"1 Mears Way, Hilbert",-32.16528477
"1 Medawar Loop, Piara Waters",-32.1310864
"1 Melissa Street, Duncraig",-31.817840000000004
"1 Melita Drive, Helena Valley",-31.91391044
"1 Melrose Crescent, Menora",-31.92307875
"1 Mercer Place, Thornlie",-32.06477
"1 Merley Crescent, City Beach",-31.92445085
"1 Merlot Court, The Vines",-31.750040000000002
"1 Milina Street, Hillman",-32.28523
"1 Mingara Avenue, Harrisdale",-32.11547772
"1 Mission Place, Cooloongup",-32.288509999999995
"1 Moira Mews, Stratton",-31.862790000000004
"1 Monarch Way, Wattle Grove",-32.00507281
"1 Montana Crescent, Dayton",-31.85779855
"1 Montrose Way, Nollamara",-31.87969259
"1 Moody Glen, Palmyra",-32.04923
"1 Moseley Drive, The Vines",-31.76139342
"1 Mosman Loop, Success",-32.15405
"1 Mottee Road, Bateman",-32.056020000000004
"1 Mudalla Way, Koongamia",-31.90607
"1 Mulberry Lane, Mirrabooka",-31.85864883
"1 Mulgrave Loop, Mindarie",-31.67824124
"1 Myhill Mews, Leda",-32.26273
"1 Namoi Street, Hammond Park",-32.16283412
"1 Nardie Place, Hillman",-32.28552
"1 Narla Place, Koongamia",-31.90288
"1 Nettia Place, Bennett Springs",-31.85995266
"1 New Ross Lane, Waterford",-32.01535
"1 Newman Place, Kenwick",-32.03205495
"1 Newmarket Retreat, Currambine",-31.74052
"1 newquay Street, Harrisdale",-32.11730851
"1 Niagara Cove, Bentley",-32.00766186
"1 Nicholas Crescent, Hilton",-32.07035301
"1 Nobilis Street, Beeliar",-32.13312954
"1 Norfolk Rise, Mount Claremont",-31.9633
"1 Northerly Avenue, Ascot",-31.93709715
"1 Nundah Court, Glen Forrest",-31.917790000000004
"1 Nyjong Street, Kenwick",-32.04740777
"1 Oakwood Court, Beechboro",-31.867829999999998
"1 Oban Court, Duncraig",-31.834329999999998
"1 Odell Court, Carine",-31.847609999999996
"1 Odell Street, Secret Harbour",-32.416
"1 Odessa Place, Beldon",-31.774009999999997
"1 Offord Street, Armadale",-32.15956
"1 Ollera Meander, Carramar",-31.71143
"1 Ollis Street, Safety Bay",-32.30174
"1 O'Mara Boulevard, Iluka",-31.73456015
"1 Orange Valley Road, Kalamunda",-31.979029999999998
"1 Orsulich Loop, Spearwood",-32.11159241
"1 Otway Street, Swanbourne",-31.98102
"1 Palos Court, Sorrento",-31.824209999999997
"1 Parish Lane, Churchlands",-31.916179999999997
"1 Park Lane, Kardinya",-32.0659
"1 Parkwood Avenue, Woodvale",-31.77945863
"1 Peaceful Close, Marangaroo",-31.82195
"1 Pearson Crescent, Bull Creek",-32.06045
"1 Pedalstone Drive, Southern River",-32.10177
"1 Peet Crescent, Trigg",-31.88597462
"1 Pelion Court, Middle Swan",-31.87366996
"1 Penn Lane, Hammond Park",-32.15997
"1 Penson Street, Singleton",-32.45555
"1 Pera Mews, Beldon",-31.780459999999998
"1 Peter Way, Rossmoyne",-32.04305
"1 Piermont Avenue, Burns Beach",-31.72401491
"1 Pimelea Rise, Beeliar",-32.12854
"1 Pixie Place, Two Rocks",-31.504585
"1 Platypus Parkway, Beeliar",-32.13410411
"1 Plover Way, Stirling",-31.875609999999998
"1 Poinsettia Grove, South Lake",-32.09855
"1 Point Link, Alkimos",-31.60087269
"1 Polglase Fairway, Clarkson",-31.68787
"1 Portland Way, Ridgewood",-31.657677000000003
"1 Portsea Gardens, Jandakot",-32.100770000000004
"1 Presto Close, Quinns Rocks",-31.66272
"1 Printer Street, Dianella",-31.893720000000002
"1 Pursuit Close, Middle Swan",-31.871059999999996
"1 Purvis Street, Hamilton Hill",-32.08354
"1 Quail Place, Langford",-32.03925
"1 Quenda Close, Beeliar",-32.128009999999996
"1 Ragtime Court, Ascot",-31.92747
"1 Ramose Close, Heathridge",-31.762929999999997
"1 Reflection Mews, Safety Bay",-32.30085198
"1 Regatta Way, Alkimos",-31.60184192
"1 Regent Court, Cockburn Central",-32.12682
"1 Reginald Street, Queens Park",-32.00268524
"1 Reilly Street, Singleton",-32.44782
"1 Reinagle Street, Ashby",-31.72839
"1 Repens Way, Banksia Grove",-31.70068425
"1 Reserve Street, Bicton",-32.023018
"1 Retchford Way, Queens Park",-32.00498497
"1 Reuben Street, Beaconsfield",-32.06387863
"1 Riber Court, Carine",-31.85137028
"1 Richards Crescent, Craigie",-31.7799
"1 Rigoll Court, Mundijong",-32.28693
"1 Ringarooma Way, Willetton",-32.05836
"1 Ringmer Way, Westminster",-31.87030004
"1 River Bank Boulevard, South Guildford",-31.89746
"1 River Bed Pass, Wilson",-32.027229999999996
"1 Riverdale Road, Helena Valley",-31.916209000000002
"1 Robert Street, Dalkeith",-31.992759999999997
"1 Robyn Street, Morley",-31.88360862
"1 ROKER Way, Brabham",-31.81819146
"1 Romani Court, Lockridge",-31.885
"1 Rosalind Court, Rossmoyne",-32.04082519
"1 Rose Bay Court, Kallaroo",-31.787290000000002
"1 ROSTRATUS Link, Dayton",-31.86142468
"1 Rothsay Crescent, Menora",-31.918397600000002
"1 Rowe Place, Noranda",-31.87743947
"1 Royal Melbourne Avenue, Connolly",-31.75275
"1 Royce Grove, Booragoon",-32.04205
"1 Ruby Avenue, Langford",-32.03383
"1 Ruby Court, Mount Richon",-32.159955
"1 Rudge Place, Lockridge",-31.88383025
"1 Sabro Lane, Caversham",-31.86622648
"1 Salamanca Parkway, Port Kennedy",-32.35546
"1 Salisbury Road, Beechboro",-31.87159
"1 Salmond Way, Bull Creek",-32.0499631
"1 Salvin Road, Gwelup",-31.87505528
"1 Samos Place, Mindarie",-31.69037
"1 Sandalford Drive, Beldon",-31.77478
"1 Sandridge Street, Banksia Grove",-31.68985631
"1 Sandringham Street, Trigg",-31.88519996
"1 Sapium Way, Woodvale",-31.79484
"1 Scarcliffe Way, Carine",-31.852970000000003
"1 Scott Street, Kewdale",-31.97556419
"1 Seabreeze Avenue, Burns Beach",-31.72319147
"1 Seaflight Court, Heathridge",-31.756190000000004
"1 Searle Road, Ardross",-32.03168
"1 Sedge Link, Atwell",-32.1485618
"1 Sellenger Avenue, Samson",-32.06761721
"1 Seton Lane, Kinross",-31.71612
"1 Shackleton Street, Bassendean",-31.909609999999997
"1 Sheppard Way, Marmion",-31.84399
"1 Shiralee Bend, Carramar",-31.71055
"1 Shoal Court, Coogee",-32.12684
"1 Short Street, North Beach",-31.862379999999998
"1 Silica Road, Wattle Grove",-31.99363062
"1 Silky Lane, Wandi",-32.19984019
"1 Simon Place, City Beach",-31.923759999999998
"1 Sistina Road, Ashby",-31.737409999999997
"1 Skottowe Parkway, Parmelia",-32.25716
"1 Skye Lane, Ellenbrook",-31.76905861
"1 Smailes Elbow, Brookdale",-32.17057292
"1 Smitherson Street, Noranda",-31.871540000000003
"1 Smullin Street, Hamilton Hill",-32.08078
"1 SNOWY RISE, Hammond Park",-32.1635692
"1 Solly Court, Bull Creek",-32.05328
"1 Spargo Street, Myaree",-32.04014104
"1 Spring Hill, Tapping",-31.72506041
"1 Spruce Place, Thornlie",-32.0647
"1 Spruce Terrace, Aubin Grove",-32.17607691
"1 St Fillans Bend, Wanneroo",-31.778209999999998
"1 St Ives Loop, Kallaroo",-31.793870000000002
"1 Stephen Street, Queens Park",-32.0038586
"1 Stitfold Promenade, Salter Point",-32.01832
"1 Stokesay Street, Orelia",-32.229927
"1 Strathmore Parkway, Ellenbrook",-31.771121
"1 Strathpine Chase, Landsdale",-31.81223
"1 Strelley Lane, Carramar",-31.71053
"1 Stretton Way, Kenwick",-32.03748
"1 Strickland Court, Coogee",-32.11715
"1 Styne Road, City Beach",-31.92540258
"1 Success Crescent, Salter Point",-32.02154
"1 Sumich Gardens, Coogee",-32.10983
"1 Swallow Grove, Waikiki",-32.31177
"1 Sweeney Way, Padbury",-31.799570000000003
"1 Talisker Mews, Ballajura",-31.84665
"1 Tall Karri Close, Camillo",-32.11623105
"1 Tattler Place, Huntingdale",-32.08391766
"1 Taylor Street, White Gum Valley",-32.06176
"1 Teetree Court, Beechboro",-31.8662
"1 Temple Mews, Iluka",-31.74
"1 Tenella Mews, Warnbro",-32.34082
"1 Tennyson Street, Bellevue",-31.89756
"1 Tetbury Road, Butler",-31.65352168
"1 The Mead, Kiara",-31.87955
"1 The Mews, Kardinya",-32.060320000000004
"1 Thomas Hamilton Avenue, Mirrabooka",-31.86795
"1 Thorman Place, Booragoon",-32.03310283
"1 Thornbill Loop, Beeliar",-32.12948
"1 Thurlow Avenue, Yokine",-31.9010744
"1 Till Street, Herne Hill",-31.82556
"1 Tintern Road, Ashby",-31.73707065
"1 Tippett Court, Willetton",-32.06054
"1 Tiwi Court, Iluka",-31.73075
"1 Tolbury Retreat, Kiara",-31.88237
"1 Torre Link, Darch",-31.816572999999998
"1 Torridon Loop, Wanneroo",-31.77572
"1 Treaty Oak Cove, Bibra Lake",-32.09059
"1 Treave Street, Cloverdale",-31.97036143
"1 Triller Road, Bennett Springs",-31.85787729
"1 Trilogy Court, The Vines",-31.76598
"1 Trona Place, Forrestfield",-31.98870201
"1 Tropicana Way, Safety Bay",-32.31132
"1 Troy Avenue, Marmion",-31.84345
"1 Tucker Street, Medina",-32.2316
"1 Tuckeroo Parade, Helena Valley",-31.9138053
"1 Tullow Road, Floreat",-31.93726426
"1 Turner Parkway, Carramar",-31.71046806
"1 Turner Street, Warnbro",-32.33464
"1 TWIN VIEW, Swan View",-31.87482
"1 Umina Street, High Wycombe",-31.93901263
"1 Valencia Avenue, Churchlands",-31.91611563
"1 Vantage Way, Burswood",-31.95795076
"1 Veldt Mews, Mirrabooka",-31.851770000000002
"1 Venetian Way, Baldivis",-32.3154684
"1 Verve Court, Marmion",-31.84166857
"1 Vilamour Close, Currambine",-31.74087
"1 Viola Place, Beechboro",-31.86855
"1 Violet Street, Middle Swan",-31.87861
"1 Virgilia Terrace, South Lake",-32.10389
"1 Voyager Link, Pearsall",-31.78514118
"1 Wake Court, Redcliffe",-31.94074
"1 Wallace Street, Mundijong",-32.29332
"1 Wambiri Close, South Lake",-32.11270143
"1 Warlu Place, High Wycombe",-31.934690000000003
"1 Warnt Court, South Guildford",-31.91635
"1 Waterway Crescent, Ascot",-31.936870000000003
"1 Wattle Court, Mahogany Creek",-31.902379999999997
"1 Waugh Court, North Lake",-32.077
"1 Wayford Circle, Hocking",-31.769759999999998
"1 Webb Street, Rossmoyne",-32.0421094
"1 Weema Court, Swan View",-31.89084
"1 Weetman Cove, Cannington",-32.00447
"1 Wendo Court, Hillman",-32.28523
"1 Wenstead Place, Stratton",-31.86627
"1 Werri Place, Clarkson",-31.69303
"1 Wescap Rise, Merriwa",-31.671509999999998
"1 Whelk Place, Mullaloo",-31.775779999999997
"1 White Place, Subiaco",-31.94306086
"1 White Street, North Fremantle",-32.032201
"1 Whitehouse Drive, Koondoola",-31.84546
"1 Wildwood Mews, Carramar",-31.69045846
"1 Willard Circuit, Banksia Grove",-31.69154391
"1 Williams Court, Melville",-32.03883414
"1 Williamson Way, Trigg",-31.86704956
"1 Willow Way, Gooseberry Hill",-31.95625
"1 Wilson Lane, Bateman",-32.04654
"1 Wimbledon Drive, Kingsley",-31.8122
"1 Windoo Place, Koongamia",-31.904420000000002
"1 Windoo Road, Parkerville",-31.88249
"1 Wintergreene Drive, Bennett Springs",-31.85752763
"1 Wissota Pass, Secret Harbour",-32.40748
"1 Woodbine Loop, Tapping",-31.71472
"1 Woodbine Terrace, Mirrabooka",-31.852529999999998
"1 Woodfield Close, Mount Helena",-31.866459999999996
"1 Woodlands Way, Jandakot",-32.10266016
"1 Woolmore Cross, Atwell",-32.13925
"1 Yallambee Place, Karawara",-32.00846545
"1 Yilgarn Street, White Gum Valley",-32.0622
"1 Yule Street, City Beach",-31.921529999999997
"1 Zamia Road, Gooseberry Hill",-31.95990117
"1 Zanzibar Loop, Aveley",-31.78504845
"1/1 Coolgardie Street, West Perth",-31.94893602
"1/1 French Street, Ashfield",-31.91532844
"1/1 Lentona Road, Attadale",-32.03103
