ADDRESS,PRICE
"1 Carnegie Road, Bassendean",1100000
"1 Carroll Street, Ardross",1265000
"1 Caterpillar Road, Success",472500
"1 Caxton Lane, Ballajura",392500
"1 Centaur Circle, Woodbridge",900000
"1 Cessford Close, Leda",380000
"1 Challenger Avenue, Manning",590000
"1 Chamberlain Circle, Bateman",835000
"1 Charleston Road, Eglinton",495000
"1 Chauvel Court, Kiara",390000
"1 Chester Court, Orelia",280000
"1 Chiddington Street, Beckenham",355000
"1 Chipala Court, Edgewater",465000
"1 Citrus Loop, South Lake",372000
"1 Claret Ash Court, Helena Valley",685000
"1 Clarke Street, East Cannington",360000
"1 Clearwater Way, Singleton",320000
"1 Clifford Loop, Darch",492000
"1 Cliverton Court, Marmion",974000
"1 Clovertree Street, Maddington",435000
"1 Cobea Court, Mount Claremont",900000
"1 Cockman Road, Greenwood",405000
"1 Cohen Place, Beechboro",290000
"1 Collier Street, Wembley",1160000
"1 Colmworth Way, Butler",415000
"1 Colonial Mews, Edgewater",525000
"1 Conical Way, Harrisdale",629000
"1 Convallis Vista, The Vines",600000
"1 Corbin Gate, Madeley",427000
"1 Coronado Ridge, Iluka",1015000
"1 Corvette Close, Waikiki",445000
"1 Craigie Place, Mundaring",610000
"1 Crest Grove, Ballajura",465000
"1 Creswick Cross, Kiara",454000
"1 Criollo Place, Stratton",380000
"1 Crivelli Parkway, Ashby",382000
"1 Crowley Vista, Salter Point",1150000
"1 Curruthers Road, Mount Pleasant",2200000
"1 Cypress Mews, Warnbro",375000
"1 Dagostino Road, Byford",495000
"1 Dalkey Way, Darch",445000
"1 Danzil Street, Willagee",515000
"1 Datchet Turn, Bertram",270000
"1 David Street, Mullaloo",780000
"1 Davis Court, Woodlands",1280000
"1 Daybreak Loop, Wellard",410000
"1 Dean Place, Lockridge",425000
"1 Dean Road, Bateman",599900
"1 Delphi Court, Rossmoyne",1330000
"1 Denton Street, Wembley",732000
"1 Dermer Road, Beaconsfield",530000
"1 Deverell Way, Bentley",465000
"1 Dilkera Place, Quinns Rocks",380000
"1 Dirk Hartog Road, Bull Creek",572000
"1 Discovery Circuit, Iluka",1300000
"1 Disney Street, Brentwood",710250
"1 Dolomite Road, Carine",835000
"1 Dolphin Way, Beldon",400000
"1 Doradeen Close, Hillman",275000
"1 Doram Court, Swan View",335000
"1 Driftwood Way, Bennett Springs",400000
"1 Driver Road, Darch",532000
"1 Dunbar Road, Claremont",1700000
"1 Durant Way, Brentwood",820000
"1 Dutton Way, Singleton",385000
"1 Duxford Street, Butler",427000
"1 East Street, Mount Hawthorn",660000
"1 Eastfield Court, Ferndale",250000
"1 Easton Court, Boya",508000
"1 Edelweiss Way, Beckenham",415000
"1 Edgecombe Pass, Aveley",550000
"1 El Porto Way, Iluka",935000
"1 Elfin Grove, Warnbro",380000
"1 Elvire Street, Midland",349000
"1 Empress Crescent, Atwell",470000
"1 Epping Court, High Wycombe",475000
"1 Ericht Pass, Kinross",577500
"1 Estevan Way, Ferndale",490000
"1 Ethel Street, Guildford",715000
"1 Etna Place, Rossmoyne",1100000
"1 Eudora Way, North Coogee",1130000
"1 Fairetha Court, Ascot",720000
"1 Fairhaven Terrace, Hillarys",1075000
"1 Fallow Crescent, Spearwood",475000
"1 Fantail Drive, Bibra Lake",545000
"1 Farrington Street, Warnbro",317500
"1 Federal Street, Osborne Park",465000
"1 Felpham Court, Success",449000
"1 Ficarra Way, Sinagra",450000
"1 First Avenue, Woodbridge",525000
"1 Fischer Road, Darlington",900000
"1 Flemington Way, Redcliffe",375000
"1 Flint Close, Pearsall",522000
"1 Florey Place, Huntingdale",464000
"1 Floribunda Gate, Dayton",550000
"1 Forrest Court, Kiara",490000
"1 Fort Street, Morley",560000
"1 Fortuna View, Iluka",1160000
"1 Fortune Street, Balcatta",460000
"1 Fourth Avenue, Rossmoyne",872000
"1 Fran Court, Merriwa",335000
"1 Frederic Street, Koongamia",83000
"1 Freedman Road, Menora",925000
"1 Gaffin Way, Kwinana Town Centre",330000
"1 Gali Lane, City Beach",1930000
"1 Galilee Way, Baldivis",547000
"1 Gamay Court, The Vines",533000
"1 Gannett Street, Bateman",460000
"1 Genesta Place, Two Rocks",405000
"1 Georges Close, Kallaroo",1075000
"1 Gerygone Pass, Tapping",465000
"1 Ghost Gum Boulevard, Banksia Grove",335000
"1 Gianatti Ramble, East Cannington",745000
"1 Gidgee Cove, Kenwick",385000
"1 Gilchrist Avenue, Bibra Lake",480000
"1 Gillespie Court, Lockridge",330000
"1 Gillon Road, Noranda",520000
"1 Giudice Way, Yangebup",885000
"1 Glasson Way, Darch",610000
"1 Glebe Close, Mindarie",830000
"1 Glenelg Street, Mount Hawthorn",825000
"1 Gloucester Road, Kalamunda",485000
"1 Gloucester Street, Swanbourne",980000
"1 Gold Lane, Iluka",769000
"1 Gordon Place, Huntingdale",410000
"1 Gorman Place, Calista",475000
"1 Graduate Place, Marangaroo",385000
"1 Grahame Street, Mount Helena",385000
"1 Grant Street, Duncraig",730000
"1 Gray Road, Haynes",720000
"1 Green Street, Kewdale",505000
"1 Greygum Rise, Kenwick",362500
"1 Grid Court, Beldon",487000
"1 Grimsay Road, Ardross",600000
"1 Grove End Ridge, Mount Claremont",1675000
"1 Grove Street, Shoalwater",315000
"1 Guy Place, Melville",990000
"1 Hadlow Court, Leeming",428000
"1 Halleendale Road, Walliston",620000
"1 Hamlyn Glen, Kiara",405000
"1 Hanrahan Loop, Kardinya",643000
"1 Hansen Vista, Landsdale",538000
"1 Hardey Road, Serpentine",375000
"1 Harrier Way, Beldon",395000
"1 Hartle Lane, Brookdale",311850
"1 Hartley Street, Coolbellup",499000
"1 Hartwell Parade, Jandakot",620000
"1 Harwood Street, Hilton",560003
"1 Hazlett Close, South Lake",481000
"1 Henderson Road, Stoneville",430000
"1 Hennessy Drive, Ashby",430000
"1 Henrietta Court, Coogee",727000
"1 Henty Court, Mirrabooka",450000
"1 Herbert Road, Subiaco",910000
"1 Heslop Road, Lesmurdie",705000
"1 Hewlett Turn, Tapping",470000
"1 Hilliger Turn, Jane Brook",515000
"1 Hilltop Close, Mahogany Creek",272500
"1 Hilltop Place, Edgewater",492500
"1 Hillwater Promenade, Bennett Springs",565000
"1 Hitek Court, Merriwa",280000
"1 Holmesdale Road, Woodbridge",575000
"1 Holywell Street, Middle Swan",495000
"1 Honister Close, Balga",290000
"1 Hood Street, Forrestfield",365000
"1 Hulbert Street, South Fremantle",1200000
"1 Huntington Road, Coogee",910000
"1 Hydra Close, Rockingham",340000
"1 Hynes Road, Dalkeith",1800000
"1 INGODA LINK, Baldivis",650000
"1 Ingot Lane, Harrisdale",492000
"1 Iona Place, Cannington",543800
"1 Irma Way, Butler",360000
"1 Ironcap Grove, Wandi",305000
"1 Ivythorne Grove, Kiara",210000
"1 Jacolite Street, Darch",530000
"1 Jade Grove, Edgewater",480000
"1 Jaffa Close, Seville Grove",375000
"1 Jamaican Road, Safety Bay",372500
"1 Jameson Street, Mosman Park",980000
"1 Jarrah Lane, Mount Claremont",1210000
"1 Jaywick Close, Safety Bay",435000
"1 Jecks Street, Maida Vale",508000
"1 Jeffrey Loop, Brookdale",315000
"1 Jib Court, Ocean Reef",740000
"1 Jindabyne Street, Hilbert",493000
"1 Johnson Avenue, Guildford",561000
"1 Jolimont Terrace, Jolimont",1100000
"1 Josbury Corner, Carramar",605000
"1 Jura Court, Duncraig",575000
"1 Jurien Close, Warnbro",301000
"1 Kadi Court, Marangaroo",380000
"1 Kalara Road, Koongamia",350000
"1 Kalara Way, Koongamia",172000
"1 Kalbarri Pass, Jane Brook",725000
"1 Kangaroo Entrance, Stratton",255000
"1 Kartner Road, Tapping",500000
"1 Kennack Vista, Atwell",617500
"1 Kensington Street, Bellevue",520000
"1 Kent Street, Viveash",300000
"1 Kevin Street, Stoneville",533000
"1 Kilmurray Elbow, Huntingdale",415000
"1 Kinkuna Way, City Beach",1645000
"1 Kirkcolm Way, Warwick",655000
"1 Kirke Cove, Merriwa",307000
"1 Kirkstall Way, Sawyers Valley",405000
"1 Knaphill Heights, Mirrabooka",458000
"1 Kookaburra Terrace, Ballajura",335000
"1 Kooralbyn Way, Connolly",745000
"1 Kutcharo Crescent, Joondalup",451000
"1 Kyby Place, Carramar",719000
"1 Kyle Place, Swan View",726000
"1 Lambeth Mews, Mount Claremont",2150000
"1 Lanark Street, Menora",875000
"1 Langham Street, Nedlands",1200000
"1 Lark Court, Yangebup",325000
"1 Lark Mews, Ballajura",550000
"1 Lauder Place, Kinross",525000
"1 Laughton Way, Leeming",577000
"1 Lee Street, Forrestfield",305000
"1 Leigh Court, Marangaroo",410000
"1 Lena Street, Beckenham",385000
"1 Lennoxtown Road, Duncraig",650000
"1 Letchworth Centre Avenue, Salter Point",1000000
"1 Librizzi Parade, Sinagra",530000
"1 Lilypond Court, Ascot",555000
"1 Lindeman Heights, Ridgewood",430000
"1 Linnett Brace, Darch",550000
"1 Lintonmarc Drive, Redcliffe",555000
"1 Litchfield Crescent, Carramar",565000
"1 Little Lefroy Lane, South Fremantle",950000
"1 Love Street, Myaree",625000
"1 Luhrs Court, Mundaring",675000
"1 Luke Place, Ascot",580000
"1 Lundy Cove, Kiara",365000
"1 Macdonald Road, Applecross",990000
"1 Mackie Place, Midvale",375000
"1 Maidos Street, Ashfield",358000
"1 MAJORELLE WAY, Eglinton",279500
"1 Mal Bay Court, Mindarie",660000
"1 Malcolm Street, North Beach",1980000
"1 Maley Court, Ashfield",435000
"1 Malibu Entrance, Iluka",1500000
"1 Malone Mews, Clarkson",299000
"1 Manhattan Concourse, Hilbert",445000
"1 Mannaw Place, Hillman",315000
"1 Mannix Pass, Queens Park",500000
"1 Marconi Street, Morley",650000
"1 Margaret Road, Secret Harbour",700000
"1 Marich Cove, Atwell",442000
"1 Maritana Road, Kallaroo",470000
"1 Marker Road, Ocean Reef",940250
"1 Markham Place, Bentley",375000
"1 Maroma Loop, Burns Beach",672500
"1 Martin Avenue, Rivervale",400000
"1 Mayhill Place, Craigie",445000
"1 McBain Court, Langford",468000
"1 Mcdermott Road, Kwinana Town Centre",145700
"1 McKenna Glen, Mount Claremont",1050000
"1 McKenzie Corner, Bertram",470000
"1 McNairn Cross, Leda",325000
"1 Meadow Place, Hocking",360000
"1 Meares Avenue, Parmelia",220000
"1 Mears Way, Hilbert",276000
"1 Medawar Loop, Piara Waters",618000
"1 Melissa Street, Duncraig",950000
"1 Melita Drive, Helena Valley",464000
"1 Melrose Crescent, Menora",1365000
"1 Mercer Place, Thornlie",300000
"1 Merley Crescent, City Beach",1720000
"1 Merlot Court, The Vines",455000
"1 Milina Street, Hillman",278000
"1 Mingara Avenue, Harrisdale",1200000
"1 Mission Place, Cooloongup",430000
"1 Moira Mews, Stratton",365000
"1 Monarch Way, Wattle Grove",486000
"1 Montana Crescent, Dayton",430000
"1 Montrose Way, Nollamara",300000
"1 Moody Glen, Palmyra",740000
"1 Moseley Drive, The Vines",859000
"1 Mosman Loop, Success",540000
"1 Mottee Road, Bateman",778000
"1 Mudalla Way, Koongamia",385000
"1 Mulberry Lane, Mirrabooka",410000
"1 Mulgrave Loop, Mindarie",610000
"1 Myhill Mews, Leda",215000
"1 Namoi Street, Hammond Park",595000
"1 Nardie Place, Hillman",320000
"1 Narla Place, Koongamia",262000
"1 Nettia Place, Bennett Springs",525000
"1 New Ross Lane, Waterford",1050000
"1 Newman Place, Kenwick",370000
"1 Newmarket Retreat, Currambine",540000
"1 newquay Street, Harrisdale",462500
"1 Niagara Cove, Bentley",438000
"1 Nicholas Crescent, Hilton",467500
"1 Nobilis Street, Beeliar",500000
"1 Norfolk Rise, Mount Claremont",1900000
"1 Northerly Avenue, Ascot",854000
"1 Nundah Court, Glen Forrest",520000
"1 Nyjong Street, Kenwick",350000
"1 Oakwood Court, Beechboro",475000
"1 Oban Court, Duncraig",1115000
"1 Odell Court, Carine",800000
"1 Odell Street, Secret Harbour",385000
"1 Odessa Place, Beldon",550000
"1 Offord Street, Armadale",176500
"1 Ollera Meander, Carramar",435000
"1 Ollis Street, Safety Bay",360000
"1 O'Mara Boulevard, Iluka",625000
"1 Orange Valley Road, Kalamunda",582500
"1 Orsulich Loop, Spearwood",408000
"1 Otway Street, Swanbourne",2302500
"1 Palos Court, Sorrento",680000
"1 Parish Lane, Churchlands",1400000
"1 Park Lane, Kardinya",610000
"1 Parkwood Avenue, Woodvale",554500
"1 Peaceful Close, Marangaroo",420000
"1 Pearson Crescent, Bull Creek",950000
"1 Pedalstone Drive, Southern River",705000
"1 Peet Crescent, Trigg",780000
"1 Pelion Court, Middle Swan",505000
"1 Penn Lane, Hammond Park",515000
"1 Penson Street, Singleton",345000
"1 Pera Mews, Beldon",460000
"1 Peter Way, Rossmoyne",1778000
"1 Piermont Avenue, Burns Beach",900000
"1 Pimelea Rise, Beeliar",495000
"1 Pixie Place, Two Rocks",395000
"1 Platypus Parkway, Beeliar",605000
"1 Plover Way, Stirling",625000
"1 Poinsettia Grove, South Lake",499000
"1 Point Link, Alkimos",595000
"1 Polglase Fairway, Clarkson",379000
"1 Portland Way, Ridgewood",520000
"1 Portsea Gardens, Jandakot",912000
"1 Presto Close, Quinns Rocks",475000
"1 Printer Street, Dianella",560000
"1 Pursuit Close, Middle Swan",407000
"1 Purvis Street, Hamilton Hill",470000
"1 Quail Place, Langford",440000
"1 Quenda Close, Beeliar",520000
"1 Ragtime Court, Ascot",440000
"1 Ramose Close, Heathridge",415000
"1 Reflection Mews, Safety Bay",419000
"1 Regatta Way, Alkimos",307000
"1 Regent Court, Cockburn Central",515000
"1 Reginald Street, Queens Park",670000
"1 Reilly Street, Singleton",330000
"1 Reinagle Street, Ashby",539000
"1 Repens Way, Banksia Grove",370000
"1 Reserve Street, Bicton",1820000
"1 Retchford Way, Queens Park",560000
"1 Reuben Street, Beaconsfield",590000
"1 Riber Court, Carine",925000
"1 Richards Crescent, Craigie",440000
"1 Rigoll Court, Mundijong",400000
"1 Ringarooma Way, Willetton",670000
"1 Ringmer Way, Westminster",380000
"1 River Bank Boulevard, South Guildford",750000
"1 River Bed Pass, Wilson",765000
"1 Riverdale Road, Helena Valley",415000
"1 Robert Street, Dalkeith",1700000
"1 Robyn Street, Morley",520000
"1 ROKER Way, Brabham",344000
"1 Romani Court, Lockridge",400000
"1 Rosalind Court, Rossmoyne",1110000
"1 Rose Bay Court, Kallaroo",1150000
"1 ROSTRATUS Link, Dayton",480000
"1 Rothsay Crescent, Menora",915000
"1 Rowe Place, Noranda",620000
"1 Royal Melbourne Avenue, Connolly",705000
"1 Royce Grove, Booragoon",932000
"1 Ruby Avenue, Langford",482000
"1 Ruby Court, Mount Richon",589000
"1 Rudge Place, Lockridge",320000
"1 Sabro Lane, Caversham",463000
"1 Salamanca Parkway, Port Kennedy",345000
"1 Salisbury Road, Beechboro",350000
"1 Salmond Way, Bull Creek",802000
"1 Salvin Road, Gwelup",820000
"1 Samos Place, Mindarie",790000
"1 Sandalford Drive, Beldon",504000
"1 Sandridge Street, Banksia Grove",330000
"1 Sandringham Street, Trigg",1051000
"1 Sapium Way, Woodvale",565000
"1 Scarcliffe Way, Carine",1125000
"1 Scott Street, Kewdale",472000
"1 Seabreeze Avenue, Burns Beach",860000
"1 Seaflight Court, Heathridge",560000
"1 Searle Road, Ardross",1390000
"1 Sedge Link, Atwell",520000
"1 Sellenger Avenue, Samson",462000
"1 Seton Lane, Kinross",550000
"1 Shackleton Street, Bassendean",600000
"1 Sheppard Way, Marmion",1480000
"1 Shiralee Bend, Carramar",650000
"1 Shoal Court, Coogee",710000
"1 Short Street, North Beach",912000
"1 Silica Road, Wattle Grove",491000
"1 Silky Lane, Wandi",303000
"1 Simon Place, City Beach",1450000
"1 Sistina Road, Ashby",450000
"1 Skottowe Parkway, Parmelia",272000
"1 Skye Lane, Ellenbrook",320000
"1 Smailes Elbow, Brookdale",228750
"1 Smitherson Street, Noranda",585000
"1 Smullin Street, Hamilton Hill",470000
"1 SNOWY RISE, Hammond Park",445000
"1 Solly Court, Bull Creek",1300000
"1 Spargo Street, Myaree",765000
"1 Spring Hill, Tapping",597000
"1 Spruce Place, Thornlie",490000
"1 Spruce Terrace, Aubin Grove",512888
"1 St Fillans Bend, Wanneroo",465000
"1 St Ives Loop, Kallaroo",2195000
"1 Stephen Street, Queens Park",480000
"1 Stitfold Promenade, Salter Point",1300000
"1 Stokesay Street, Orelia",418000
"1 Strathmore Parkway, Ellenbrook",350000
"1 Strathpine Chase, Landsdale",575000
"1 Strelley Lane, Carramar",512600
"1 Stretton Way, Kenwick",275000
"1 Strickland Court, Coogee",770000
"1 Styne Road, City Beach",1800000
"1 Success Crescent, Salter Point",1555000
"1 Sumich Gardens, Coogee",715000
"1 Swallow Grove, Waikiki",360000
"1 Sweeney Way, Padbury",579000
"1 Talisker Mews, Ballajura",420000
"1 Tall Karri Close, Camillo",370000
"1 Tattler Place, Huntingdale",323000
"1 Taylor Street, White Gum Valley",845000
"1 Teetree Court, Beechboro",500000
"1 Temple Mews, Iluka",928250
"1 Tenella Mews, Warnbro",300000
"1 Tennyson Street, Bellevue",400000
"1 Tetbury Road, Butler",500000
"1 The Mead, Kiara",450000
"1 The Mews, Kardinya",730000
"1 Thomas Hamilton Avenue, Mirrabooka",450000
"1 Thorman Place, Booragoon",905000
"1 Thornbill Loop, Beeliar",429000
"1 Thurlow Avenue, Yokine",525000
"1 Till Street, Herne Hill",370000
"1 Tintern Road, Ashby",465000
"1 Tippett Court, Willetton",680000
"1 Tiwi Court, Iluka",826000
"1 Tolbury Retreat, Kiara",420000
"1 Torre Link, Darch",560000
"1 Torridon Loop, Wanneroo",725000
"1 Treaty Oak Cove, Bibra Lake",600000
"1 Treave Street, Cloverdale",450000
"1 Triller Road, Bennett Springs",515000
"1 Trilogy Court, The Vines",1030000
"1 Trona Place, Forrestfield",395000
"1 Tropicana Way, Safety Bay",753000
"1 Troy Avenue, Marmion",1600000
"1 Tucker Street, Medina",270000
"1 Tuckeroo Parade, Helena Valley",785000
"1 Tullow Road, Floreat",1575000
"1 Turner Parkway, Carramar",479100
"1 Turner Street, Warnbro",310000
"1 TWIN VIEW, Swan View",595000
"1 Umina Street, High Wycombe",296000
"1 Valencia Avenue, Churchlands",935000
"1 Vantage Way, Burswood",1585000
"1 Veldt Mews, Mirrabooka",370000
"1 Venetian Way, Baldivis",435000
"1 Verve Court, Marmion",1255000
"1 Vilamour Close, Currambine",582000
"1 Viola Place, Beechboro",485000
"1 Violet Street, Middle Swan",410000
"1 Virgilia Terrace, South Lake",565000
"1 Voyager Link, Pearsall",449000
"1 Wake Court, Redcliffe",390000
"1 Wallace Street, Mundijong",640000
"1 Wambiri Close, South Lake",510000
"1 Warlu Place, High Wycombe",315000
"1 Warnt Court, South Guildford",430000
"1 Waterway Crescent, Ascot",1250000
"1 Wattle Court, Mahogany Creek",740000
"1 Waugh Court, North Lake",1150000
"1 Wayford Circle, Hocking",595000
"1 Webb Street, Rossmoyne",670000
"1 Weema Court, Swan View",560000
"1 Weetman Cove, Cannington",402600
"1 Wendo Court, Hillman",345000
"1 Wenstead Place, Stratton",357000
"1 Werri Place, Clarkson",378000
"1 Wescap Rise, Merriwa",300000
"1 Whelk Place, Mullaloo",775000
"1 White Place, Subiaco",753000
"1 White Street, North Fremantle",785000
"1 Whitehouse Drive, Koondoola",475000
"1 Wildwood Mews, Carramar",539000
"1 Willard Circuit, Banksia Grove",385000
"1 Williams Court, Melville",1200000
"1 Williamson Way, Trigg",840000
"1 Willow Way, Gooseberry Hill",650000
"1 Wilson Lane, Bateman",654000
"1 Wimbledon Drive, Kingsley",627500
"1 Windoo Place, Koongamia",292500
"1 Windoo Road, Parkerville",655000
"1 Wintergreene Drive, Bennett Springs",492000
"1 Wissota Pass, Secret Harbour",546000
"1 Woodbine Loop, Tapping",500000
"1 Woodbine Terrace, Mirrabooka",420000
"1 Woodfield Close, Mount Helena",435000
"1 Woodlands Way, Jandakot",600000
"1 Woolmore Cross, Atwell",505000
"1 Yallambee Place, Karawara",662500
"1 Yilgarn Street, White Gum Valley",925000
"1 Yule Street, City Beach",1550000
"1 Zamia Road, Gooseberry Hill",575000
"1 Zanzibar Loop, Aveley",540000
"1/1 Coolgardie Street, West Perth",480000
"1/1 French Street, Ashfield",455000
"1/1 Lentona Road, Attadale",419000
"1/1 Muriel Avenue, Woodlands",960000
"1/1 Wingfield Avenue, Crawley",950000
"1/10 Gibson Street, Mount Pleasant",640000
"1/11 Adamson Road, Brentwood",555000
"1/11 Elvire Street, Viveash",400000
"1/11 Stott Close, Armadale",156500
"1/11 Waterway Crescent, Ascot",482000
"1/125 Swansea Street, East Victoria Park",430000
"1/126 Telford Crescent, Stirling",615000
"1/13 Helm Street, Mount Pleasant",807000
"1/13 Sorrento Street, North Beach",850000
"1/14 Godwit Street, Queens Park",400000
"1/14 Greenshank Drive, Joondalup",640000
"1/14 Mineral Place, Forrestfield",341500
"1/14a Norman Street, St James",450000
"1/15 Bredgar Way, Marangaroo",340000
"1/15 Cook Street, Crawley",625000
"1/15 Lisbon Court, Parkwood",339000
"1/157 Kinross Drive, Kinross",285000
"1/159 Mcdonald Street, Joondanna",422000
"1/16 Coneflower Corner, Churchlands",890000
"1/16 Leverburgh Street, Ardross",766000
"1/16 Tavistock Crescent, Lynwood",370000
"1/163 Tyler Street, Tuart Hill",140000
"1/164 McDonald Street, Joondanna",640000
"1/165 Canning Highway, South Perth",680000
"1/17 Elizabeth Street, East Cannington",408000
"1/17 Satellite Retreat, Kiara",370000
"1/18 Coongan Avenue, Greenmount",527500
"1/18 Devon Way, Lynwood",387000
"1/18 Mary Street, Highgate",742000
"1/182 Fulham Street, Kewdale",300000
"1/19 Drabble Road, Scarborough",721000
"1/19 Flora Terrace, Watermans Bay",500000
"1/19 Roseheath Boulevard, Kiara",370000
"1/19 Tamar Street, Palmyra",500000
"1/20 Holton Way, Cannington",335000
"1/202 Crawford Road, Inglewood",485000
"1/205 French Street, Tuart Hill",525000
"1/208 Albert Street, Osborne Park",365000
"1/21 Fletcher Street, Applecross",685000
"1/218 Westview Street, Scarborough",450000
"1/22 Ada Street, Watermans Bay",1250000
"1/22 Harper Street, Woodbridge",395000
"1/22 Manoff Road, Balcatta",292000
"1/22 Prinsep Road, Melville",655000
"1/22 Redgate Court, Kiara",410000
"1/23 Avonmore Terrace, Cottesloe",670000
"1/23 Golf Road, Parkwood",338000
"1/24 Coventry Road, Shoalwater",310000
"1/24 Melinga Court, Karawara",427500
"1/242 French Street, Tuart Hill",432000
"1/265 Kooyong Road, Kewdale",357500
"1/268 Guildford Road, Maylands",432000
"1/28 Alday Street, St James",530000
"1/29 Money Road, Melville",610000
"1/29 Seaforth Road, Shoalwater",600000
"1/29 Spoonbill Place, Queens Park",435000
"1/29 Stratford Street, East Fremantle",430000
"1/3 Addlewell Glen, Kiara",370000
"1/3 Clive Road, Cottesloe",1026000
"1/3 Hope Road, Palmyra",445000
"1/3 Stockman Way, Cannington",508000
"1/30 Milford Way, Nollamara",450000
"1/301 Oxford Street, Leederville",400000
"1/31 Harvest Road, North Fremantle",1100000
"1/31 Mosaic Street, Shelley",755000
"1/31 Second Avenue, Kensington",780000
"1/31 Troy Terrace, Daglish",1250000
"1/31 Villiers Street, Yokine",370000
"1/32 Hubert Road, Maylands",420000
"1/326 Preston Point Road, Attadale",675000
"1/33 Holmesdale Road, Woodbridge",335000
"1/33 Steward Way, Orelia",160000
"1/335 Oxford Street, Leederville",880000
"1/34 Banksia Street, Joondanna",585000
"1/341 Wharf Street, Queens Park",315000
"1/35 Collier Avenue, Balcatta",341000
"1/36 Wood Street, Inglewood",565000
"1/38 Brandon Street, Kensington",600000
"1/38 Norman Street, St James",360000
"1/39 Beatty Avenue, East Victoria Park",440000
"1/39 Cape Street, Osborne Park",435000
"1/39 Ferguson Street, Midvale",400000
"1/4 Classic Rise, Pearsall",465000
"1/4 Lentona Road, Attadale",490000
"1/4 Leslie Street, Cannington",430000
"1/4 Manley Street, Cannington",334000
"1/4 Talbot Road, Woodlands",415000
"1/40 Mica Mews, Wattle Grove",360000
"1/41 Hooley Road, Midland",337500
"1/41 Renwick Street, South Perth",730000
"1/42 Byers Road, Woodbridge",316000
"1/42 Cleopatra Street, Palmyra",460000
"1/43 Ferguson Street, Middle Swan",445000
"1/43 John Street, Inglewood",630000
"1/46 Charles Street, Midland",167500
"1/48 Collier Avenue, Balcatta",359000
"1/48 Thelma Street, Como",525000
"1/49 Discovery Circuit, Iluka",715000
"1/49 Rule Street, North Fremantle",2050000
"1/49 South Street, Kardinya",405000
"1/5 Arpent Link, Brabham",364000
"1/50 King Street, Coogee",440000
"1/50 Monmouth Street, Mount Lawley",625000
"1/53 Carrington Street, Palmyra",420000
"1/58 Second Avenue, Rossmoyne",975000
